Tarih,DOV_KOD,DOV_BazKOD,carpan
2003-01-29,YTL,TL,1000000.0
2003-01-30,YTL,TL,1000000.0
2003-01-31,YTL,TL,1000000.0
2003-02-01,YTL,TL,1000000.0
2003-02-02,YTL,TL,1000000.0
2003-02-03,YTL,TL,1000000.0
2003-02-04,YTL,TL,1000000.0
2003-02-05,YTL,TL,1000000.0
2003-02-06,YTL,TL,1000000.0
2003-02-07,YTL,TL,1000000.0
2003-02-08,YTL,TL,1000000.0
2003-02-09,YTL,TL,1000000.0
2003-02-10,YTL,TL,1000000.0
2003-02-11,YTL,TL,1000000.0
2003-02-12,YTL,TL,1000000.0
2003-02-13,YTL,TL,1000000.0
2003-02-14,YTL,TL,1000000.0
2003-02-15,YTL,TL,1000000.0
2003-02-16,YTL,TL,1000000.0
2003-02-17,YTL,TL,1000000.0
2003-02-18,YTL,TL,1000000.0
2003-02-19,YTL,TL,1000000.0
2003-02-20,YTL,TL,1000000.0
2003-02-21,YTL,TL,1000000.0
2003-02-22,YTL,TL,1000000.0
2003-02-23,YTL,TL,1000000.0
2003-02-24,YTL,TL,1000000.0
2003-02-25,YTL,TL,1000000.0
2003-02-26,YTL,TL,1000000.0
2003-02-27,YTL,TL,1000000.0
2003-02-28,YTL,TL,1000000.0
2003-03-01,YTL,TL,1000000.0
2003-03-02,YTL,TL,1000000.0
2003-03-03,YTL,TL,1000000.0
2003-03-04,YTL,TL,1000000.0
2003-03-05,YTL,TL,1000000.0
2003-03-06,YTL,TL,1000000.0
2003-03-07,YTL,TL,1000000.0
2003-03-08,YTL,TL,1000000.0
2003-03-09,YTL,TL,1000000.0
2003-03-10,YTL,TL,1000000.0
2003-03-11,YTL,TL,1000000.0
2003-03-12,YTL,TL,1000000.0
2003-03-13,YTL,TL,1000000.0
2003-03-14,YTL,TL,1000000.0
2003-03-15,YTL,TL,1000000.0
2003-03-16,YTL,TL,1000000.0
2003-03-17,YTL,TL,1000000.0
2003-03-18,YTL,TL,1000000.0
2003-03-19,YTL,TL,1000000.0
2003-03-20,YTL,TL,1000000.0
2003-03-21,YTL,TL,1000000.0
2003-03-22,YTL,TL,1000000.0
2003-03-23,YTL,TL,1000000.0
2003-03-24,YTL,TL,1000000.0
2003-03-25,YTL,TL,1000000.0
2003-03-26,YTL,TL,1000000.0
2003-03-27,YTL,TL,1000000.0
2003-03-28,YTL,TL,1000000.0
2003-03-29,YTL,TL,1000000.0
2003-03-30,YTL,TL,1000000.0
2003-03-31,YTL,TL,1000000.0
2003-04-01,YTL,TL,1000000.0
2003-04-02,YTL,TL,1000000.0
2003-04-03,YTL,TL,1000000.0
2003-04-04,YTL,TL,1000000.0
2003-04-05,YTL,TL,1000000.0
2003-04-06,YTL,TL,1000000.0
2003-04-07,YTL,TL,1000000.0
2003-04-08,YTL,TL,1000000.0
2003-04-09,YTL,TL,1000000.0
2003-04-10,YTL,TL,1000000.0
2003-04-11,YTL,TL,1000000.0
2003-04-12,YTL,TL,1000000.0
2003-04-13,YTL,TL,1000000.0
2003-04-14,YTL,TL,1000000.0
2003-04-15,YTL,TL,1000000.0
2003-04-16,YTL,TL,1000000.0
2003-04-17,YTL,TL,1000000.0
2003-04-18,YTL,TL,1000000.0
2003-04-19,YTL,TL,1000000.0
2003-04-20,YTL,TL,1000000.0
2003-04-21,YTL,TL,1000000.0
2003-04-22,YTL,TL,1000000.0
2003-04-23,YTL,TL,1000000.0
2003-04-24,YTL,TL,1000000.0
2003-04-25,YTL,TL,1000000.0
2003-04-26,YTL,TL,1000000.0
2003-04-27,YTL,TL,1000000.0
2003-04-28,YTL,TL,1000000.0
2003-04-29,YTL,TL,1000000.0
2003-04-30,YTL,TL,1000000.0
2003-05-01,YTL,TL,1000000.0
2003-05-02,YTL,TL,1000000.0
2003-05-03,YTL,TL,1000000.0
2003-05-04,YTL,TL,1000000.0
2003-05-05,YTL,TL,1000000.0
2003-05-06,YTL,TL,1000000.0
2003-05-07,YTL,TL,1000000.0
2003-05-08,YTL,TL,1000000.0
2003-05-09,YTL,TL,1000000.0
2003-05-10,YTL,TL,1000000.0
2003-05-11,YTL,TL,1000000.0
2003-05-12,YTL,TL,1000000.0
2003-05-13,YTL,TL,1000000.0
2003-05-14,YTL,TL,1000000.0
2003-05-15,YTL,TL,1000000.0
2003-05-16,YTL,TL,1000000.0
2003-05-17,YTL,TL,1000000.0
2003-05-18,YTL,TL,1000000.0
2003-05-19,YTL,TL,1000000.0
2003-05-20,YTL,TL,1000000.0
2003-05-21,YTL,TL,1000000.0
2003-05-22,YTL,TL,1000000.0
2003-05-23,YTL,TL,1000000.0
2003-05-24,YTL,TL,1000000.0
2003-05-25,YTL,TL,1000000.0
2003-05-26,YTL,TL,1000000.0
2003-05-27,YTL,TL,1000000.0
2003-05-28,YTL,TL,1000000.0
2003-05-29,YTL,TL,1000000.0
2003-05-30,YTL,TL,1000000.0
2003-05-31,YTL,TL,1000000.0
2003-06-01,YTL,TL,1000000.0
