MKod,SendServerName,SendCatalog,Title,SendKod,SendTitle,kgid,insUN,insDT,insApp,updUN,updDT,updApp
1,KorgunDb,Antrepo20,KAHVE,,,1,,,,,,
2,KorgunDb,Antrepo20,BEJ,,,2,,,,,,
3,KorgunDb,Antrepo20,TABA,,,3,,,,,,
4,KorgunDb,Antrepo20,LACI,,,4,,,,,,
5,KorgunDb,Antrepo20,SIYAH,,,5,,,,,,
6,KorgunDb,Antrepo20,BORDO,,,6,,,,,,
7,KorgunDb,Antrepo20,BEYAZ,,,7,,,,,,
8,KorgunDb,Antrepo20,KIRMIZI,,,8,,,,,,
9,KorgunDb,Antrepo20,TABA SUET,,,9,,,,,,
10,KorgunDb,Antrepo20,SIYAH RUGAN,,,10,,,,,,
11,KorgunDb,Antrepo20,SIYAH SUET,,,11,,,,,,
12,KorgunDb,Antrepo20,BORDO RUGAN-LACI RUGAN,,,12,,,,,,
13,KorgunDb,Antrepo20,BORDO RUGAN,,,13,,,,,,
14,KorgunDb,Antrepo20,KAHVE-KAHVE,,,14,,,,,,
15,KorgunDb,Antrepo20,Kırma Siyah,,,15,,,,,,
16,KorgunDb,Antrepo20,SIYAH TRIKO,,,16,,,,,,
17,KorgunDb,Antrepo20,LACI TRIKO,,,17,,,,,,
18,KorgunDb,Antrepo20,GRI TRIKO,,,18,,,,,,
19,KorgunDb,Antrepo20,SIYAH YARMA SUET,,,19,,,,,,
20,KorgunDb,Antrepo20,82666 - ANTIK BLACK,,,20,,,,,,
21,KorgunDb,Antrepo20,SIYAH ANTIK,,,21,,,,,,
22,KorgunDb,Antrepo20,KAHVE SANETTA,,,22,,,,,,
23,KorgunDb,Antrepo20,LACI RUGAN - SİYAH TABAN,,,23,,,,,,
24,KorgunDb,Antrepo20,LACI RUGAN - BEYAZ TABAN,,,24,,,,,,
25,KorgunDb,Antrepo20,FUME,,,25,,,,,,
26,KorgunDb,Antrepo20,SIYAH-BEYAZ,,,26,,,,,,
27,KorgunDb,Antrepo20,SIYAH-KAHVE,,,27,,,,,,
28,KorgunDb,Antrepo20,BEYAZ-SIYAH,,,28,,,,,,
29,KorgunDb,Antrepo20,SIYAH-KIRLIBEYAZ,,,29,,,,,,
30,KorgunDb,Antrepo20,KIRLIBEYAZ,,,30,,,,,,
31,KorgunDb,Antrepo20,013 SIYAH,,,31,,,,,,
32,KorgunDb,Antrepo20,394 KOYU LACIVERT,,,32,,,,,,
33,KorgunDb,Antrepo20,147 KOYUGRI,,,33,,,,,,
34,KorgunDb,Antrepo20,907 BUZ ACIK GRI,,,34,,,,,,
35,KorgunDb,Antrepo20,238 ACIK GRI,,,35,,,,,,
37,KorgunDb,Antrepo20,264 OLIV,,,36,,,,,,
38,KorgunDb,Antrepo20,139 GRI,,,37,,,,,,
39,KorgunDb,Antrepo20,421 SIYAH,,,38,,,,,,
40,KorgunDb,Antrepo20,533 BORDO,,,39,,,,,,
41,KorgunDb,Antrepo20,830 LACIVERT,,,40,,,,,,
42,KorgunDb,Antrepo20,907 BUZ GRI,,,41,,,,,,
43,KorgunDb,Antrepo20,947 BEJ,,,42,,,,,,
44,KorgunDb,Antrepo20,VIZON,,,43,,,,,,
45,KorgunDb,Antrepo20,OFSET LACİVERT,,,44,,,,,,
46,KorgunDb,Antrepo20,GUMUS,,,45,,,,,,
47,KorgunDb,Antrepo20,FREE SIYAH,,,46,,,,,,
