Pro,Tanim,PTime,TimeTip,Worker,Performans,GiderKod,MMKod,HKod,DBName
02,Kesim,,,0,0,,,,Antrepo20
03,Astar Kesim,,,0,0,,,,Antrepo20
04,Sıcak Baskı,,,0,0,,,,Antrepo20
05,Kesim Regapta,,,0,0,,,,Antrepo20
07,Lazer,,,0,0,,,,Antrepo20
08,Baskı,,,0,0,,,,Antrepo20
09,Nakış,,,0,0,,,,Antrepo20
10,Taş/Trop,,,0,0,,,,Antrepo20
11,Strobel,,,0,0,,,,Antrepo20
12,Şerit Dikim,,,0,0,,,,Antrepo20
15,Saya,,,0,0,,,,Antrepo20
17,Saraç,,,0,0,,,,Antrepo20
18,Aksesuar,,,0,0,,,,Antrepo20
19,Hazır Saya,,,0,0,,,,Antrepo20
20,Regapta,,,0,0,,,,Antrepo20
25,Bant (Monta),,,0,0,,,,Antrepo20
27,Mekval/Fora,,,0,0,,,,Antrepo20
29,Temizleme,,,0,0,,,,Antrepo20
30,Paketleme,,,0,0,,,,Antrepo20
02,Kesim,,,0,0,,,,Cabani20
03,Astar Kesim,,,0,0,,,,Cabani20
04,Sıcak Baskı,,,0,0,,,,Cabani20
05,Kesim Regapta,,,0,0,,,,Cabani20
07,Lazer,,,0,0,,,,Cabani20
08,Baskı,,,0,0,,,,Cabani20
09,Nakış,,,0,0,,,,Cabani20
10,Taş/Trop,,,0,0,,,,Cabani20
11,Strobel,,,0,0,,,,Cabani20
12,Şerit Dikim,,,0,0,,,,Cabani20
15,Saya,,,0,0,,,,Cabani20
17,Saraç,,,0,0,,,,Cabani20
18,Aksesuar,,,0,0,,,,Cabani20
19,Hazır Saya,,,0,0,,,,Cabani20
20,Regapta,,,0,0,,,,Cabani20
25,Bant (Monta),,,0,0,,,,Cabani20
27,Mekval/Fora,,,0,0,,,,Cabani20
29,Temizleme,,,0,0,,,,Cabani20
30,Paketleme,,,0,0,,,,Cabani20
02,Kesim,,,0,0,,,,KORGUNYAZILIM1910
03,Astar Kesim,,,0,0,,,,KORGUNYAZILIM1910
04,Sıcak Baskı,,,0,0,,,,KORGUNYAZILIM1910
05,Kesim Regapta,,,0,0,,,,KORGUNYAZILIM1910
07,Lazer,,,0,0,,,,KORGUNYAZILIM1910
08,Baskı,,,0,0,,,,KORGUNYAZILIM1910
09,Nakış,,,0,0,,,,KORGUNYAZILIM1910
10,Taş/Trop,,,0,0,,,,KORGUNYAZILIM1910
11,Strobel,,,0,0,,,,KORGUNYAZILIM1910
12,Şerit Dikim,,,0,0,,,,KORGUNYAZILIM1910
15,Saya,,,0,0,,,,KORGUNYAZILIM1910
17,Saraç,,,0,0,,,,KORGUNYAZILIM1910
18,Aksesuar,,,0,0,,,,KORGUNYAZILIM1910
19,Hazır Saya,,,0,0,,,,KORGUNYAZILIM1910
20,Regapta,,,0,0,,,,KORGUNYAZILIM1910
25,Bant (Monta),,,0,0,,,,KORGUNYAZILIM1910
27,Mekval/Fora,,,0,0,,,,KORGUNYAZILIM1910
29,Temizleme,,,0,0,,,,KORGUNYAZILIM1910
30,Paketleme,,,0,0,,,,KORGUNYAZILIM1910
02,Kesim,,,0,0,,,,KORGUNYAZILIM2210
03,Astar Kesim,,,0,0,,,,KORGUNYAZILIM2210
04,Sıcak Baskı,,,0,0,,,,KORGUNYAZILIM2210
05,Kesim Regapta,,,0,0,,,,KORGUNYAZILIM2210
07,Lazer,,,0,0,,,,KORGUNYAZILIM2210
08,Baskı,,,0,0,,,,KORGUNYAZILIM2210
09,Nakış,,,0,0,,,,KORGUNYAZILIM2210
10,Taş/Trop,,,0,0,,,,KORGUNYAZILIM2210
