Koli_KOD,Beden_No,Koli_ADET
0001,1,0.0
0001,2,0.0
0001,3,0.0
0001,4,0.0
0001,5,0.0
0001,6,0.0
0001,7,1.0
0001,8,2.0
0001,9,2.0
0001,10,2.0
0001,11,1.0
0001,12,0.0
0001,13,0.0
0001,34,0.0
0002,6,0.0
0002,7,1.0
0002,8,2.0
0002,9,2.0
0002,10,2.0
0002,11,1.0
0002,34,0.0
0003,1,0.0
0003,2,0.0
0003,3,0.0
0003,4,0.0
0003,5,0.0
0003,6,1.0
0003,7,2.0
0003,8,2.0
0003,9,2.0
0003,10,1.0
0003,11,0.0
0003,12,0.0
0003,13,0.0
0003,34,0.0
0004,1,0.0
0004,2,0.0
0004,3,0.0
0004,4,0.0
0004,5,0.0
0004,6,0.0
0004,7,0.0
0004,8,1.0
0004,9,4.0
0004,10,2.0
0004,11,1.0
0004,12,0.0
0004,13,0.0
0004,34,0.0
0005,1,0.0
0005,2,0.0
0005,3,0.0
0005,4,0.0
0005,5,0.0
0005,6,0.0
0005,7,1.0
0005,8,2.0
0005,9,2.0
0005,10,1.0
0005,11,1.0
0005,12,1.0
0005,13,0.0
0005,34,0.0
0006,1,0.0
0006,2,0.0
0006,3,0.0
0006,4,0.0
0006,5,0.0
0006,6,0.0
0006,7,2.0
0006,8,3.0
0006,9,10.0
0006,10,10.0
0006,11,8.0
0006,12,4.0
0006,13,0.0
0006,34,0.0
0007,1,0.0
0007,2,0.0
0007,3,0.0
0007,4,0.0
0007,5,0.0
0007,6,0.0
0007,7,0.0
0007,8,1.0
0007,9,2.0
0007,10,2.0
0007,11,2.0
0007,12,1.0
0007,13,0.0
0007,34,0.0
0008,1,0.0
0008,2,0.0
0008,3,0.0
0008,4,0.0
0008,5,0.0
0008,6,0.0
0008,7,2.0
0008,8,3.0
0008,9,7.0
0008,10,7.0
0008,11,5.0
0008,12,0.0
0008,13,0.0
0008,34,0.0
0009,1,0.0
0009,2,0.0
0009,3,0.0
0009,4,0.0
0009,5,0.0
0009,6,0.0
0009,7,0.0
0009,8,2.0
0009,9,2.0
0009,10,2.0
0009,11,1.0
0009,12,1.0
0009,13,0.0
0009,34,0.0
0010,1,0.0
0010,2,0.0
0010,3,0.0
0010,4,0.0
0010,5,0.0
0010,6,2.0
0010,7,10.0
0010,8,30.0
0010,9,60.0
0010,10,73.0
0010,11,30.0
0010,12,15.0
0010,13,0.0
0010,34,0.0
0011,1,0.0
0011,2,0.0
0011,3,0.0
0011,4,0.0
0011,5,0.0
0011,6,0.0
0011,7,1.0
0011,8,3.0
0011,9,4.0
0011,10,4.0
0011,11,2.0
0011,12,1.0
0011,13,0.0
0011,34,0.0
0012,1,0.0
0012,2,0.0
0012,3,0.0
0012,4,0.0
0012,5,0.0
0012,6,2.0
0012,7,10.0
0012,8,30.0
0012,9,60.0
0012,10,73.0
0012,11,60.0
0012,12,30.0
0012,13,15.0
0012,34,0.0
0013,1,0.0
0013,2,0.0
0013,3,0.0
0013,4,0.0
0013,5,0.0
0013,6,0.0
0013,7,1.0
0013,8,2.0
0013,9,3.0
0013,10,3.0
0013,11,3.0
0013,12,1.0
0013,13,0.0
0013,34,0.0
0014,1,0.0
0014,2,0.0
0014,3,0.0
0014,4,0.0
0014,5,0.0
0014,6,3.0
0014,7,12.0
0014,8,32.0
0014,9,60.0
0014,10,70.0
0014,11,70.0
0014,12,35.0
0014,13,18.0
0014,34,0.0
0015,1,0.0
0015,2,0.0
0015,3,0.0
0015,4,0.0
0015,5,0.0
0015,6,0.0
0015,7,0.0
0015,8,2.0
0015,9,3.0
0015,10,3.0
0015,11,2.0
0015,12,2.0
0015,13,0.0
0015,34,0.0
0016,1,0.0
0016,2,0.0
0016,3,0.0
0016,4,0.0
0016,5,0.0
0016,6,2.0
0016,7,4.0
0016,8,12.0
0016,9,22.0
0016,10,28.0
0016,11,26.0
0016,12,18.0
0016,13,8.0
0016,34,0.0
0017,1,0.0
0017,2,0.0
0017,3,0.0
0017,4,0.0
0017,5,0.0
0017,6,0.0
0017,7,0.0
0017,8,3.0
0017,9,5.0
0017,10,5.0
0017,11,5.0
0017,12,4.0
0017,13,0.0
0017,34,0.0
0018,1,0.0
0018,2,0.0
0018,3,0.0
0018,4,0.0
0018,5,0.0
0018,6,0.0
0018,7,5.0
0018,8,25.0
0018,9,50.0
0018,10,65.0
0018,11,60.0
0018,12,30.0
0018,13,15.0
0018,34,0.0
0019,1,0.0
0019,2,0.0
0019,3,0.0
0019,4,0.0
0019,5,0.0
0019,6,0.0
0019,7,1.0
0019,8,2.0
0019,9,2.0
0019,10,2.0
0019,11,2.0
0019,12,1.0
0019,13,0.0
0019,34,0.0
0020,1,0.0
0020,2,0.0
0020,3,0.0
0020,4,0.0
0020,5,0.0
0020,6,0.0
0020,7,4.0
0020,8,12.0
0020,9,24.0
0020,10,28.0
0020,11,26.0
0020,12,18.0
0020,13,8.0
0020,34,0.0
0021,1,0.0
0021,2,0.0
0021,3,0.0
0021,4,0.0
0021,5,0.0
0021,6,0.0
0021,7,2.0
0021,8,2.0
0021,9,2.0
0021,10,2.0
0021,11,0.0
0021,12,0.0
0021,13,0.0
0021,34,0.0
0022,1,0.0
0022,2,0.0
0022,3,0.0
0022,4,0.0
0022,5,0.0
0022,6,0.0
0022,7,10.0
0022,8,30.0
0022,9,55.0
0022,10,65.0
0022,11,50.0
0022,12,30.0
0022,13,10.0
0022,34,0.0
0023,1,0.0
0023,2,0.0
0023,3,0.0
0023,4,0.0
0023,5,0.0
0023,6,0.0
0023,7,1.0
0023,8,1.0
0023,9,1.0
0023,10,1.0
0023,11,1.0
0023,12,0.0
0023,13,0.0
0023,34,0.0
0024,1,0.0
0024,2,0.0
0024,3,0.0
0024,4,0.0
0024,5,0.0
0024,6,0.0
0024,7,2.0
0024,8,25.0
0024,9,50.0
0024,10,65.0
0024,11,60.0
0024,12,30.0
0024,13,15.0
0024,34,0.0
0025,1,0.0
0025,2,0.0
0025,3,0.0
0025,4,0.0
0025,5,0.0
0025,6,0.0
0025,7,1.0
0025,8,1.0
0025,9,1.0
0025,10,2.0
0025,11,1.0
0025,12,0.0
0025,13,0.0
0025,34,0.0
0026,1,0.0
0026,2,0.0
0026,3,0.0
0026,4,0.0
0026,5,0.0
0026,6,0.0
0026,7,10.0
0026,8,25.0
0026,9,55.0
0026,10,80.0
0026,11,75.0
0026,12,35.0
0026,13,20.0
0026,34,0.0
0027,1,0.0
0027,2,0.0
0027,3,0.0
0027,4,0.0
0027,5,0.0
0027,6,0.0
0027,7,1.0
0027,8,2.0
0027,9,3.0
0027,10,3.0
0027,11,2.0
0027,12,1.0
0027,13,0.0
0027,34,0.0
0028,1,0.0
0028,2,0.0
0028,3,0.0
0028,4,0.0
0028,5,0.0
