SKOD,RKOD,BedKod,Tip,Fiyat,ParaCinsi,FTarih,exCheck,insUN,insDT,UpdUN,UpdDT
001 DEV BOT,17967,0,10,120.0,US,2024-05-10 00:00:00,,,,hakank,2024-05-10 15:39:02.783000
001 DIOR BABET,10323,0,10,80.0,US,2022-10-17 00:00:00,,,,,
001 GML,0,0,10,320.0,US,2022-11-22 00:00:00,*,,,hakank,2022-11-22 15:11:52.070000
001 OZEL BOT,0,0,10,100.0,US,2023-02-08 00:00:00,*,,,,
001 OZEL CIZME,0,0,10,150.0,US,2022-11-14 00:00:00,*,,,,
001 OZEL CIZME2,0,0,10,150.0,US,2022-11-14 00:00:00,*,,,,
001 OZEL CIZME3,0,0,10,150.0,US,2022-11-14 00:00:00,*,,,,
001 OZEL CIZME4,0,0,10,150.0,US,2022-12-02 00:00:00,*,,,,
001 PAO,0,0,10,120.0,US,2022-11-25 00:00:00,*,,,,
001 PAOLETTI,0,0,10,125.0,US,2022-11-25 00:00:00,*,,,,
001 PRFM01,17,0,10,12.0,US,2022-08-16 00:00:00,,,,paolettistore1,2022-08-16 13:17:32.310000
001 UKNW,0,0,10,100.0,US,2022-11-17 00:00:00,*,,,,
002  P -08,0,0,10,0.0,US,2013-11-05 15:13:23.357000,,,,,
002 03,0,0,01,43.0,US,2011-06-04 00:00:00,*,,,,
002 601,0,0,10,70.0,US,2014-03-12 00:00:00,*,,,,
002 7007,0,0,10,206.0,US,2014-01-29 00:00:00,*,,,,
002 7011,0,0,10,184.0,US,2014-01-23 00:00:00,*,,,,
002 8001,0,0,10,224.0,US,2014-01-29 00:00:00,*,,,,
002 8002,0,0,10,224.0,US,2014-01-30 00:00:00,*,,,,
002 8005,0,0,10,204.0,US,2014-02-07 00:00:00,*,,,,
002 A 500,0,0,01,98.0,US,2011-08-06 00:00:00,*,,,,
002 A 600,0,0,01,,US,2011-08-11 00:00:00,*,,,,
002 A-01,0,0,01,53.0,US,2011-06-04 00:00:00,*,,,,
002 A-02,0,0,01,43.0,US,2011-06-04 00:00:00,*,,,,
002 A-04,0,0,01,43.0,US,2011-06-04 00:00:00,*,,,,
002 A-05,0,0,01,45.0,US,2011-06-04 00:00:00,*,,,,
002 A-07,0,0,01,53.0,US,2011-06-04 00:00:00,*,,,,
002 A-201,0,0,01,67.0,US,2011-06-04 00:00:00,*,,,,
002 A-202,0,0,01,68.0,US,2011-06-04 00:00:00,*,,,,
002 A-205,0,0,01,63.0,US,2011-06-04 00:00:00,*,,,,
002 A-209,0,0,01,55.0,US,2011-06-04 00:00:00,*,,,,
002 A-209,752,0,01,57.0,US,2011-06-04 00:00:00,*,,,,
002 A-209,753,0,01,57.0,US,2011-06-04 00:00:00,*,,,,
002 A-209,754,0,01,57.0,US,2011-06-04 00:00:00,*,,,,
002 A-210,0,0,01,55.0,US,2011-06-04 00:00:00,*,,,,
002 A-211,0,0,01,55.0,US,2011-06-04 00:00:00,*,,,,
002 A-211,757,0,01,58.0,US,2011-06-04 00:00:00,*,,,,
002 A-212,0,0,01,65.0,US,2011-07-19 00:00:00,*,,,,
002 A-213,0,0,01,0.0,US,2011-07-22 12:04:03.140000,,,,,
002 A-213,816,0,01,72.0,US,2011-07-19 00:00:00,*,,,,
002 AS 201,0,0,10,144.0,US,2013-11-05 00:00:00,*,,,Mehmeta,2013-11-05 15:30:37.773000
002 AS 202,0,0,10,96.0,US,2013-11-05 00:00:00,*,,,Mehmeta,2013-11-05 15:30:37.777000
002 AS 301,0,0,10,98.0,US,2013-11-07 00:00:00,*,,,Hamzas,2013-11-07 10:58:20.833000
002 FML 03,0,0,10,0.0,US,2013-11-05 15:13:23.357000,,,,,
002 FML 04,0,0,10,98.0,US,2013-11-14 00:00:00,*,,,Mehmeta,2013-11-14 16:38:40.160000
002 P 12,0,0,10,190.0,US,2013-10-29 00:00:00,*,,,,
002 P 15 ,0,0,10,180.0,US,2013-11-13 00:00:00,*,,,Hamzas,2013-11-13 15:35:24.277000
002 P 20,0,0,10,220.0,US,2013-11-04 00:00:00,*,,,,
002 P 24,0,0,10,184.0,US,2013-10-28 00:00:00,*,,,,
002 P-09,0,0,10,196.0,US,2013-11-04 00:00:00,*,,,Mehmeta,2013-11-04 18:27:17.410000
002 P-12 ,0,0,10,184.0,US,2013-12-21 00:00:00,*,,,,
002 P-19,937,0,10,140.0,US,2022-09-06 00:00:00,,,,,
002 P-46,0,0,10,160.0,US,2013-11-18 00:00:00,*,,,,
004  65,0,0,01,,US,2012-06-08 00:00:00,*,,,,
004 10,0,0,01,,US,2011-12-29 00:00:00,*,,,,
004 100,0,0,01,,US,2012-07-10 00:00:00,*,,,,
004 101,0,0,01,,US,2012-07-10 00:00:00,*,,,,
004 10-1,0,0,01,48.0,US,2011-06-07 00:00:00,*,,,,
004 102,0,0,01,,US,2012-07-10 00:00:00,*,,,,
004 10-2,0,0,01,44.0,US,2011-06-07 00:00:00,*,,,,
004 103-1,0,0,01,78.0,US,2011-08-06 00:00:00,*,,,,
004 103-2,0,0,01,95.0,US,2011-09-07 00:00:00,*,,,,
004 104,0,0,01,115.0,US,2012-08-23 00:00:00,*,,,Hamzas,2014-01-22 20:00:30.660000
004 104,0,0,10,230.0,US,2013-10-28 00:00:00,*,,,,
004 105,0,0,01,,US,2012-07-10 00:00:00,*,,,,
004 106,0,0,01,120.0,US,2012-08-27 00:00:00,*,,,,
004 107,0,0,01,,US,2012-07-11 00:00:00,*,,,,
004 108,0,0,01,120.0,US,2012-08-23 00:00:00,*,,,,
004 108,0,0,10,240.0,US,2013-11-05 00:00:00,*,,,Mehmeta,2013-11-05 15:30:37.777000
004 109,0,0,01,110.0,US,2012-08-09 00:00:00,*,,,,
004 11,0,0,01,,US,2011-12-29 00:00:00,*,,,,
004 110,0,0,01,,US,2012-07-20 00:00:00,*,,,,
004 115,0,0,01,105.0,US,2012-08-11 00:00:00,*,,,,
004 12,0,0,01,,US,2012-01-05 00:00:00,*,,,,
004 121,0,0,01,,US,2012-09-13 00:00:00,*,,,,
004 1220,0,0,10,150.0,US,2022-11-17 00:00:00,*,,,,
004 13-1,0,0,01,110.0,US,2012-08-16 00:00:00,*,,,,
004 13-2,0,0,01,90.0,US,2011-08-16 00:00:00,*,,,,
004 13-2,1018,0,01,95.0,US,2011-08-16 00:00:00,*,,,,
004 132-1,0,0,01,80.0,US,2011-07-13 00:00:00,*,,,,
004 132-2,0,0,01,90.0,US,2011-07-13 00:00:00,*,,,,
004 132-3,0,0,01,105.0,US,2011-09-19 00:00:00,*,,,,
004 132-3-A,0,0,01,95.0,US,2011-07-28 00:00:00,*,,,,
004 132-3-B,0,0,01,95.0,US,2011-07-13 00:00:00,*,,,,
004 132-3-C,0,0,01,95.0,US,2011-07-13 00:00:00,*,,,,
004 132-3-D,0,0,01,95.0,US,2011-07-13 00:00:00,*,,,,
004 132-4,0,0,01,110.0,US,2012-08-08 00:00:00,*,,,,
004 13-3,0,0,01,95.0,US,2011-08-18 00:00:00,*,,,,
004 1350,0,0,10,110.0,US,2022-11-11 00:00:00,*,,,,
004 14,0,0,01,,US,2012-01-19 00:00:00,*,,,,
004 154-1,0,0,01,55.0,US,2011-06-09 00:00:00,*,,,,
004 154-1 A,0,0,01,55.0,US,2011-06-09 00:00:00,*,,,,
004 154-11,0,0,01,52.0,US,2011-06-09 00:00:00,*,,,,
004 154-15,0,0,01,48.0,US,2011-06-07 00:00:00,*,,,,
004 154-1A,0,0,01,55.0,US,2011-06-09 00:00:00,*,,,,
004 154-2,0,0,01,58.0,US,2011-06-09 00:00:00,*,,,,
004 154-3,0,0,01,50.0,US,2011-06-09 00:00:00,*,,,,
004 154-3A,0,0,01,50.0,US,2011-06-09 00:00:00,*,,,,
004 154-4,0,0,01,52.0,US,2011-06-09 00:00:00,*,,,,
004 154-5,0,0,01,52.0,US,2011-06-09 00:00:00,*,,,,
004 161-1,0,0,01,88.0,US,2011-07-13 00:00:00,*,,,,
004 191-1,0,0,01,65.0,US,2011-06-09 00:00:00,*,,,,
004 191-1A,0,0,01,65.0,US,2011-06-09 00:00:00,*,,,,
004 191-1B,0,0,01,63.0,US,2011-06-09 00:00:00,*,,,,
