Deger,kgid,insUN,insDT,insApp,updUN,updDT,updApp
AL ENNAB,1,,,,,,
BABOUCH,2,,,,,,
BOTTIER,3,,,,,,
BRANDY'S,4,,,,,,
BRUNO RENZONI,5,,,,,,
BRUSSOLİNİ,6,,,,,,
BUSINESS CLASS,7,,,,,,
CABANI PRIVE,8,,,,,,
CABANİ,9,,,,,,
CG,10,,,,,,
CORSANI FRENZE,11,,,,,,
CRUNELL,12,,,,,,
DANIELS,13,,,,,,
DIVA,14,,,,,,
DR COMFORT,15,,,,,,
FUGATO,16,,,,,,
GALANO,17,,,,,,
GANIANI,18,,,,,,
HARROW,19,,,,,,
KEVIN ROSS,20,,,,,,
MABRO,21,,,,,,
MARTIA,22,,,,,,
MULLEN,23,,,,,,
MYRZA,24,,,,,,
OLIGARCH,25,,,,,,
PİER,26,,,,,,
POLMAR,27,,,,,,
qLp,28,,,,,,
RENZO RİNALDİ,29,,,,,,
RIZALLI,30,,,,,,
ROCKFORD,31,,,,,,
SAFİR,32,,,,,,
SERGIO MILANO,33,,,,,,
STYLESBROUGH,34,,,,,,
VAN COLE,35,,,,,,
VERATTI,36,,,,,,
ZAIN,37,,,,,,
