inx,Tip,Kullanici,Location,P1,P2
1,FI,bekır,KS002,0,
2,DU,bekır,KS001,0,
3,DUM,bekır,KS001,0,
4,YML,bekır,,0,
5,SE,ERSEN,"KS001,KS002,KS008,Z001,Z002",,
8,SE,BAHMET,"KM01,KM03,KS001,KS002,KS003,KS004,KS005,KS006,KS007",,
12,FI,BAHMET,"KM01,KM03,KS001,KS002,KS003,KS004,KS005,KS006,KS007,Z001,Z002,Z003",30,
13,GKS,BAHMET,"KM01,KM03,KS001,KS002,KS003,KS004,KS005,KS006,KS007,Z001,Z002,Z003",30,
14,DİK,BAHMET,"KM01,KM03,KS001,KS002,KS003,KS004,KS005,KS006,KS007,Z001,Z002,Z003",7,
15,SE,BARIŞ,KS001,,
16,SE,halıl,KS002,,
19,SE,NADIR,KS001,,
20,SK,bekır,KS002,,
37,DİK,eda,"KS001,KS002",100,
39,SE,berrın,"KS001,KS012,KS013,Z001",0,
43,DİK,berrın,"KS001,KS002",3,
