SatNo,Odinx,OdTip,ParaCinsi,Tutar,OdTar,MuhKod,MM,KaporaMuhKod,KaporaMM,Kapora,HCKod,kgid,insUN,insDT,insApp,updUN,updDT,updApp,mkgid
335244,1,N,TL,580.2200000000,2023-06-01 10:57:53,,,,,,,1,,,,,,,335244
375644,2,N,TL,352.0000000000,2023-07-03 08:25:59,,,,,*,,2,,,,,,,375644
392794,3,N,TL,284.8000000000,2023-07-23 17:26:56,,,,,*,,3,,,,,,,392794
399066,4,N,TL,0.0100000000,2023-07-29 17:55:33,,,,,,,4,,,,,,,399066
429752,18,N,TL,306.3100000000,2023-08-29 19:56:35,,,,,*,,18,,,,,,,429752
431037,17,N,TL,310.3000000000,2023-08-30 19:01:39,,,,,*,,17,,,,,,,431037
431770,5,N,TL,337.0100000000,2023-08-31 10:55:22,,,,,*,,5,,,,,,,431770
433838,6,N,TL,521.3300000000,2023-09-03 11:10:11,,,,,*,,6,,,,,,,433838
441430,7,N,TL,480.0000000000,2023-09-08 17:58:35,,,,,*,,7,,,,,,,441430
442160,8,N,TL,417.6000000000,2023-09-09 19:51:25,,,,,*,,8,,,,,,,442160
442208,9,N,TL,288.0000000000,2023-09-09 20:53:35,,,,,*,,9,,,,,,,442208
442644,10,N,TL,651.0000000000,2023-09-10 16:12:14,,,,,*,,10,,,,,,,442644
444899,11,N,TL,310.4800000000,2023-09-12 09:55:32,,,,,*,,11,,,,,,,444899
447478,12,N,TL,453.5800000000,2023-09-13 10:55:52,,,,,*,,12,,,,,,,447478
447612,13,N,TL,699.8900000000,2023-09-13 12:05:45,,,,,*,,13,,,,,,,447612
447783,14,N,TL,464.8500000000,2023-09-13 13:21:53,,,,,*,,14,,,,,,,447783
448564,15,N,TL,271.4700000000,2023-09-13 19:47:18,,,,,*,,15,,,,,,,448564
449822,16,N,TL,309.9300000000,2023-09-14 12:07:54,,,,,*,,16,,,,,,,449822
487264,19,N,TL,0.0100000000,2023-10-13 13:49:10,,,,,,,19,,,,,,,487264
504697,20,N,TL,68.1800000000,2023-11-06 14:59:35,,,,,,,20,,,,,,,504697
509811,21,N,TL,14.9400000000,2023-11-06 15:26:53,,,,,,,21,,,,,,,509811
512428,22,N,TL,90.9100000000,2023-11-06 15:37:40,,,,,,,22,,,,,,,512428
513819,25,N,TL,499.2000000000,2023-11-04 19:17:40,,,,,,,25,,,,,,,513819
519936,24,N,TL,45.4500000000,2023-11-06 15:54:41,,,,,,,24,,,,,,,519936
533900,26,N,TL,72.8700000000,2023-11-09 16:26:25,,,,,,,26,,,,,,,533900
535114,27,N,TL,0.0100000000,2023-11-09 17:05:53,,,,,,,27,,,,,,,535114
543857,29,N,TL,431.2200000000,2023-11-11 15:40:36,,,,,*,,29,,,,,,,543857
545837,30,N,TL,397.6600000000,2023-11-11 21:58:43,,,,,*,,30,,,,,,,545837
546108,31,N,TL,490.8600000000,2023-11-11 22:34:35,,,,,*,,31,,,,,,,546108
546365,32,N,TL,411.3300000000,2023-11-11 23:10:39,,,,,*,,32,,,,,,,546365
546672,33,N,TL,501.1200000000,2023-11-11 23:58:08,,,,,*,,33,,,,,,,546672
546906,34,N,TL,439.8900000000,2023-11-12 00:41:34,,,,,*,,34,,,,,,,546906
548252,28,N,TL,225.3100000000,2023-11-12 11:28:22,,,,,*,,28,,,,,,,548252
549850,35,N,TL,372.0200000000,2023-11-12 17:26:05,,,,,*,,35,,,,,,,549850
550169,36,N,TL,304.6500000000,2023-11-12 18:38:13,,,,,*,,36,,,,,,,550169
551640,37,N,TL,560.3500000000,2023-11-12 21:49:33,,,,,*,,37,,,,,,,551640
553775,38,N,TL,660.0000000000,2023-11-13 12:46:42,,,,,*,,38,,,,,,,553775
566378,39,N,TL,224.1500000000,2023-11-17 21:07:39,,,,,*,,39,,,,,,,566378
573851,40,N,TL,630.0000000000,2023-11-20 10:09:44,,,,,*,,40,,,,,,,573851
575213,41,N,TL,425.7500000000,2023-11-20 16:56:46,,,,,*,,41,,,,,,,575213
577346,42,N,TL,425.7500000000,2023-11-20 22:16:43,,,,,*,,42,,,,,,,577346
598241,43,N,TL,532.5000000000,2023-11-24 02:00:53,,,,,*,,43,,,,,,,598241
601709,44,N,TL,403.3800000000,2023-11-24 19:08:43,,,,,*,,44,,,,,,,601709
603936,45,N,TL,346.8400000000,2023-11-25 00:31:41,,,,,*,,45,,,,,,,603936
607495,48,N,TL,308.9600000000,2023-11-25 18:52:28,,,,,*,,48,,,,,,,607495
608645,46,N,TL,297.0000000000,2023-11-25 21:54:19,,,,,*,,46,,,,,,,608645
611050,49,N,TL,436.7400000000,2023-11-26 11:05:49,,,,,*,,49,,,,,,,611050
613147,47,N,TL,371.0700000000,2023-11-26 17:43:38,,,,,*,,47,,,,,,,613147
709868,50,N,TL,433.6000000000,2023-12-20 16:59:16,,,,,,,50,,,,,,,709868
748339,52,N,TL,612.0000000000,2024-01-07 14:00:45,,,,,*,,52,,,,,,,748339
749270,53,N,TL,303.4800000000,2024-01-08 14:55:04,,,,,*,,53,,,,,,,749270
752611,51,N,TL,531.7000000000,2024-01-10 17:39:34,,,,,,,51,,,,,,,752611
756549,54,N,TL,303.1600000000,2024-02-07 17:07:52,,,,,,,54,,,,,,,756549
827995,57,N,TL,0.0100000000,2024-03-11 13:25:30,,,,,,,57,,,,,,,827995
828116,103,N,TL,339.1500000000,2024-03-09 20:41:01,,,,,*,,103,,,,,,,828116
828306,56,N,TL,0.0100000000,2024-03-11 12:21:40,,,,,,,56,,,,,,,828306
828310,60,N,TL,312.4000000000,2024-03-11 17:43:08,,,,,,,60,,,,,,,828310
828452,55,N,TL,0.0200000000,2024-03-11 12:10:16,,,,,,,55,,,,,,,828452
828643,58,N,TL,0.0100000000,2024-03-11 13:37:24,,,,,,,58,,,,,,,828643
829721,59,N,TL,0.0200000000,2024-03-11 17:49:37,,,,,,,59,,,,,,,829721
830165,61,N,TL,0.0100000000,2024-03-12 15:08:34,,,,,,,61,,,,,,,830165
834985,62,N,TL,0.0100000000,2024-03-14 11:48:01,,,,,,,62,,,,,,,834985
838056,63,N,TL,0.0100000000,2024-03-16 11:33:07,,,,,,,63,,,,,,,838056
839864,64,N,TL,0.0100000000,2024-03-16 16:16:57,,,,,,,64,,,,,,,839864
840595,65,N,TL,0.0100000000,2024-03-17 09:59:23,,,,,,,65,,,,,,,840595
840732,66,N,TL,0.0200000000,2024-03-17 16:59:25,,,,,,,66,,,,,,,840732
842334,67,N,TL,0.0100000000,2024-03-18 17:34:12,,,,,,,67,,,,,,,842334
843516,69,N,TL,0.0100000000,2024-03-19 11:45:18,,,,,,,69,,,,,,,843516
843753,68,N,TL,0.0200000000,2024-03-19 09:32:51,,,,,,,68,,,,,,,843753
852258,70,N,TL,0.0100000000,2024-03-22 13:35:08,,,,,,,70,,,,,,,852258
852505,72,N,TL,0.0100000000,2024-03-22 17:07:28,,,,,,,72,,,,,,,852505
852891,71,N,TL,0.0100000000,2024-03-22 16:20:04,,,,,,,71,,,,,,,852891
853598,73,N,TL,0.0100000000,2024-03-22 18:00:52,,,,,,,73,,,,,,,853598
855669,74,N,TL,0.0100000000,2024-03-23 11:58:27,,,,,,,74,,,,,,,855669
865104,75,N,TL,0.0100000000,2024-03-26 09:45:56,,,,,,,75,,,,,,,865104
865114,76,N,TL,0.0100000000,2024-03-26 12:28:28,,,,,,,76,,,,,,,865114
866846,78,N,TL,0.0100000000,2024-03-27 13:24:48,,,,,,,78,,,,,,,866846
867042,77,N,TL,0.0100000000,2024-03-27 10:18:14,,,,,,,77,,,,,,,867042
867563,79,N,TL,0.0100000000,2024-03-27 14:07:19,,,,,,,79,,,,,,,867563
877339,80,N,TL,0.0100000000,2024-04-01 17:00:51,,,,,,,80,,,,,,,877339
877759,81,N,TL,0.0100000000,2024-04-01 17:47:14,,,,,,,81,,,,,,,877759
878152,82,N,TL,0.0100000000,2024-04-02 10:40:59,,,,,,,82,,,,,,,878152
880135,83,N,TL,0.0100000000,2024-04-02 14:18:32,,,,,,,83,,,,,,,880135
893326,90,N,TL,583.0500000000,2024-04-08 15:57:00,,,,,*,,90,,,,,,,893326
895804,86,N,TL,0.0100000000,2024-04-13 10:38:20,,,,,,,86,,,,,,,895804
896908,89,N,TL,512.2000000000,2024-04-09 16:43:00,,,,,*,,89,,,,,,,896908
897001,84,N,TL,0.0100000000,2024-04-13 12:07:47,,,,,,,84,,,,,,,897001
