Ulke,Sehir,kgid,insUN,insDT,insApp,updUN,updDT,updApp
American Samoa,,1,,,,,,
Arabistan,,2,,,,,,
Avustralya,,95,,,,,,
Azerbeycan,,3,,,,,,
Azerbeycan,Antalya,98,MUAZ,2024-11-22 14:53:27.880000,KGShop,,,
Azerbeycan,Baku,4,,,,,,
Azerbeycan,Gaziantep,97,MUAZ,2024-11-06 18:54:21.200000,KGShop,,,
Azerbeycan,İstanbul,96,,,,,,
Bahreyn,,5,,,,,,
Birleşik Arap Emirlikleri,,6,,,,,,
Katar,,7,,,,,,
Kuveyt,,8,,,,,,
Oman,,9,,,,,,
Saudi Arabiastan,,10,,,,,,
Turkmenistan,İstanbul,11,,,,,,
Türkiye,,12,,,,,,
Türkiye,Adana,13,,,,,,
Türkiye,Adıyaman,14,,,,,,
Türkiye,Afyon,15,,,,,,
Türkiye,Ağrı,16,,,,,,
Türkiye,Aksaray,17,,,,,,
Türkiye,Amasya,18,,,,,,
Türkiye,Ankara,19,,,,,,
Türkiye,Antalya,20,,,,,,
Türkiye,Ardahan,21,,,,,,
Türkiye,Artvin,22,,,,,,
Türkiye,Aydın,23,,,,,,
Türkiye,Balıkesir,24,,,,,,
Türkiye,Bartın,25,,,,,,
Türkiye,Batman,26,,,,,,
Türkiye,Bayburt,27,,,,,,
Türkiye,Bilecik,28,,,,,,
Türkiye,Bingöl,29,,,,,,
Türkiye,Bitlis,30,,,,,,
Türkiye,Bolu,31,,,,,,
Türkiye,Burdur,32,,,,,,
Türkiye,Bursa,33,,,,,,
Türkiye,Çanakkale,34,,,,,,
Türkiye,Çankırı,35,,,,,,
Türkiye,Çorum,36,,,,,,
Türkiye,Denizli,37,,,,,,
Türkiye,Diyarbakır,38,,,,,,
Türkiye,Düzce,39,,,,,,
Türkiye,Edirne,40,,,,,,
Türkiye,Elazığ,41,,,,,,
Türkiye,Erzincan,42,,,,,,
Türkiye,Erzurum,43,,,,,,
Türkiye,Eskişehir,44,,,,,,
Türkiye,Gaziantep,45,,,,,,
Türkiye,Giresun,46,,,,,,
Türkiye,Gümüşhane,47,,,,,,
Türkiye,Hakkari,48,,,,,,
Türkiye,Hatay,49,,,,,,
Türkiye,Iğdır,50,,,,,,
Türkiye,Isparta,51,,,,,,
Türkiye,İçel,52,,,,,,
Türkiye,İstanbul,53,,,,,,
Türkiye,İzmir,54,,,,,,
Türkiye,KahramanMaraş,55,,,,,,
Türkiye,Karabük,56,,,,,,
Türkiye,Karaman,57,,,,,,
Türkiye,Kars,58,,,,,,
Türkiye,Kastamonu,59,,,,,,
Türkiye,Kayseri,60,,,,,,
Türkiye,Kırıkkale,61,,,,,,
Türkiye,Kırklareli,62,,,,,,
Türkiye,Kırşehir,63,,,,,,
Türkiye,Kilis,64,,,,,,
Türkiye,Kocaeli,65,,,,,,
Türkiye,Konya,66,,,,,,
Türkiye,Kütahya,67,,,,,,
Türkiye,Magosa,68,,,,,,
Türkiye,Malatya,69,,,,,,
Türkiye,Manisa,70,,,,,,
Türkiye,Mardin,71,,,,,,
Türkiye,Muğla,72,,,,,,
Türkiye,Muş,73,,,,,,
Türkiye,Nevşehir,74,,,,,,
Türkiye,Niğde,75,,,,,,
Türkiye,Ordu,76,,,,,,
Türkiye,Osmaniye,77,,,,,,
Türkiye,Rize,78,,,,,,
Türkiye,Sakarya,79,,,,,,
Türkiye,Samsun,80,,,,,,
Türkiye,Siirt,81,,,,,,
Türkiye,Sinop,82,,,,,,
Türkiye,Sivas,83,,,,,,
Türkiye,Şanlıurfa,84,,,,,,
Türkiye,Şırnak,85,,,,,,
Türkiye,Tekirdağ,86,,,,,,
Türkiye,Tokat,87,,,,,,
Türkiye,Trabzon,88,,,,,,
Türkiye,Tunceli,89,,,,,,
Türkiye,Uşak,90,,,,,,
Türkiye,Van,91,,,,,,
Türkiye,Yalova,92,,,,,,
Türkiye,Yozgat,93,,,,,,
Türkiye,Zonguldak,94,,,,,,
Yunanistan,,99,MUAZ,2025-05-05 13:47:46.037000,KGShop,,,
