UserName,CatalogName,AccessLocation,ReadLoc,WriteLoc,DBName
abdullahselcuk,Uretim20,*,,,KORGUNYAZILIM1910
abdullahselcuk,Uretim20,CA002,,,KORGUNYAZILIM1910
abdullahselcuk,Uretim20,CH001,,,KORGUNYAZILIM1910
ahmet.yilmaz,Antrepo20,*,,,KORGUNYAZILIM1910
ahmet.yilmaz,Antrepo20,AA001,,,KORGUNYAZILIM1910
ahmet.yilmaz,Antrepo20,AA002,,,KORGUNYAZILIM1910
ahmet.yilmaz,Antrepo20,AA003,,,KORGUNYAZILIM1910
ahmet.yilmaz,Antrepo20,AA004,,,KORGUNYAZILIM1910
ahmet.yilmaz,Uretim20,*,,,KORGUNYAZILIM1910
ahmet.yilmaz,Uretim20,CA001,,,KORGUNYAZILIM1910
ahmet.yilmaz,Uretim20,CA002,,,KORGUNYAZILIM1910
ahmet.yilmaz,Uretim20,CA003,,,KORGUNYAZILIM1910
ahmet.yilmaz,Uretim20,CH001,,,KORGUNYAZILIM1910
ahmet.yilmaz,Uretim20,CS001,,,KORGUNYAZILIM1910
aleyna.memek,Antrepo20,*,,,KORGUNYAZILIM1910
aleyna.memek,Antrepo20,AB001,,,KORGUNYAZILIM1910
Alibel,Uretim20,*,,,KORGUNYAZILIM1910
Alibel,Uretim20,CA001,,,KORGUNYAZILIM1910
Alibel,Uretim20,CA002,,,KORGUNYAZILIM1910
Alibel,Uretim20,CS001,,,KORGUNYAZILIM1910
aytenfirat,Antrepo20,*,,,KORGUNYAZILIM1910
aytenfirat,Antrepo20,AA001,,,KORGUNYAZILIM1910
aytenfirat,Uretim20,*,,,KORGUNYAZILIM1910
aytenfirat,Uretim20,CA001,,,KORGUNYAZILIM1910
aytenfirat,Uretim20,CH001,,,KORGUNYAZILIM1910
aytenfirat,Uretim20,CS001,,,KORGUNYAZILIM1910
baharumar,Antrepo20,*,,,KORGUNYAZILIM1910
baharumar,Antrepo20,AB002,,,KORGUNYAZILIM1910
bankaentegre,Antrepo20,*,,,KORGUNYAZILIM1910
bankaentegre,Antrepo20,AA001,,,KORGUNYAZILIM1910
bankaentegre,Antrepo20,AA002,,,KORGUNYAZILIM1910
bankaentegre,Antrepo20,AA003,,,KORGUNYAZILIM1910
bankaentegre,Antrepo20,AA004,,,KORGUNYAZILIM1910
bankaentegre,Antrepo20,AA005,,,KORGUNYAZILIM1910
bankaentegre,Antrepo20,AB001,,,KORGUNYAZILIM1910
bankaentegre,Antrepo20,AB002,,,KORGUNYAZILIM1910
bankaentegre,Antrepo20,AB003,,,KORGUNYAZILIM1910
bankaentegre,Antrepo20,AH001,,,KORGUNYAZILIM1910
bankaentegre,Antrepo20,AW001,,,KORGUNYAZILIM1910
bankaentegre,Antrepo20,FA001,,,KORGUNYAZILIM1910
bankaentegre,Antrepo20,FA002,,,KORGUNYAZILIM1910
bankaentegre,Antrepo20,MK001,,,KORGUNYAZILIM1910
bankaentegre,Cabani20,*,,,KORGUNYAZILIM1910
bankaentegre,Cabani20,CA001,,,KORGUNYAZILIM1910
bankaentegre,Uretim20,*,,,KORGUNYAZILIM1910
bankaentegre,Uretim20,CA001,,,KORGUNYAZILIM1910
bankaentegre,Uretim20,CA002,,,KORGUNYAZILIM1910
bankaentegre,Uretim20,CA003,,,KORGUNYAZILIM1910
bankaentegre,Uretim20,CA004,,,KORGUNYAZILIM1910
bankaentegre,Uretim20,CH001,,,KORGUNYAZILIM1910
bankaentegre,Uretim20,CS001,,,KORGUNYAZILIM1910
Bayramkırelli,Antrepo20,*,,,KORGUNYAZILIM1910
Bayramkırelli,Antrepo20,AA001,,,KORGUNYAZILIM1910
Bayramkırelli,Antrepo20,AA002,,,KORGUNYAZILIM1910
Bayramkırelli,Antrepo20,AA003,,,KORGUNYAZILIM1910
Bayramkırelli,Antrepo20,AA004,,,KORGUNYAZILIM1910
Bayramkırelli,Antrepo20,AA005,,,KORGUNYAZILIM1910
Bayramkırelli,Antrepo20,AB001,,,KORGUNYAZILIM1910
Bayramkırelli,Antrepo20,AB002,,,KORGUNYAZILIM1910
Bayramkırelli,Antrepo20,AB003,,,KORGUNYAZILIM1910
Bayramkırelli,Antrepo20,AW001,,,KORGUNYAZILIM1910
Bayramkırelli,Antrepo20,FA002,,,KORGUNYAZILIM1910
Bayramkırelli,Antrepo20,Z0001,,,KORGUNYAZILIM1910
Bayramkırelli,Antrepo20,Z0002,,,KORGUNYAZILIM1910
Bayramkırelli,Antrepo20,Z0003,,,KORGUNYAZILIM1910
Bayramkırelli,Antrepo20,Z0004,,,KORGUNYAZILIM1910
Bayramkırelli,Cabani20,*,,,KORGUNYAZILIM1910
Bayramkırelli,Uretim20,*,,,KORGUNYAZILIM1910
Bayramkırelli,Uretim20,CA001,,,KORGUNYAZILIM1910
Bayramkırelli,Uretim20,CA002,,,KORGUNYAZILIM1910
Bayramkırelli,Uretim20,CA003,,,KORGUNYAZILIM1910
Bayramkırelli,Uretim20,CA004,,,KORGUNYAZILIM1910
Bayramkırelli,Uretim20,CH001,,,KORGUNYAZILIM1910
Bayramkırelli,Uretim20,CS001,,,KORGUNYAZILIM1910
berke.kaban,Antrepo20,*,,,KORGUNYAZILIM1910
berke.kaban,Antrepo20,AA001,,,KORGUNYAZILIM1910
berke.kaban,Antrepo20,AA002,,,KORGUNYAZILIM1910
berke.kaban,Antrepo20,AA003,,,KORGUNYAZILIM1910
berke.kaban,Antrepo20,AA004,,,KORGUNYAZILIM1910
berke.kaban,Antrepo20,AA005,,,KORGUNYAZILIM1910
berke.kaban,Antrepo20,AB001,,,KORGUNYAZILIM1910
berke.kaban,Antrepo20,AB002,,,KORGUNYAZILIM1910
berke.kaban,Antrepo20,AB003,,,KORGUNYAZILIM1910
berke.kaban,Antrepo20,AW001,,,KORGUNYAZILIM1910
berke.kaban,Antrepo20,FA002,,,KORGUNYAZILIM1910
berke.kaban,Cabani20,*,,,KORGUNYAZILIM1910
