Ginx,SKod,MuhKod,EmirTar,Tutar,RKod,BedKod,kgid,insUN,insDT,insApp,updUN,updDT,updApp
40,100933,xxxxx,2023-01-05 10:10:17.317000,274.8940000000,1805,156,1,,,,,,
40,100933,xxxxx,2023-01-05 10:10:17.317000,274.8940000000,1805,157,2,,,,,,
40,100933,xxxxx,2023-01-05 10:10:17.317000,1649.3641000000,1805,159,3,,,,,,
40,100981,xxxxx,2023-01-13 13:55:32.943000,274.8940000000,1718,157,4,,,,,,
40,100981,xxxxx,2023-01-13 13:55:32.943000,549.7880000000,1718,158,5,,,,,,
40,100981,xxxxx,2023-01-13 13:55:32.943000,824.6820000000,1718,159,6,,,,,,
40,100981,xxxxx,2023-01-13 13:55:32.943000,549.7880000000,1718,160,7,,,,,,
40,100981,xxxxx,2023-01-13 13:55:32.943000,274.8940000000,1718,161,8,,,,,,
40,100981,xxxxx,2023-01-13 13:55:32.943000,274.8940000000,1718,162,9,,,,,,
40,101847,xxxxx,2022-12-09 11:34:29.347000,274.8940000000,1780,156,10,,,,,,
40,101847,xxxxx,2022-12-09 11:34:29.347000,1099.5760000000,1780,157,11,,,,,,
40,101847,xxxxx,2022-12-09 11:34:29.347000,1099.5760000000,1780,158,12,,,,,,
40,101847,xxxxx,2022-12-09 11:34:29.347000,1374.4700000000,1780,159,13,,,,,,
40,101847,xxxxx,2022-12-09 11:34:29.347000,1099.5760000000,1780,160,14,,,,,,
40,101847,xxxxx,2022-12-09 11:34:29.347000,549.7880000000,1780,161,15,,,,,,
40,101847,xxxxx,2022-12-09 11:34:29.347000,549.7880000000,1780,162,16,,,,,,
40,101883,xxxxx,2022-12-21 08:46:45.090000,366.5253000000,2178,157,17,,,,,,
40,101883,xxxxx,2022-12-21 08:46:45.090000,733.0507000000,2178,158,18,,,,,,
40,101883,xxxxx,2022-12-21 08:46:45.090000,1099.5760000000,2178,159,19,,,,,,
40,101883,xxxxx,2022-12-21 08:46:45.090000,733.0507000000,2178,160,20,,,,,,
40,101883,xxxxx,2022-12-21 08:46:45.090000,366.5253000000,2178,161,21,,,,,,
40,101883,xxxxx,2022-12-21 08:46:45.090000,366.5253000000,2178,162,22,,,,,,
40,101883,xxxxx,2022-12-21 10:24:47.150000,366.5253000000,1800,157,23,,,,,,
40,101883,xxxxx,2022-12-21 10:24:47.150000,733.0507000000,1800,158,24,,,,,,
40,101883,xxxxx,2022-12-21 10:24:47.150000,1099.5760000000,1800,159,25,,,,,,
40,101883,xxxxx,2022-12-21 10:24:47.150000,733.0507000000,1800,160,26,,,,,,
40,101883,xxxxx,2022-12-21 10:24:47.150000,366.5253000000,1800,161,27,,,,,,
40,101883,xxxxx,2022-12-21 10:24:47.150000,366.5253000000,1800,162,28,,,,,,
40,101883,xxxxx,2022-12-21 10:27:05.607000,366.5253000000,2339,157,29,,,,,,
40,101883,xxxxx,2022-12-21 10:27:05.607000,733.0507000000,2339,158,30,,,,,,
40,101883,xxxxx,2022-12-21 10:27:05.607000,1099.5760000000,2339,159,31,,,,,,
40,101883,xxxxx,2022-12-21 10:27:05.607000,733.0507000000,2339,160,32,,,,,,
40,101883,xxxxx,2022-12-21 10:27:05.607000,366.5253000000,2339,161,33,,,,,,
40,101883,xxxxx,2022-12-21 10:27:05.607000,366.5253000000,2339,162,34,,,,,,
40,101883,xxxxx,2022-12-21 10:29:51.850000,366.5253000000,1768,157,35,,,,,,
40,101883,xxxxx,2022-12-21 10:29:51.850000,733.0507000000,1768,158,36,,,,,,
40,101883,xxxxx,2022-12-21 10:29:51.850000,1099.5760000000,1768,159,37,,,,,,
40,101883,xxxxx,2022-12-21 10:29:51.850000,733.0507000000,1768,160,38,,,,,,
40,101883,xxxxx,2022-12-21 10:29:51.850000,366.5253000000,1768,161,39,,,,,,
40,101883,xxxxx,2022-12-21 10:29:51.850000,366.5253000000,1768,162,40,,,,,,
40,101883,xxxxx,2022-12-21 10:32:01.027000,366.5253000000,1789,157,41,,,,,,
40,101883,xxxxx,2022-12-21 10:32:01.027000,733.0507000000,1789,158,42,,,,,,
40,101883,xxxxx,2022-12-21 10:32:01.027000,1099.5760000000,1789,159,43,,,,,,
40,101883,xxxxx,2022-12-21 10:32:01.027000,733.0507000000,1789,160,44,,,,,,
40,101883,xxxxx,2022-12-21 10:32:01.027000,366.5253000000,1789,161,45,,,,,,
40,101883,xxxxx,2022-12-21 10:32:01.027000,366.5253000000,1789,162,46,,,,,,
40,101886,xxxxx,2022-12-27 11:31:05.203000,824.6820000000,2178,155,47,,,,,,
40,101886,xxxxx,2022-12-27 11:31:05.203000,1374.4700000000,2178,156,48,,,,,,
40,101886,xxxxx,2022-12-27 11:31:05.203000,1924.2581000000,2178,157,49,,,,,,
