kgid,mkgid,RKod,Asorti,Miktar,insUN,insDT,insApp,updUN,updDT,updApp
5,93,19018,A01,1.0000000000,yulya,2024-10-23 16:52:54.283000,KGShop,,,
6,93,19017,A01,1.0000000000,yulya,2024-10-23 16:52:54.300000,KGShop,,,
7,94,16603,A01,1.0000000000,yulya,2024-10-23 16:54:29.997000,KGShop,,,
8,95,18664,A02,1.0000000000,yulya,2024-10-23 16:58:06.940000,KGShop,,,
9,96,18662,A01,1.0000000000,yulya,2024-10-23 16:58:06.940000,KGShop,,,
10,97,17470,A01,1.0000000000,yulya,2024-10-23 16:58:06.943000,KGShop,,,
11,98,18664,A01,1.0000000000,yulya,2024-10-23 16:58:06.943000,KGShop,,,
12,99,16897,A01,1.0000000000,yulya,2024-10-23 16:59:14.510000,KGShop,,,
14,101,18700,A01,1.0000000000,yulya,2024-10-24 09:43:13.383000,KGShop,,,
15,102,18700,A429,1.0000000000,yulya,2024-10-24 09:43:13.400000,KGShop,,,
17,104,17683,A01,2.0000000000,yulya,2024-10-24 09:49:05.197000,KGShop,,,
18,105,17683,A01,1.0000000000,yulya,2024-10-24 09:49:05.200000,KGShop,,,
19,106,18664,A01,1.0000000000,yulya,2024-10-24 09:55:45.847000,KGShop,,,
20,107,17470,A684,1.0000000000,yulya,2024-10-24 09:55:45.850000,KGShop,,,
21,108,16519,A01,1.0000000000,yulya,2024-10-24 09:55:45.850000,KGShop,,,
22,109,17190,A02,1.0000000000,yulya,2024-10-24 09:55:45.850000,KGShop,,,
23,110,16519,A01,1.0000000000,yulya,2024-10-24 09:55:45.853000,KGShop,,,
24,111,18673,A01,1.0000000000,yulya,2024-10-24 09:55:45.853000,KGShop,,,
25,112,18580,A01,1.0000000000,yulya,2024-10-24 09:59:12.483000,KGShop,,,
26,113,18814,A02,1.0000000000,yulya,2024-10-25 11:15:07.520000,KGShop,,,
27,113,18816,A02,1.0000000000,yulya,2024-10-25 11:15:07.537000,KGShop,,,
28,114,18665,A429,2.0000000000,yulya,2024-10-28 09:50:04.950000,KGShop,,,
29,115,16519,A133,1.0000000000,yulya,2024-10-28 09:52:32.643000,KGShop,,,
30,116,17470,A02,1.0000000000,yulya,2024-10-28 09:52:32.647000,KGShop,,,
31,117,16519,A01,1.0000000000,yulya,2024-10-28 09:52:32.650000,KGShop,,,
