RENK_KOD,Tanim,OzKod1,OzKod2,OzKod3,Tip,kgid,insUN,insDT,insApp,updUN,updDT,updApp
0,,,,,,1,,,,,,
1,Siyah,,,,,2,,,,,,
2,Sarı,,,,,3,,,,,,
3,Nubuk Lacivert,,,,,4,,,,,,
4,Siyah Siyah,,,,,5,,,,,,
5,Siyah Kırmızı,,,,,6,,,,,,
6,Lacivert,,,,,7,,,,,,
7,Bordo,,,,,8,,,,,,
8,Füme,,,,,9,,,,,,
9,Beyaz,,,,,10,,,,,,
10,Haki,,,,,11,,,,,,
11,Siyah Beyaz,,,,,12,,,,,,
12,Siyah Sarı,,,,,13,,,,,,
13,Kırmızı,,,,,14,,,,,,
14,Haki Yeşili,,,,,15,,,,,,
15,Siyah Mavi,,,,,16,,,,,,
16,Petrol Yeşili,,,,,17,,,,,,
17,Kahverengi,,,,,18,,,,,,
18,Siyah Füme,,,,,19,,,,,,
19,Vizon,,,,,20,,,,,,
20,Siyah Füme Oranj,,,,,21,,,,,,
21,Siyah Gümüş,,,,,22,,,,,,
22,Haki Yeşil,,,,,23,,,,,,
23,Beyaz Kırmızı,,,,,24,,,,,,
24,Kırmızı Füme,,,,,25,,,,,,
25,Füme Siyah,,,,,26,,,,,,
26,Lacivert Kırmızı,,,,,27,,,,,,
27,Siyah Siyah1,,,,,28,,,,,,
28,Haki Siyah 1,,,,,29,,,,,,
29,Kum Siyah1,,,,,30,,,,,,
30,Siyah Siyah Kırmızı1,,,,,31,,,,,,
31,Siyah Füme Kırmızı1,,,,,32,,,,,,
32,Siyah Kahve Oranj1,,,,,33,,,,,,
33,Siyah Haki1,,,,,34,,,,,,
34,Siyah1,,,,,35,,,,,,
35,Beyaz1,,,,,36,,,,,,
36,Siyah Taba1,,,,,37,,,,,,
37,Rugan Siyah1,,,,,38,,,,,,
38,Mat Siyah1,,,,,39,,,,,,
39,Kum,,,,,40,,,,,,
40,Kahverengi1,,,,,41,,,,,,
41,Domino Siyah,,,,,42,,,,,,
42,Nubuk Siyah,,,,,43,,,,,,
43,Nubuk Camel,,,,,44,,,,,,
44,Siyah Kamuflaj,,,,,45,,,,,,
45,Hardal,,,,,46,,,,,,
46,Siyah Cilt,,,,,47,,,,,,
47,Siyah Süet,,,,,48,,,,,,
48,Taba,,,,,49,,,,,,
49,Füme Kırmızı Mavi,,,,,50,,,,,,
50,Buz Gri Beyaz Sarı,,,,,51,,,,,,
51,Somon Yeşil Siyah,,,,,52,,,,,,
52,Beyaz Gümüş,,,,,53,,,,,,
53,Siyah Fuşya,,,,,54,,,,,,
54,Pembe Beyaz,,,,,55,,,,,,
55,Beyaz Mor,,,,,56,,,,,,
56,Bordo Beyaz,,,,,57,,,,,,
57,Açık Pembe Beyaz,,,,,58,,,,,,
58,Füme Beyaz,,,,,59,,,,,,
59,Lacivert Beyaz,,,,,60,,,,,,
60,Haki Siyah,,,,,61,,,,,,
61,Buz Lacivert,,,,,62,,,,,,
62,Sarı Siyah,,,,,63,,,,,,
63,Gri Siyah,,,,,64,,,,,,
64,Kırmızı Siyah,,,,,65,,,,,,
65,Süet Siyah,,,,,66,,,,,,
66,Mat Siyah,,,,,67,,,,,,
67,Rugan Siyah,,,,,68,,,,,,
68,Buz Beyaz,,,,,69,,,,,,
69,Lacivert Lacivert,,,,,70,,,,,,
70,Sumi Buz,,,,,71,,,,,,
71,Nova Beyaz,,,,,72,,,,,,
72,Taba Kahve,,,,,73,,,,,,
73,Taba Beyaz,,,,,74,,,,,,
74,Siyah Mavi Beyaz,,,,,75,,,,,,
75,Süet Lacivert,,,,,76,,,,,,
76,3D Baskılı Siyah Siyah,,,,,77,,,,,,
77,3D Baskılı Siyah,,,,,78,,,,,,
78,Beyaz Siyah,,,,,79,,,,,,
79,Sarı Beyaz,,,,,80,,,,,,
80,3D Baskılı Beyaz,,,,,81,,,,,,
81,3D Baskılı Siyah Beyaz,,,,,82,,,,,,
82,Beyaz Beyaz,,,,,83,,,,,,
83,Cilt Beyaz Buz,,,,,84,,,,,,
84,Cilt Siyah Füme,,,,,85,,,,,,
85,Beyaz Buz,,,,,86,,,,,,
86,Buz Siyah Kırmızı,,,,,87,,,,,,
87,Siyah Beyaz Füme,,,,,88,,,,,,
88,Kırmızı Buz,,,,,89,,,,,,
89,Beyaz Süet,,,,,90,,,,,,
90,Taş Siyah Hardal,,,,,91,,,,,,
91,Buz,,,,,92,,,,,,
92,Siyah Hardal Taş,,,,,93,,,,,,
93,Lacivert Gri,,,,,94,,,,,,
94,Taba Taba,,,,,95,,,,,,
95,Siyah Gri,,,,,96,,,,,,
