SKOD,RKOD,BedKod,Modul,FisNo,FisHarinx,SendTar,Location,FisTip,Giren,Cikan,scikan,Fiyat,Birim,Mrptedariktipi,TerminTar,Mrpcheck,kgid,insUN,insDT,insApp,updUN,updDT,updApp
100007,645,157,U,22653,63653,2025-01-27 02:28:34.987000,CA001,S,100.0000000000,0E-10,0E-10,0E-10,CIFT,,,,962,Samet,2025-01-27 02:28:34.987000,KGShop_GRPEMIR,,,
100007,645,158,U,22653,63653,2025-01-27 02:28:34.987000,CA001,S,200.0000000000,0E-10,0E-10,0E-10,CIFT,,,,963,Samet,2025-01-27 02:28:34.987000,KGShop_GRPEMIR,,,
100007,645,159,U,22653,63653,2025-01-27 02:28:34.987000,CA001,S,300.0000000000,0E-10,0E-10,0E-10,CIFT,,,,964,Samet,2025-01-27 02:28:34.987000,KGShop_GRPEMIR,,,
100007,645,160,U,22653,63653,2025-01-27 02:28:34.987000,CA001,S,200.0000000000,0E-10,0E-10,0E-10,CIFT,,,,965,Samet,2025-01-27 02:28:34.987000,KGShop_GRPEMIR,,,
100007,645,161,U,22653,63653,2025-01-27 02:28:34.987000,CA001,S,100.0000000000,0E-10,0E-10,0E-10,CIFT,,,,966,Samet,2025-01-27 02:28:34.987000,KGShop_GRPEMIR,,,
100007,645,162,U,22653,63653,2025-01-27 02:28:34.987000,CA001,S,100.0000000000,0E-10,0E-10,0E-10,CIFT,,,,967,Samet,2025-01-27 02:28:34.987000,KGShop_GRPEMIR,,,
100905,1751,162,U,1316,2057,2020-11-02 15:17:33.050000,CS001,S,1.0000000000,0E-10,0E-10,0E-10,CIFT,,,,1,,,,,,
101184,1718,157,U,1261,1838,2020-10-30 10:58:15.367000,CS001,S,1.0000000000,0E-10,0E-10,0E-10,CIFT,,,,2,,,,,,
101184,1718,158,U,1261,1838,2020-10-30 10:58:15.367000,CS001,S,2.0000000000,0E-10,0E-10,0E-10,CIFT,,,,3,,,,,,
101184,1718,159,U,1261,1838,2020-10-30 10:58:15.367000,CS001,S,3.0000000000,0E-10,0E-10,0E-10,CIFT,,,,4,,,,,,
