ID,CODE,kgid,insUN,insDT,insApp,updUN,updDT,updApp
1,5001,1,,,,,,
2,5002,2,,,,,,
3,5003,3,,,,,,
4,5004,4,,,,,,
5,5005,5,,,,,,
6,5006,6,,,,,,
7,5007,7,,,,,,
8,5008,8,,,,,,
9,5009,9,,,,,,
10,5010,10,,,,,,
11,5011,11,,,,,,
12,5012,12,,,,,,
13,5013,13,,,,,,
14,5014,14,,,,,,
15,5015,15,,,,,,
16,5016,16,,,,,,
17,5017,17,,,,,,
18,5018,18,,,,,,
19,5019,19,,,,,,
20,5021,20,,,,,,
21,5020,21,,,,,,
22,5022,22,,,,,,
23,5023,23,,,,,,
24,5024,24,,,,,,
25,5025,25,,,,,,
26,5026,26,,,,,,
27,5027,27,,,,,,
28,5028,28,,,,,,
29,5029,29,,,,,,
31,5031,30,,,,,,
32,5032,31,,,,,,
33,5033,32,,,,,,
34,5034,33,,,,,,
35,5035,34,,,,,,
36,5036,35,,,,,,
37,5038,36,,,,,,
38,5039,37,,,,,,
39,5040,38,,,,,,
40,5041,39,,,,,,
41,5042,40,,,,,,
42,5043,41,,,,,,
43,5044,42,,,,,,
44,5045,43,,,,,,
45,5046,44,,,,,,
46,5047,45,,,,,,
47,5048,46,,,,,,
48,5049,47,,,,,,
49,5050,48,,,,,,
50,5051,49,,,,,,
51,5052,50,,,,,,
