BelgeNo,FatHarinx,SipHarinx,SevkHarinx,SKOD,Tanim,Miktar,Birim,ParaCinsi,Fiyat,iskonto,iskontoTut,KDVORAN,MuhKod,KDVMuhKod,iskMuhKod,MM,KDVMM,iskMM,OtvMuhKod,OtvMM,LotNo,SeriNo,MuhKod2,MM2,TamirHarinx,_iskTutar,_KDVTutar,_OTVTutar,_Tutar,Fason,TevOran,TevMuhKod,TevMM,MalFiyat,OTVOran,iadeNeden,locked,OzKod1,OzKod2,OzKod3,TutarTmp,TevKod,Proje_D_Id,EF_DeliverytermsType,EF_PackagingTypeCode,EF_PackagingID,EF_PackagingQuantity,EF_TransportModeCode,EF_GTipNo,EF_DecCarriageValueAmount,EF_InsuranceValueAmount,EF_DecCustomsValueAmount
1030,1177,,,J01.001,,5038.8,ADET,TL,50.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1032,1188,2190,,011- 23-52,,16.0,CIFT,US,50.0,0.0,0.0,0.0,,,,,,,,,000060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1033,1189,2164,,021-7077,,10.0,CIFT,US,42.0,0.0,0.0,0.0,,,,,,,,,000488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1033,1190,2163,,021-7075,,8.0,CIFT,US,42.0,0.0,0.0,0.0,,,,,,,,,000487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1033,1191,2166,,021-7324,,10.0,CIFT,US,42.0,0.0,0.0,0.0,,,,,,,,,000490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1033,1192,2168,,021-7277,,8.0,CIFT,US,42.0,0.0,0.0,0.0,,,,,,,,,000492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041,1222,383,,013- P4416,JESKAZGAN,8.0,CIFT,US,57.0,0.0,0.0,0.0,,,,,,,,,000383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041,1223,382,,013- RG530,JESKAZGAN,8.0,CIFT,US,55.0,0.0,0.0,0.0,,,,,,,,,000382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1045,1267,76,,010- 6213,,16.0,CIFT,US,53.0,0.0,0.0,0.0,,,,,,,,,000076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1045,1268,75,,010- 6332,,8.0,CIFT,US,53.0,0.0,0.0,0.0,,,,,,,,,000075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1048,1274,27,,007- 6011,,16.0,CIFT,US,63.0,0.0,2.0,0.0,,,,,,,,,000027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1048,1275,25,,007- 3014,,16.0,CIFT,US,64.0,0.0,2.0,0.0,,,,,,,,,000025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1048,1276,22,,007- 1469,YARIM KÜRKLÜ,16.0,CIFT,US,72.0,0.0,2.0,0.0,,,,,,,,,000022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,1286,235,,006- 107-25,,8.0,CIFT,US,50.0,0.0,0.0,0.0,,,,,,,,,000235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,1287,233,,006- 210-25,,16.0,CIFT,US,70.0,0.0,0.0,0.0,,,,,,,,,000233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,1288,225,,006- 3102-25,,16.0,CIFT,US,69.0,0.0,0.0,0.0,,,,,,,,,000225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,1289,222,,006- 152-25,,16.0,CIFT,US,57.0,0.0,0.0,0.0,,,,,,,,,000222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1051,1290,72,,008- 1023-1,,8.0,CIFT,US,67.0,0.0,0.0,0.0,,,,,,,,,000072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1051,1291,71,,008- 3020,,8.0,CIFT,US,120.0,0.0,0.0,0.0,,,,,,,,,000071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1051,1292,65,,008- 3021,,8.0,CIFT,US,115.0,0.0,0.0,0.0,,,,,,,,,000065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1052,1293,96,,009-1110,,16.0,CIFT,US,53.0,0.0,0.0,0.0,,,,,,,,,000096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1052,1294,95,,009- 1058,,24.0,CIFT,US,46.0,0.0,0.0,0.0,,,,,,,,,000095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
