Company,Location,GKod
01,AS011,G01 -
01,AS011,G01.000
01,AS011,G01.001
01,AS011,G01.002
01,AS011,G01.003
01,AS011,G01.004
01,AS011,G01.005
01,AS011,G01.006
01,AS011,G01.007
01,AS011,G01.008
01,AS011,G01.009
01,AS011,G01.010
01,AS011,G01.011
01,AS011,G01.012
01,AS011,G01.013
01,AS011,G01.014
01,AS011,G01.015
01,AS011,G01.016
01,AS011,G01.017
01,AS011,G01.018
01,AS011,G01.019
01,AS011,G01.020
01,AS011,G01.021
01,AS011,G01.022
01,AS011,G01.023
01,AS011,G01.024
01,AS011,G01.025
01,AS011,G01.026
01,AS011,G01.027
01,AS011,G02 -
01,AS011,G02.001
01,AS011,G02.002
01,AS011,G02.003
01,AS011,G02.004
01,AS011,G02.005
01,AS011,G02.006
01,AS011,G02.007
01,AS011,G02.008
01,AS011,G02.009
01,AS011,G02.010
01,AS011,G03 -
01,AS011,G03.001
01,AS011,G04 -
01,AS011,G04.001
01,AS011,G04.002
01,AS011,G04.003
01,AS011,G04.004
01,AS011,G05 -
01,AS011,G05.001
01,AS011,G05.002
01,AS011,G05.003
01,AS011,G05.004
01,AS011,G05.005
01,AS011,G05.006
01,AS011,G05.007
01,AS011,G05.008
01,AS011,G05.009
01,AS011,G05.010
01,AS011,G05.011
01,AS011,G05.012
01,AS011,G05-013
01,AS011,G05-014
01,AS011,G05-015
01,AS011,G05-016
01,AS011,G05-017
01,AS011,G05-019
01,AS011,G05-20
01,AS011,G06 -
01,AS011,G06 007
01,AS011,G06.001
01,AS011,G06.002
01,AS011,G06.003
01,AS011,G06.004
01,AS011,G06-05
01,AS011,G06-06
01,AS011,gml
01,AT001,FML 001
01,AT001,FML INS
01,AT001,FML INS 005
01,AT001,FML INS 006
01,AT001,FML INS.001
01,AT001,FML INS.002
01,AT001,FML INS.003
01,AT001,FML INS.004
01,AT001,FML INS-FILIZ
01,AT001,FML002
01,AT001,FML003
01,AT001,FML07
01,AT001,FML07 ELEMAN
01,AT001,G003-006
01,AT001,G01 -
01,AT001,G01.000
01,AT001,G01.001
01,AT001,G01.002
01,AT001,G01.003
01,AT001,G01.004
01,AT001,G01.005
01,AT001,G01.006
01,AT001,G01.007
01,AT001,G01.008
01,AT001,G01.009
01,AT001,G01.010
01,AT001,G01.011
01,AT001,G01.012
01,AT001,G01.013
01,AT001,G01.014
01,AT001,G01.015
01,AT001,G01.016
01,AT001,G01.017
01,AT001,G01.018
01,AT001,G01.019
01,AT001,G01.020
01,AT001,G01.021
01,AT001,G01.022
01,AT001,G01.023
01,AT001,G01.024
01,AT001,G01.025
01,AT001,G01.026
01,AT001,G01.027
01,AT001,G02 -
01,AT001,G02.001
01,AT001,G02.002
01,AT001,G02.003
01,AT001,G02.004
01,AT001,G02.005
01,AT001,G02.006
01,AT001,G02.007
01,AT001,G02.008
01,AT001,G02.009
01,AT001,G02.010
01,AT001,G03 -
01,AT001,G03.001
01,AT001,G04 -
01,AT001,G04.001
01,AT001,G04.002
01,AT001,G04.003
01,AT001,G04.004
01,AT001,G05 -
01,AT001,G05.001
01,AT001,G05.002
01,AT001,G05.003
01,AT001,G05.004
01,AT001,G05.005
01,AT001,G05.006
01,AT001,G05.007
01,AT001,G05.008
01,AT001,G05.009
01,AT001,G05.010
01,AT001,G05.011
01,AT001,G05.012
01,AT001,G05-013
01,AT001,G05-014
01,AT001,G05-015
01,AT001,G05-016
01,AT001,G05-017
01,AT001,G05-019
01,AT001,G05-20
01,AT001,G06 -
01,AT001,G06 007
01,AT001,G06.001
01,AT001,G06.002
01,AT001,G06.003
01,AT001,G06.004
01,AT001,G06-05
01,AT001,G06-06
01,AT001,gml
01,AT001,H07-
01,AT001,H07.01
01,AT001,H07.02
01,GM002,G01.027
01,GM002,gml
01,PM001,FML 001
01,PM001,FML INS
01,PM001,FML INS 005
01,PM001,FML INS 006
01,PM001,FML INS.001
01,PM001,FML INS.002
01,PM001,FML INS.003
01,PM001,FML INS.004
01,PM001,FML INS-FILIZ
01,PM001,FML002
01,PM001,FML003
01,PM001,FML07
01,PM001,FML07 ELEMAN
01,PM001,G003-006
01,PM001,G01 -
01,PM001,G01.000
01,PM001,G01.001
01,PM001,G01.002
01,PM001,G01.003
01,PM001,G01.004
01,PM001,G01.005
01,PM001,G01.006
01,PM001,G01.007
01,PM001,G01.008
01,PM001,G01.009
01,PM001,G01.010
01,PM001,G01.011
01,PM001,G01.012
01,PM001,G01.013
01,PM001,G01.014
01,PM001,G01.015
01,PM001,G01.016
01,PM001,G01.017
01,PM001,G01.018
01,PM001,G01.019
01,PM001,G01.020
01,PM001,G01.021
01,PM001,G01.022
01,PM001,G01.023
01,PM001,G01.024
01,PM001,G01.025
01,PM001,G01.026
01,PM001,G01.027
01,PM001,G02 -
01,PM001,G02.001
01,PM001,G02.002
01,PM001,G02.003
01,PM001,G02.004
01,PM001,G02.005
01,PM001,G02.006
01,PM001,G02.007
01,PM001,G02.008
01,PM001,G02.009
01,PM001,G02.010
01,PM001,G03 -
01,PM001,G03.001
01,PM001,G04 -
01,PM001,G04.001
01,PM001,G04.002
01,PM001,G04.003
01,PM001,G04.004
01,PM001,G05 -
01,PM001,G05.001
01,PM001,G05.002
01,PM001,G05.003
01,PM001,G05.004
01,PM001,G05.005
01,PM001,G05.006
01,PM001,G05.007
01,PM001,G05.008
01,PM001,G05.009
01,PM001,G05.010
01,PM001,G05.011
01,PM001,G05.012
01,PM001,G05-013
01,PM001,G05-014
01,PM001,G05-015
01,PM001,G05-016
01,PM001,G05-017
01,PM001,G05-019
01,PM001,G05-20
01,PM001,G06 -
01,PM001,G06 007
01,PM001,G06.001
01,PM001,G06.002
01,PM001,G06.003
01,PM001,G06.004
01,PM001,G06-05
01,PM001,G06-06
01,PM001,gml
01,PM001,H07-
01,PM001,H07.01
01,PM001,H07.02
01,PMT01,G01 -
