RENK_KOD,Tanim,OzKod1,OzKod2,OzKod3,Tip
1,Siyah,,,,
16512,Kahverengi,,,,
16513,Kırmızı,,,,
16514,Mavi,,,,
16515,Taba,,,,
16516,KAHVE,,,,
16517,FUŞYA,,,,
16518,PALE BLUE,,,,
16519,R1,,,,
16520,R2,,,,
16521,R6,,,,
16522,Bej,,,,
16523,R5,,,,
16524,R3,,,,
16525,R4,,,,
16526,Siyah Flotter,,,,
16527,MLN- R1,,,,
16528,MLN-R2,,,,
16529,MLN- R3,,,,
16530,4135-01,,,,
16531,4138- 4100,,,,
16532,4120,,,,
16533,2182,,,,
16534,2120,,,,
16535,4136- 2262,,,,
16536,01,,,,
16537,4090,,,,
16538,RGN- Modelle aynı,,,,
16539,RGN- Model,,,,
16540,2018,,,,
16541,4116,,,,
16542,2262,,,,
16543,Siyah Kroko,,,,
16544,Kahve Kroko,,,,
16545,01-2120,,,,
16546,Kahve Kroko - Kahve Deri,,,,
16547,01-3124,,,,
16548,Kahve Deri- Kahve Flotter,,,,
16549,219- 4099,,,,
16550,2014,,,,
16551,17-4100,,,,
16552,01- Siyah Flotter,,,,
16553,4099,,,,
16554,4100,,,,
16555,02,,,,
16556,226-969,,,,
16557,611-611,,,,
16558,611-169,,,,
16559,962-958,,,,
16560,226-169,,,,
16561,01-02-142-183,,,,
16562,03-05-167-215,,,,
16563,126-215,,,,
16564,114-188,,,,
16565,01-99-183,,,,
16566,03-14-196,,,,
16567,89-173,,,,
16568,01-183,,,,
16569,90-215,,,,
16570,02-03-183,,,,
16571,89-174,,,,
16572,130-183,,,,
16573,114-173,,,,
16574,14-114-173,,,,
16575,05-130-215,,,,
16576,99-130-183,,,,
16577,104-175-264,,,,
16578,Siyah Metis,,,,
16579,855,,,,
16580,Yeni Fasulye,,,,
16581,Siyah Deri,,,,
16582,1705,,,,
16583,Siyah Süet,,,,
16584,818,,,,
16585,1705-828,,,,
16586,R-300,,,,
16587,R-724,,,,
16588,R-100,,,,
16589,R-733,,,,
16590,R-JANBO,,,,
16591,R-733/240,,,,
16592,R- 100/733,,,,
16593,R- Siyah Kroko,,,,
16594,R- Kahve Kroko,,,,
16595,R- Siyah Floter,,,,
16596,R- Kahve Floter,,,,
16597,14-175- T.K,,,,
16598,Modelle Aynı,,,,
16599,01- Siyah Streç - Deri,,,,
16600,02- Siyah Streç- Süet,,,,
16601,2120-01,,,,
16602,1705- Streç,,,,
16603,03,,,,
16604,3023- 3027,,,,
16605,01-1406,,,,
16606,Kahve Streç,,,,
16607,2738,,,,
16608,Gümüş ,,,,
16609,2973,,,,
16610,3154,,,,
16611,2322-2646,,,,
16612,3012,,,,
16613,146-03,,,,
16614,Bej Yılan - Bej Floter,,,,
16615,Bej Yılan - Vizon Floter,,,,
16616,Siyah Yılan- Siyah Floter,,,,
16617,114- 165- 10,,,,
16618,Yeşil- 169- Çelik,,,,
16619,155- 168- 128,,,,
16620,186- 173- 193,,,,
16621,165- 114- 193,,,,
16622,165,,,,
16623,09,,,,
16624,226- 168,,,,
16625,Siyah Yılan- 165,,,,
16626,Vizon Floter,,,,
16627,18,,,,
16628,114,,,,
16629,Laci,,,,
16630,Yeşil Floter,,,,
16631,100,,,,
16632,893,,,,
16633,294,,,,
16634,960,,,,
16635,Siyah - Siyah Rugan,,,,
16636,Siyah Floter - Siyah Süet,,,,
16637,Kahve Floter- Kahve Süet,,,,
16638,Vizon Floter- Vizon Süet,,,,
16639,Siyah Rugan,,,,
16640,2580- Orj. Piton,,,,
16641,2578- Siyah Piton,,,,
16642,2581,,,,
16643,2195,,,,
16644,2572,,,,
16645,2574,,,,
16646,518,,,,
16647,2558,,,,
16648,2035,,,,
16649,2569,,,,
16650,2003- L109,,,,
16651,939- L110,,,,
16652,2555- 2036,,,,
16653,2552- 2391,,,,
16654,2003,,,,
16655,2036,,,,
16656,2391,,,,
16657,2555- L106,,,,
16658,2036- L106,,,,
16659,2380,,,,
16660,2381,,,,
16661,812,,,,
16662,2420,,,,
16663,2590,,,,
16664,939,,,,
16665,2581- Toprak,,,,
16666,2203,,,,
16667,2003-2551,,,,
16668,2381- 2036,,,,
16669,2035- 2572,,,,
16670,2566- 2574,,,,
16671,2394,,,,
16672,2565- L108,,,,
16673,2566- L108,,,,
16674,2552,,,,
16675,2406,,,,
16676,2579- 2003,,,,
16677,2578- 2035,,,,
16678,155,,,,
16679,Siyah Yarma,,,,
16680,155- Siyah Yarma,,,,
16681,100- Siyah Yarma,,,,
16682,Siyah Canucci- Kroko,,,,
16683,Kahve Nubuk- Kahve Kroko,,,,
16684,3005 - 3012-01,,,,
16685,1406-03,,,,
16686,G2371/25089,,,,
16687,G2368/25089,,,,
16688,G2370/25089,,,,
16689,G2367/25089,,,,
16690,G1752/25089,,,,
16691,21106/25089,,,,
16692,G2332/25185,,,,
16693,G2366/25089,,,,
16694,21103/25185,,,,
16695,21118/25185,,,,
16696,21092/25089,,,,
16697,21029/25089,,,,
16698,G2458/32002,,,,
16699,G2457/31089,,,,
16700,G2276/32002,,,,
16701,91,,,,
16702,523-F,,,,
16703,465-R,,,,
16704,527-B,,,,
16705,274,,,,
16706,1123,,,,
16707,1153,,,,
16708,39,,,,
16709,1163,,,,
16710,246-F,,,,
16711,300,,,,
16712,3012-3076,,,,
16713,3043-3240,,,,
16714,3189-3323,,,,
16715,3292-3321,,,,
16716,3012-3322,,,,
16717,22-3012,,,,
16718,3012-22,,,,
16719,3189-3300,,,,
16720,3292-3173,,,,
16721,3292,,,,
16722,3012-3037,,,,
16723,3292-3228,,,,
16724,3193-3379,,,,
16725,3328,,,,
16726,3354,,,,
16727,3338-2542,,,,
16728,01-3336,,,,
16729,3283-3355,,,,
16730,3174-3352,,,,
16731,3010-2542,,,,
16732,2755-3441-3340,,,,
16733,01-3347-01,,,,
16734,22-3012-01-3375,,,,
16735,3007-3292-3137,,,,
16736,3043-3300-3225-3390,,,,
16737,3012-22-01-3391,,,,
16738,3305- 30122,,,,
16739,3305-3012,,,,
16740,22-3012-3388,,,,
16741,3305-3292,,,,
16742,3193-3331,,,,
16743,3012-3330,,,,
16744,3393-3392-3,,,,
16745,3393-3392-3387,,,,
16746,22-3012-3391,,,,
16747,3228-3292-3384,,,,
16748,22-01-3012-3076,,,,
16749,3224-3165-3011-3070,,,,
16750,3012-22-3076,,,,
16751,3193-3224-3070,,,,
16752,3360-3009,,,,
16753,3365-3189,,,,
16754,3356-3012,,,,
16755,3009-3331,,,,
16756,01-22,,,,
16757,22-01,,,,
16758,3130-3283,,,,
16759,01-3012-3333-3386,,,,
16760,3340-3043-3415-3386,,,,
16761,3368-3292-3364-3381,,,,
16762,3422-3426-3225,,,,
16763,3009-3422-3389,,,,
16764,3305-22-3389,,,,
16765,3392,,,,
16766,3012-3005,,,,
16767,3137,,,,
16768,3227,,,,
16769,3043,,,,
16770,3369-3043-3275,,,,
16771,3005-3012-3076,,,,
16772,3006-3227-3275,,,,
16773,3377-3409,,,,
16774,12-01-90,,,,
16775,48-60-132,,,,
16776,3189,,,,
16777,90-165,,,,
16778,224-223,,,,
16779,1153-F,,,,
16780,792,,,,
16781,3012-01,,,,
16782,01-1662-01,,,,
16783,3043-3369,,,,
16784,104,,,,
16785,319,,,,
16786,175,,,,
16787,Siyah Deri -Kroko,,,,
16788,Vizon Deri- Kroko,,,,
16789,Fındık- Kroko,,,,
16790,Siyah Bsk.,,,,
16791,Siyah Krş.,,,,
16792,Fındık Bsk.,,,,
16793,Kahve Floter,,,,
16794,406,,,,
16795,407,,,,
16796,408,,,,
16797,408-406,,,,
16798,408-417,,,,
16799,2548-2545,,,,
16800,2507-2506,,,,
16801,lame,,,,
16802,Dore,,,,
16803,Antrasit,,,,
16804,Vizon Süet- Rugan,,,,
16805,Vizon Deri,,,,
16806,Bej Rugan,,,,
16807,Camel Rugan,,,,
16808,17,,,,
16809,Siyah Deri - Süet,,,,
16810,Vizon Deri -Süet,,,,
16811,Fındık Deri,,,,
16812,Kemik Deri,,,,
16813,Kahve Deri,,,,
16814,Kahve Deri - Kroko,,,,
16815,3330,,,,
16816,3331,,,,
16817,22-3012-3005,,,,
16818,3415-3185-3261,,,,
16819,22-3012-22,,,,
16820,3415-3185-3415,,,,
16821,3008- 4022,,,,
16822,Siyah Floter- 3022,,,,
16823,3415-3185-3391,,,,
16824,Kahve Yılan,,,,
16825,Yeşil Yılan,,,,
16826,Y01-S01,,,,
16827,Pudra Deri,,,,
16828,Nohut Deri,,,,
16829,Oranj Deri,,,,
16830,Mor Deri,,,,
16831,Pembe Kağıt,,,,
16832,Dore Deri,,,,
16833,Lila Kağıt,,,,
16834,Lame Kağıt,,,,
16835,Mavi Kağıt,,,,
16836,Pudra Kağıt,,,,
16837,Vizon Rugan,,,,
16838,Kırmızı Rugan,,,,
16839,Mavi Deri,,,,
16840,Lila Deri,,,,
16841,Beyaz Deri,,,,
16842,Lame Deri,,,,
16843,Kırmızı Deri,,,,
16844,Hardal Deri,,,,
16845,Bej Flotter,,,,
16846,Sax Deri,,,,
16847,Siyah Krş. Rugan,,,,
16848,Kırmızı Krş. Rugan,,,,
16849,197,,,,
16850,57,,,,
16851,22-26,,,,
16852,32-36,,,,
16853,827- 1405,,,,
16854,1406-1152,,,,
16855,Siyah Floter- Siyah Süet,,,,
16856,01-251-11,,,,
16857,01-26,,,,
16858,Y14-C08,,,,
16859,Taba Süet - Orj. Piton,,,,
16860,Dore Baskı Deri,,,,
16861,Lila Baskı Deri,,,,
16862,Yeşil Deri,,,,
16863,Vizon Süet,,,,
16864,Taba Süet,,,,
16865,Leopar Taba Deri,,,,
16866,Bej Süet,,,,
16867,Mavi File ,,,,
16868,Dore File,,,,
16869,Lame File,,,,
16870,Çelik Zırh,,,,
16871,Bej Deri,,,,
16872,Dore Floter,,,,
16873,Nikel Floter,,,,
16874,Kahve- Oranj Deri,,,,
16875,Yeşil - Yılan,,,,
16876,Siyah Deri File,,,,
16877,Taba Süet- Leopar,,,,
16878,Siyah Rugan Yılan,,,,
16879,Bej Deri Yılan,,,,
16880,Taba Süet Yılan,,,,
16881,67,,,,
16882,73,,,,
16883,173-08,,,,
16884,Lame Deri- File,,,,
16885,Dore Deri - File,,,,
16886,Oranj- Yeşil Deri,,,,
16887,Beyaz - Lila Deri,,,,
16888,Taba Deri,,,,
16889,Vizon Sedef,,,,
16890,Kırmızı Süet,,,,
16891,Siyah Leopar,,,,
16892,673-76,,,,
16893,05-359-247,,,,
16894,167-183-345,,,,
16895,03-310-329,,,,
16896,01-169,,,,
16897,111-170,,,,
16898,01-132-331,,,,
16899,02-113-331,,,,
16900,14-114-329,,,,
16901,111-170-310,,,,
16902,130-142-344,,,,
16903,01-167-350,,,,
16904,133,,,,
16905,113,,,,
16906,89-110-170,,,,
16907,109-167-183,,,,
16908,01-05-167,,,,
16909,14,,,,
16910,56,,,,
16911,05,,,,
16912,01-113,,,,
16913,89-114,,,,
16914,05-132,,,,
16915,170-310,,,,
16916,214-369,,,,
16917,167-169,,,,
16918,90-214-373,,,,
16919,167-246-304,,,,
16920,109-169-353,,,,
16921,90-167-214,,,,
16922,03-310-244,,,,
16923,01-167-169,,,,
16924,89-310-326,,,,
16925,01-167-325,,,,
16926,142-183-328,,,,
16927,109-183,,,,
16928,Pembe,,,,
16929,Yeşil,,,,
16930,Gri,,,,
16931,Lila,,,,
16932,K. Vizon,,,,
16933,K. Gri,,,,
16934,A. Gri,,,,
16935,S. Lacivert,,,,
16936,Vizon,,,,
16937,Lacivert,,,,
16938,S. Haki,,,,
16939,Beyaz,,,,
16940,A.Vizon,,,,
16941,0128-1190,,,,
16942,1182-54,,,,
16943,088,,,,
16944,840,,,,
16945,08,,,,
16946,647,,,,
16947,661,,,,
16948,385,,,,
16949,08-1191,,,,
16950,580-7001,,,,
16951,650-570,,,,
16952,673-087,,,,
16953,661-082,,,,
16954,649-633,,,,
16955,595-570-113-216,,,,
16956,651-570-112-395,,,,
16957,667-385-3002,,,,
16958,672,,,,
16959,675,,,,
16960,650-1956,,,,
16961,656-1993,,,,
16962,06-08H,,,,
16963,01-01H,,,,
16964,48,,,,
16965,01-13,,,,
16966,02-12,,,,
16967,06-11,,,,
16968,Bej Triko,,,,
16969,K. Gri Triko,,,,
16970,47-01,,,,
16971,49-23,,,,
16972,42-02,,,,
16973,Çağla Triko,,,,
16974,İndigo Triko,,,,
16975,44 Siyah Triko,,,,
16976,Gri Triko,,,,
16977,Bej File,,,,
16978,Siyah File,,,,
16979,47-44,,,,
16980,49-46,,,,
16981,42-48,,,,
16982,467,,,,
16983,470,,,,
16984,384,,,,
16985,237,,,,
16986,405,,,,
16987,465-475,,,,
16988,237-241,,,,
16989,384-477,,,,
16990,08-478,,,,
16991,355-476,,,,
16992,08-478-237,,,,
16993,467-472,,,,
16994,395-473,,,,
16995,469,,,,
16996,470-466-471,,,,
16997,468-472,,,,
16998,473-346,,,,
16999,405-346-472,,,,
17000,470-460-472,,,,
17001,466-460-472,,,,
17002,465-474,,,,
17003,469-471,,,,
17004,473,,,,
17005,480,,,,
17006,346,,,,
17007,468,,,,
17008,481,,,,
17009,466,,,,
17010,465,,,,
17011,465-472,,,,
17012,384-469,,,,
17013,426-436,,,,
17014,385-465,,,,
17015,469-384,,,,
17016,467-481,,,,
17017,464,,,,
17018,426,,,,
17019,86,,,,
17020,241,,,,
17021,730,,,,
17022,684,,,,
17023,702,,,,
17024,680,,,,
17025,688,,,,
17026,682,,,,
17027,226,,,,
17028,190,,,,
17029,709,,,,
17030,201,,,,
17031,601,,,,
17032,503,,,,
17033,659,,,,
17034,195-200,,,,
17035,194-606,,,,
17036,649,,,,
17037,611,,,,
17038,335,,,,
17039,193-226,,,,
17040,608,,,,
17041,651,,,,
17042,667,,,,
17043,841,,,,
17044,842,,,,
17045,85,,,,
17046,534,,,,
17047,543,,,,
17048,226-193,,,,
17049,3,,,,
17050,37,,,,
17051,43,,,,
17052,187,,,,
17053,743,,,,
17054,744,,,,
17055,82-324,,,,
17056,226-322,,,,
17057,545-226,,,,
17058,432-469,,,,
17059,503-529,,,,
17060,19-85,,,,
17061,709-503,,,,
17062,503-194,,,,
17063,200-195,,,,
17064,538,,,,
17065,531,,,,
17066,701,,,,
17067,1205,,,,
17068,1206,,,,
17069,733,,,,
17070,1050,,,,
17071,1096,,,,
17072,1180,,,,
17073,1181,,,,
17074,1179,,,,
17075,101,,,,
17076,1067,,,,
17077,1166,,,,
17078,1097,,,,
17079,1112,,,,
17080,934,,,,
17081,1073,,,,
17082,1131,,,,
17083,1093,,,,
17084,1020,,,,
17085,344,,,,
17086,Açık Kahve Rugan,,,,
17087,04,,,,
17088,07,,,,
17089,01-V,,,,
17090,05-V,,,,
17091,04-V,,,,
17092,09-V,,,,
17093,07-01,,,,
17094,04-01,,,,
17095,05-01,,,,
17096,0157,,,,
17097,19150,,,,
17098,19118,,,,
17099,132-60-210,,,,
17100,90-01-210,,,,
17101,232-168-210,,,,
17102,232-168-167,,,,
17103,152-52-165,,,,
17104,232-231-167,,,,
17105,87-217-13-167,,,,
17106,90-222-12-165,,,,
17107,02-240-08,,,,
17108,229-239-08,,,,
17109,01-236-12,,,,
17110,232-238-13,,,,
17111,132-241-48,,,,
17112,59-217-13-167,,,,
17113,02-226-08-165,,,,
17114,01-217-12-165,,,,
17115,232-13-168-167,,,,
17116,85-225-02-165,,,,
17117,90-12-01-165,,,,
17118,85-226-165,,,,
17119,232-230-167,,,,
17120,90-01-166,,,,
17121,13-167-168,,,,
17122,08-165-02,,,,
17123,132-60-167,,,,
17124,229-228-165,,,,
17125,90-01-165,,,,
17126,60-132,,,,
17127,218-220,,,,
17128,59-217,,,,
17129,08-165,,,,
17130,168-167,,,,
17131,12-166,,,,
17132,168-231,,,,
17133,01-222,,,,
17134,13-59-167,,,,
17135,85-02-165,,,,
17136,12-01-166,,,,
17137,218-219-210,,,,
17138,229-228-237,,,,
17139,85-02-236,,,,
17140,Kırmızı Kırışık Rugan,,,,
17141,10-03,,,,
17142,02-04,,,,
17143,01-03,,,,
17144,16-04,,,,
17145,07-03,,,,
17146,10-30,,,,
17147,21-30,,,,
17148,27-04,,,,
17149,36-172-34,,,,
17150,150-172-32,,,,
17151,150-172-34,,,,
17152,24-172-21,,,,
17153,92-172-21,,,,
17154,15,,,,
17155,92-138,,,,
17156,77-33,,,,
17157,285-139,,,,
17158,02-119-01,,,,
17159,92-118-01,,,,
17160,77-121-15,,,,
17161,92-24-15,,,,
