Bolum,FisTur,FisTip,HareketNo,EvrakNo,EvrakNo2,DeleteUN,DeleteDT,EvrakNo3,FisTar
BF,0,0,1467,,,TUTKU,2022-08-12 15:20:49.693000,,2022-08-02 00:00:00
BF,0,0,2750,,,TUTKU,2023-09-18 17:35:39.813000,,2023-09-01 00:00:00
BF,0,0,2760,,,TUTKU,2023-09-18 18:29:39.590000,,2023-09-01 00:00:00
BF,0,0,2833,,,TUTKU,2023-10-26 10:23:53.770000,,2023-10-16 00:00:00
BF,0,0,2849,,,TUTKU,2023-11-08 16:11:19.977000,,2023-11-08 00:00:00
BF,1,0,83,,,TUTKU,2021-02-16 11:23:55.460000,,2021-02-05 00:00:00
BF,1,0,96,,,TUTKU,2021-02-19 09:07:36.500000,,2021-02-12 00:00:00
BF,1,0,129,,,TUTKU,2021-04-27 12:30:03.710000,,2021-02-12 00:00:00
BF,1,0,233,,,TUTKU,2021-05-07 11:53:06.717000,,2021-04-29 00:00:00
BF,1,0,241,,,TUTKU,2021-05-07 11:42:29.243000,,2021-04-16 00:00:00
BF,1,0,268,,,TUTKU,2021-05-21 17:38:00.670000,,2021-05-21 00:00:00
BF,1,0,285,,,TUTKU,2021-06-04 10:36:49.247000,,2021-05-28 00:00:00
BF,1,0,470,,,TUTKU,2022-01-20 16:21:29.950000,,2021-08-25 00:00:00
BF,1,0,477,,,TUTKU,2021-09-06 15:38:13.027000,,2021-09-03 00:00:00
BF,1,0,489,,,TUTKU,2021-09-08 13:22:52.223000,,2021-08-31 00:00:00
BF,1,0,728,,,TUTKU,2021-12-24 12:03:35.237000,,2021-12-17 00:00:00
BF,1,0,773,,,TUTKU,2022-01-05 12:04:32.020000,,2021-12-22 00:00:00
BF,1,0,784,,,TUTKU,2022-01-27 16:29:31.543000,,2022-01-07 00:00:00
BF,1,0,794,,,TUTKU,2022-01-18 12:22:47.053000,,2022-01-10 00:00:00
BF,1,0,806,,,TUTKU,2022-01-22 11:14:16.283000,,2021-11-03 00:00:00
BF,1,0,807,,,TUTKU,2022-01-22 11:13:52.217000,,2021-11-03 00:00:00
BF,1,0,818,,,TUTKU,2022-02-03 13:42:09.820000,,2021-08-24 00:00:00
BF,1,0,1139,,,TUTKU,2022-04-21 12:14:46.223000,,2022-04-11 00:00:00
BF,1,0,1681,,,TUTKU,2022-10-18 16:14:47.957000,,2022-09-16 00:00:00
BF,1,0,1789,,,TUTKU,2022-10-28 17:21:19.110000,,2022-10-26 00:00:00
BF,1,0,1938,,,TUTKU,2022-12-09 18:12:54.537000,,2022-12-09 00:00:00
BF,1,0,1944,,,TUTKU,2022-12-15 16:57:30.423000,,2022-12-15 00:00:00
BF,1,0,2051,,,TUTKU,2023-04-11 10:58:42.340000,,2022-10-24 00:00:00
BF,1,0,2101,,,TUTKU,2023-02-27 15:35:53.790000,,2022-11-21 00:00:00
BF,1,0,2168,,,TUTKU,2023-03-09 10:03:50.680000,,2023-02-17 00:00:00
BF,1,0,2169,,,TUTKU,2023-03-09 11:09:33.497000,,2023-02-17 00:00:00
BF,1,0,2265,,,TUTKU,2023-04-17 17:46:54.783000,,2022-12-21 00:00:00
BF,1,0,2288,,,TUTKU,2023-04-17 14:25:03.343000,,2023-04-03 00:00:00
BF,1,0,2306,,,TUTKU,2023-04-17 15:58:05.197000,,2022-09-26 00:00:00
BF,1,0,2319,,,TUTKU,2023-04-17 16:13:52.550000,,2022-10-20 00:00:00
BF,1,0,2320,,,TUTKU,2023-04-17 16:15:38.010000,,2022-11-03 00:00:00
