inx,Tanim,Bolum,UserName,DBName
1,ACILTAKIP,miPerYonetim,Lindon,LINDON
2,UPDATEACILTAKIP,miPerYonetim,Lindon,LINDON
3,ENCOSATAN(ÜRÜN-RENK-BEDEN),miPerYonetim,Furkan,LINDON
4,ENCOKSATAN(ÜRÜN-RENK),miPerYonetim,Furkan,LINDON
5,IADE,miPerYonetim,Nurcan,LINDON
6,TOTALSTOK,miStokYonetim,zeki,LINDON
7,ENCOKSTANA,miPerYonetim,zeki,LINDON
8,PAZARYERISIPARISSAYISI,miPerYonetim,zeki,LINDON
9,COKSATANLAR,miPerYonetim,furkan,LINDON
10,BARKODSATISADEDI,miStokYonetim,furkan,LINDON
11,GIDERPUSULASI,miPerYonetim,nurcan,LINDON
12,KRİTİKSEVİYE,miStokYonetim,furkan,LINDON
13,GÖNDEREN,miirsaliyeYon,furkan,LINDON
14,MERKEZDAHILI,miirsaliyeYon,zeki,LINDON
16,DAHILIHARIC,miStokYonetim,furkan,LINDON
17,GIDERPUSULASI,miPerYonetim,muaz,LINDON
18,GPYAZDIRMA,miPerYonetim,muaz,LINDON
19,GPYAZDIRILANKONTROL,miPerYonetim,muaz,LINDON
20,MUAZGP,miPerYonetim,zeki,LINDON
21,MUAZGP,miPerYonetim,zeki,LINDON
22,STOKDETAY,miStokYonetim,zeki,LINDON
23,111URUNSATISRAPOR,miPerYonetim,zeki,LINDON
24,STOKDEVIRLISORGULAMA,miStokYonetim,zekib,LINDON
25,TRANSFERKONTROLU,miirsaliyeYon,zeki,LINDON
26,TRENDYOLGLOBAL,miSiparisYon1,zeki,LINDON
27,EKSIKFATURASORGUSU,miPerYonetim,zeki,LINDON
28,STOKGIRENCIKANRAPO,miStokYonetim,zeki,LINDON
29,STOKKODUGIRISCIKIS,miStokYonetim,zeki,LINDON
30,SATANRAPORZB,miPerYonetim,zeki,LINDON
31,KALAN SIPARIS,miSiparisYon2,furkan,LINDON
32,ACILTAKIP,miPerYonetim,Lindon,LINDONSENTOS
33,UPDATEACILTAKIP,miPerYonetim,Lindon,LINDONSENTOS
34,ENCOSATAN(ÜRÜN-RENK-BEDEN),miPerYonetim,Furkan,LINDONSENTOS
35,ENCOKSATAN(ÜRÜN-RENK),miPerYonetim,Furkan,LINDONSENTOS
36,IADE,miPerYonetim,Nurcan,LINDONSENTOS
37,TOTALSTOK,miStokYonetim,zeki,LINDONSENTOS
38,ENCOKSTANA,miPerYonetim,zeki,LINDONSENTOS
39,PAZARYERISIPARISSAYISI,miPerYonetim,zeki,LINDONSENTOS
40,COKSATANLAR,miPerYonetim,furkan,LINDONSENTOS
41,BARKODSATISADEDI,miStokYonetim,furkan,LINDONSENTOS
42,GIDERPUSULASI,miPerYonetim,nurcan,LINDONSENTOS
43,KRİTİKSEVİYE,miStokYonetim,furkan,LINDONSENTOS
44,GÖNDEREN,miirsaliyeYon,furkan,LINDONSENTOS
45,MERKEZDAHILI,miirsaliyeYon,zeki,LINDONSENTOS
46,DAHILIHARIC,miStokYonetim,furkan,LINDONSENTOS
47,GIDERPUSULASI,miPerYonetim,muaz,LINDONSENTOS
48,GPYAZDIRMA,miPerYonetim,muaz,LINDONSENTOS
49,GPYAZDIRILANKONTROL,miPerYonetim,muaz,LINDONSENTOS
50,MUAZGP,miPerYonetim,zeki,LINDONSENTOS
51,MUAZGP,miPerYonetim,zeki,LINDONSENTOS
52,STOKDETAY,miStokYonetim,zeki,LINDONSENTOS
53,111URUNSATISRAPOR,miPerYonetim,zeki,LINDONSENTOS
54,STOKDEVIRLISORGULAMA,miStokYonetim,zekib,LINDONSENTOS
55,TRANSFERKONTROLU,miirsaliyeYon,zeki,LINDONSENTOS
56,TRENDYOLGLOBAL,miSiparisYon1,zeki,LINDONSENTOS
57,EKSIKFATURASORGUSU,miPerYonetim,zeki,LINDONSENTOS
58,STOKGIRENCIKANRAPO,miStokYonetim,zeki,LINDONSENTOS
59,STOKKODUGIRISCIKIS,miStokYonetim,zeki,LINDONSENTOS
60,SATANRAPORZB,miPerYonetim,zeki,LINDONSENTOS
61,KALAN SIPARIS,miSiparisYon2,furkan,LINDONSENTOS
