BelgeNo,OkuTarih,OkuUN,kgid,insUN,insDT,insApp,updUN,updDT,updApp
0,2024-03-11 14:37:41.887000,Samet,2310,Samet,2024-03-11 14:37:41.887000,WebServis,,,
24,2013-06-06 18:13:08.243000,Ercan,1,,,,,,
83,2013-06-06 18:13:07.753000,Ercan,2,,,,,,
84,2013-06-06 18:13:07.403000,Ercan,3,,,,,,
85,2013-06-06 18:13:07.513000,Ercan,4,,,,,,
3960,2020-12-15 13:55:55.260000,murat.gider,5,,,,,,
5119,2020-12-25 08:56:23.457000,murat.gider,6,,,,,,
5163,2021-01-04 07:38:22.197000,murat.gider,7,,,,,,
5264,2021-01-08 15:34:03.137000,murat.gider,8,,,,,,
5266,2021-01-08 15:40:45.160000,murat.gider,9,,,,,,
5268,2021-01-08 15:46:31.020000,murat.gider,10,,,,,,
5271,2021-01-08 16:30:46.660000,murat.gider,11,,,,,,
5289,2021-01-11 15:27:42.453000,murat.gider,12,,,,,,
5304,2021-01-13 11:47:26.333000,murat.gider,13,,,,,,
5306,2021-01-13 13:33:50.783000,murat.gider,14,,,,,,
5321,2021-01-15 08:32:21.413000,murat.gider,15,,,,,,
5323,2021-01-15 08:53:26.910000,murat.gider,16,,,,,,
5326,2021-01-15 10:23:50.003000,murat.gider,17,,,,,,
5337,2021-01-15 15:46:27.733000,murat.gider,18,,,,,,
5341,2021-01-15 16:46:16.990000,murat.gider,19,,,,,,
5360,2021-01-19 11:53:21.860000,murat.gider,20,,,,,,
5373,2021-01-20 11:15:15.353000,murat.gider,21,,,,,,
5388,2021-01-22 08:20:57.957000,murat.gider,22,,,,,,
5461,2021-01-27 08:18:14.903000,murat.gider,23,,,,,,
5463,2021-01-27 08:33:30.423000,murat.gider,24,,,,,,
5480,2021-01-29 09:36:51.077000,murat.gider,25,,,,,,
5487,2021-01-29 11:50:05.330000,murat.gider,26,,,,,,
5488,2021-01-29 11:50:05.453000,murat.gider,27,,,,,,
5489,2021-01-29 11:50:05.397000,murat.gider,28,,,,,,
5490,2021-01-29 11:50:05.510000,murat.gider,29,,,,,,
5514,2021-01-29 15:41:47.433000,murat.gider,30,,,,,,
5521,2021-02-01 07:30:33.117000,murat.gider,31,,,,,,
5530,2021-02-01 14:12:58.410000,murat.gider,32,,,,,,
5544,2021-02-02 08:37:46.847000,murat.gider,33,,,,,,
5553,2021-02-03 11:02:02.977000,murat.gider,34,,,,,,
5555,2021-02-03 11:06:40.100000,murat.gider,35,,,,,,
5564,2021-02-03 15:10:05.680000,murat.gider,36,,,,,,
5565,2021-02-03 15:10:05.810000,murat.gider,37,,,,,,
5568,2021-02-03 16:33:55.700000,murat.gider,38,,,,,,
5570,2021-02-03 16:36:29.220000,murat.gider,39,,,,,,
5590,2021-02-05 10:45:08.900000,murat.gider,40,,,,,,
5591,2021-02-05 10:45:09.040000,murat.gider,41,,,,,,
5594,2021-02-05 10:51:48.217000,murat.gider,42,,,,,,
5595,2021-02-05 10:51:48.277000,murat.gider,43,,,,,,
5596,2021-02-05 10:51:48.343000,murat.gider,44,,,,,,
5611,2021-02-05 15:17:42.920000,murat.gider,45,,,,,,
5615,2021-02-08 07:59:52.013000,murat.gider,46,,,,,,
5623,2021-02-08 12:00:45.183000,murat.gider,47,,,,,,
5625,2021-02-08 13:26:28.333000,murat.gider,48,,,,,,
5632,2021-02-08 15:30:12.637000,murat.gider,49,,,,,,
5649,2021-02-10 11:26:09.863000,murat.gider,50,,,,,,
5670,2021-02-12 07:36:00.267000,murat.gider,51,,,,,,
5700,2021-02-12 16:27:19.400000,murat.gider,52,,,,,,
5703,2021-02-15 07:31:52.980000,murat.gider,53,,,,,,
5742,2021-02-15 14:59:42.853000,murat.gider,54,,,,,,
5750,2021-02-16 09:32:07.347000,murat.gider,55,,,,,,
5783,2021-02-17 13:45:50.303000,murat.gider,56,,,,,,
5784,2021-02-17 13:45:50.170000,murat.gider,57,,,,,,
5796,2021-02-17 15:47:26.233000,murat.gider,58,,,,,,
5833,2021-02-19 14:51:28.610000,murat.gider,59,,,,,,
