Ulke,Sehir,DBName
Afganistan,,Antrepo20
Afganistan,Charikar,Antrepo20
Afganistan,Ghazni,Antrepo20
Afganistan,Herat,Antrepo20
Afganistan,Jalalkot,Antrepo20
Afganistan,Kabul,Antrepo20
Afganistan,Kandahar,Antrepo20
Afganistan,Kunduz,Antrepo20
Afganistan,Mazari Sharif,Antrepo20
Afganistan,Puli Khumri,Antrepo20
Afganistan,Sari Pul,Antrepo20
Afganistan,Sheberghan,Antrepo20
Afganistan,Taluqan,Antrepo20
Almanya,,Antrepo20
Almanya,Aachen,Antrepo20
Almanya,Amberg,Antrepo20
Almanya,Ansbach,Antrepo20
Almanya,Aschaffenburg,Antrepo20
Almanya,Augsburg,Antrepo20
Almanya,Bamberg,Antrepo20
Almanya,Bayreuth,Antrepo20
Almanya,Berlin,Antrepo20
Almanya,Bielefeld,Antrepo20
Almanya,Bochum,Antrepo20
Almanya,Bonn,Antrepo20
Almanya,Bottrop,Antrepo20
Almanya,Brandenburg,Antrepo20
Almanya,Braunschweig,Antrepo20
Almanya,Bremen,Antrepo20
Almanya,Bremerhaven,Antrepo20
Almanya,Chemnitz,Antrepo20
Almanya,Coburg,Antrepo20
Almanya,Cottbus,Antrepo20
Almanya,Darmstadt,Antrepo20
Almanya,Delmenhorst,Antrepo20
Almanya,Dessau,Antrepo20
Almanya,Dortmund,Antrepo20
Almanya,Dresden,Antrepo20
Almanya,Duisburg,Antrepo20
Almanya,Düsseldorf,Antrepo20
Almanya,Eisenach,Antrepo20
Almanya,Emden,Antrepo20
Almanya,Erfurt,Antrepo20
Almanya,Erlangen,Antrepo20
Almanya,Essen,Antrepo20
Almanya,Flensburg,Antrepo20
Almanya,Frankenthal,Antrepo20
Almanya,Frankfurt,Antrepo20
Almanya,Freiburg,Antrepo20
Almanya,Fürth,Antrepo20
Almanya,Gelsenkirchen,Antrepo20
Almanya,Gera,Antrepo20
Almanya,Görlitz,Antrepo20
Almanya,Greifswald,Antrepo20
Almanya,Hagen,Antrepo20
Almanya,Halle,Antrepo20
Almanya,Hamburg,Antrepo20
Almanya,Hameln,Antrepo20
Almanya,Hamm,Antrepo20
Almanya,Hannover,Antrepo20
Almanya,Heidelberg,Antrepo20
Almanya,Heilbronn,Antrepo20
Almanya,Herne,Antrepo20
Almanya,Hof,Antrepo20
Almanya,Homburg,Antrepo20
Almanya,Hoyerswerda,Antrepo20
Almanya,Husum,Antrepo20
Almanya,Ingolstadt,Antrepo20
Almanya,Jena,Antrepo20
Almanya,Kaiserslautern,Antrepo20
Almanya,Karlsruhe,Antrepo20
Almanya,Kassel,Antrepo20
Almanya,Kaufbeuren,Antrepo20
Almanya,Kempten,Antrepo20
Almanya,Kiel,Antrepo20
Almanya,Koblenz,Antrepo20
Almanya,Konstanz,Antrepo20
Almanya,Köln,Antrepo20
Almanya,Krefeld,Antrepo20
Almanya,Landau,Antrepo20
Almanya,Landsberg am Lech,Antrepo20
Almanya,Landshut,Antrepo20
Almanya,Leipzig,Antrepo20
Almanya,Leverkusen,Antrepo20
Almanya,Ludwigshafen,Antrepo20
Almanya,Lübeck,Antrepo20
Almanya,Magdeburg,Antrepo20
Almanya,Mainz,Antrepo20
Almanya,Mannheim,Antrepo20
Almanya,Memmingen,Antrepo20
Almanya,Merzig,Antrepo20
Almanya,Mönchengladbach,Antrepo20
Almanya,Münih,Antrepo20
Almanya,Münster,Antrepo20
Almanya,Neubrandenburg,Antrepo20
Almanya,Neudsadt,Antrepo20
Almanya,Neumünster,Antrepo20
Almanya,Neunkirchen,Antrepo20
Almanya,Nürnberg,Antrepo20
Almanya,Oberhausen,Antrepo20
Almanya,Offenbach,Antrepo20
Almanya,Oldenburg,Antrepo20
Almanya,Osnabrück,Antrepo20
Almanya,Paderborn,Antrepo20
Almanya,Passau,Antrepo20
Almanya,Pforzheim,Antrepo20
Almanya,Pinneberg,Antrepo20
Almanya,Pirmasens,Antrepo20
Almanya,Plauen,Antrepo20
Almanya,Potsdam,Antrepo20
Almanya,Regensburg,Antrepo20
Almanya,Remscheid,Antrepo20
Almanya,Reutlingen,Antrepo20
Almanya,Rosenheim,Antrepo20
Almanya,Rostock,Antrepo20
Almanya,Saarbrücken,Antrepo20
Almanya,Saarlouis,Antrepo20
Almanya,Salzgitter,Antrepo20
Almanya,Sankt İngbert,Antrepo20
Almanya,Sankt Wendel,Antrepo20
Almanya,Schwabach,Antrepo20
Almanya,Schweinfurt,Antrepo20
Almanya,Schwerin,Antrepo20
Almanya,Solingen,Antrepo20
Almanya,Speyer,Antrepo20
Almanya,Stralsund,Antrepo20
Almanya,Straubing,Antrepo20
Almanya,Stuttgart,Antrepo20
Almanya,Suhl,Antrepo20
