SatNo,Odinx,OdTip,ParaCinsi,Tutar,OdTar,MuhKod,MM,KaporaMuhKod,KaporaMM,Kapora,HCKod,kgid,mkgid,insUN,insDT,insApp,updUN,updDT,updApp
1170,9,N,TL,0.0200000000,2025-05-08 14:00:55.287000,,,,,,,9,1170,harun,2025-05-08 17:00:55.783000,node-mssql,,,
1184,10,N,TL,1000.0000000000,2025-05-16 15:52:48.077000,,,,,,,10,1184,harun,2025-05-16 18:52:47.667000,node-mssql,,,
1184,11,N,TL,1000.0000000000,2025-05-16 15:54:02.113000,,,,,,,11,1184,harun,2025-05-16 18:54:01.667000,node-mssql,,,
1235,13,N,TL,100.0000000000,2025-05-26 12:50:23.900000,,,,,,,13,1235,harun,2025-05-26 15:50:21.087000,node-mssql,,,
1254,14,N,TL,21.6000000000,2025-05-27 15:47:38.580000,,,,,,,14,1254,harun,2025-05-27 18:47:33.547000,node-mssql,,,
1255,15,N,TL,500.0000000000,2025-05-27 15:48:21.537000,,,,,,,15,1255,harun,2025-05-27 18:48:16.500000,node-mssql,,,
2251,1016,N,TL,50.0000000000,2025-05-28 10:20:26.510000,,,,,,,1016,2251,harun,2025-05-28 13:19:59.303000,node-mssql,,,
2251,1017,N,TL,50.0000000000,2025-05-28 10:20:26.510000,,,,,,,1017,2251,harun,2025-05-28 13:19:59.303000,node-mssql,,,
2252,1018,N,TL,50.0000000000,2025-05-28 10:21:32.550000,,,,,,,1018,2252,harun,2025-05-28 13:21:05.347000,node-mssql,,,
2253,1022,N,TL,336.0000000000,2025-05-28 10:50:09.417000,,,,,,,1022,2253,harun,2025-05-28 13:49:42.250000,node-mssql,,,
2254,1023,N,TL,224.0000000000,2025-05-28 10:51:06.187000,,,,,,,1023,2254,harun,2025-05-28 13:50:39.010000,node-mssql,,,
2256,1024,N,TL,905.6000000000,2025-05-28 11:34:29.787000,,,,,,,1024,2256,harun,2025-05-28 14:34:29.687000,node-mssql,,,
2257,1025,N,TL,112.0000000000,2025-05-28 11:36:33.170000,,,,,,,1025,2257,harun,2025-05-28 14:36:32.757000,node-mssql,,,
2260,1028,N,TL,24.0000000000,2025-05-28 11:53:58.217000,,,,,,,1028,2260,harun,2025-05-28 14:53:31.100000,node-mssql,,,
2261,1030,N,TL,3224.0000000000,2025-05-28 11:56:47.283000,,,,,,,1030,2261,harun,2025-05-28 14:56:20.163000,node-mssql,,,
2262,1031,N,TL,3224.0000000000,2025-05-28 11:58:17.053000,,,,,,,1031,2262,harun,2025-05-28 14:57:49.930000,node-mssql,,,
2263,1032,N,TL,3224.0000000000,2025-05-28 12:04:41.677000,,,,,,,1032,2263,harun,2025-05-28 15:04:14.567000,node-mssql,,,
2271,1033,N,TL,500.0000000000,2025-05-28 12:32:16.517000,,,,,,,1033,2271,harun,2025-05-28 15:31:49.580000,node-mssql,,,
2274,1034,N,TL,560.0000000000,2025-05-28 13:12:15.733000,,,,,,,1034,2274,harun,2025-05-28 16:11:48.727000,node-mssql,,,
