SipNo,SipTip,SipTur,SipTar,BelgeNo,CariKod,UrGirTar,SevkTar,TeslimTar,iptalTar,iskontoOr,iskontoTut,iParacinsi,AvansVeren,AvansAlan,SipAlan,Yet1,Yet2,TesYerSevk,Notlar,Location,Durum,OdSekil,OzKod1,OzKod2,SevkSekil,SevkNum,ACode,OnayKademe,Onay1,OnayTar1,Onay2,OnayTar2,Onay3,OnayTar3,Onay4,OnayTar4,Onay5,OnayTar5,KDVCheck,FiyTaksit,insUN,insDT,updUN,updDT,AdresAdi,DahiliNo,locked,OzKod3,OzKod4,OzKod5,Satici,CloseTitle,CreaterApp,AdresAdi2,NettenSatis,OzKod6,OzKod7,OzKod8,OzKod9,OzKod10,LastUpdate,LastCalculate,NeedCalculate,kgid,insApp,updApp
89,S,N,2023-02-16 12:11:30,,euromart,,,,,0E-10,0E-10,,,,zeki,,,,,LN001,,,,,,,0,0,,2023-02-17 00:00:00,,2023-02-17 00:00:00,,2023-02-17 00:00:00,,2023-02-17 00:00:00,,2023-02-17 00:00:00,*,0,Zeki,2023-02-16 12:11:51.257000,Zeki,2023-02-17 12:29:31.700000,<Default>,,,,,,,,,,,,,,,,2023-02-17 12:29:31.700000,2023-02-17 12:29:32.073000,0,89,,
109,S,N,2023-03-20 11:01:44,,DSM,,,,,0E-10,0E-10,,,,zeki,,,,,LN001,,,,,,,0,0,,2023-03-20 00:00:00,,2023-03-20 00:00:00,,2023-03-20 00:00:00,,2023-03-20 00:00:00,,2023-03-20 00:00:00,,0,Zeki,2023-03-20 11:04:44.860000,Zeki,2023-03-20 18:45:29.850000,<Default>,,,,,,,,,,,,,,,,2023-03-20 18:45:29.867000,2023-03-20 18:45:30.203000,0,109,,
176,ST,N,2023-06-12 11:31:36,,AAZB,,,,,35.0000000000,0E-10,,,,zeki,,,,,LN001,,,,,,,0,0,,2023-06-12 00:00:00,,2023-06-12 00:00:00,,2023-06-12 00:00:00,,2023-06-12 00:00:00,,2023-06-12 00:00:00,,,Zeki,2023-06-12 11:32:32.390000,Zeki,2023-06-12 11:32:32.397000,<Default>,,,,,,,,,,,,,,,,2023-06-12 11:32:32.457000,2023-06-12 11:32:32.623000,0,176,,
177,ST,N,2023-06-12 12:15:12,,AAZB,,,,,0E-10,0E-10,,,,zeki,,,,,LN001,,,,,,,0,0,,2023-06-13 00:00:00,,2023-06-13 00:00:00,,2023-06-13 00:00:00,,2023-06-13 00:00:00,,2023-06-13 00:00:00,*,,Zeki,2023-06-12 12:21:54.700000,Zeki,2023-06-13 14:40:10.877000,<Default>,,,,,,,,,,,,,,,,2023-06-13 14:40:10.920000,2023-06-13 14:40:10.960000,0,177,,
180,ST,N,2023-06-13 10:53:45,,AAZB,,,,,35.0000000000,0E-10,,,,nurcan,,,,,LN001,,,,,,,0,0,,2023-06-13 00:00:00,,2023-06-13 00:00:00,,2023-06-13 00:00:00,,2023-06-13 00:00:00,,2023-06-13 00:00:00,,,Nurcan,2023-06-13 10:55:00.137000,Nurcan,2023-06-13 10:55:00.143000,<Default>,,,,,,,,,,,,,,,,2023-06-13 15:15:11.810000,2023-06-13 15:15:16.957000,0,180,,
181,ST,N,2023-06-13 10:57:24,,AAZB,,,,,0E-10,0E-10,,,,nurcan,,,,,LN001,,,,,,,0,0,,2023-06-13 00:00:00,,2023-06-13 00:00:00,,2023-06-13 00:00:00,,2023-06-13 00:00:00,,2023-06-13 00:00:00,*,,Nurcan,2023-06-13 11:26:16.967000,Zeki,2023-06-13 11:57:31.250000,<Default>,,,,,,,,,,,,,,,,2023-06-13 15:15:11.810000,2023-06-13 15:15:16.967000,0,181,,
288,S,N,2023-09-18 10:47:36,7681,LN0010000360903,,2023-09-18 10:47:36,2023-09-18 13:52:49.260000,,0E-10,0E-10,,,,web,,,,,LN001,,WEB,web,,,,0,0,,,,,,,,,,,*,,Lindon,2023-09-18 13:52:49.270000,Lindon,2023-09-18 13:52:49.323000,TESLIMAT,,,,,,,,,,*,,,,,,2023-09-18 13:52:49.290000,2023-09-18 13:52:49.330000,0,288,,
289,S,N,2023-09-18 11:13:20,7682,WRC7682,,2023-09-18 11:13:20,2023-09-18 14:14:46.687000,,0E-10,0E-10,,,,web,,,,,LN001,,WEB,web,,,,0,0,,,,,,,,,,,*,,Lindon,2023-09-18 14:14:46.687000,Lindon,2023-09-18 14:14:47.380000,TESLIMAT,,,,,,,,,,*,,,,,,2023-09-18 14:14:47.377000,2023-09-18 14:14:47.383000,0,289,,
509,S,N,2023-12-28 09:40:45,,DSM,,,,,0E-10,0E-10,,,,zeki,,,,,LN001,*,,633877,1127955,,,0,0,,2023-12-28 00:00:00,,2023-12-28 00:00:00,,2023-12-28 00:00:00,,2023-12-28 00:00:00,,2023-12-28 00:00:00,,0,Zeki,2023-12-28 09:41:21.473000,Lindon,2023-12-28 15:15:32.127000,<Default>,,,,,,,,,,,,,,,,2023-12-28 09:41:21.617000,2023-12-28 09:41:21.933000,0,509,,
510,S,N,2023-12-28 10:04:35,,DSM,,,,,0E-10,0E-10,,,,zeki,,,,,LN001,*,,634161,1128044,,,0,0,,2023-12-28 00:00:00,,2023-12-28 00:00:00,,2023-12-28 00:00:00,,2023-12-28 00:00:00,,2023-12-28 00:00:00,,0,Zeki,2023-12-28 10:05:38.193000,Lindon,2023-12-28 15:27:16.657000,<Default>,,,,,,,,,,,,,,,,2023-12-28 10:05:38.320000,2023-12-28 10:05:38.857000,0,510,,
512,S,N,2023-12-29 11:21:14,,DSM,,,,,0E-10,0E-10,,,,zeki,,,,,LN001,*,,634161,1128608,,,0,0,,2023-12-29 00:00:00,,2023-12-29 00:00:00,,2023-12-29 00:00:00,,2023-12-29 00:00:00,,2023-12-29 00:00:00,,0,Zeki,2023-12-29 11:21:56.310000,Lindon,2023-12-29 17:19:46.943000,<Default>,,,,,,,,,,,,,,,,2023-12-29 11:21:56.503000,2023-12-29 11:21:56.980000,0,512,,
515,A,N,2023-12-29 14:32:11,,RCN00020,,,,,0E-10,0E-10,,,,furkan,,,,,LN004,,,,,,,0,0,,2023-12-29 00:00:00,,2023-12-29 00:00:00,,2023-12-29 00:00:00,,2023-12-29 00:00:00,,2023-12-29 00:00:00,,,Furkan,2023-12-29 14:34:50.350000,Furkan,2023-12-29 14:42:02.890000,<Default>,,,,,,,,,,,,,,,,2023-12-29 14:42:02.927000,2023-12-29 14:42:03.060000,0,515,,
530,S,N,2023-12-30 11:46:04,,DSM,,,,,0E-10,0E-10,,,,zeki,,,,,LN001,*,,634161,1129575,,,0,0,,2023-12-30 00:00:00,,2023-12-30 00:00:00,,2023-12-30 00:00:00,,2023-12-30 00:00:00,,2023-12-30 00:00:00,,0,Zeki,2023-12-30 11:48:14.210000,Lindon,2023-12-30 13:26:05.863000,<Default>,,,,,,,,,,,,,,,,2023-12-30 11:48:50.513000,2023-12-30 11:48:50.553000,0,530,,
531,S,N,2023-12-30 11:49:57,,DSM,,,,,0E-10,0E-10,,,,zeki,,,,,LN001,*,,634413,1129615,,,0,0,,2023-12-30 00:00:00,,2023-12-30 00:00:00,,2023-12-30 00:00:00,,2023-12-30 00:00:00,,2023-12-30 00:00:00,,0,Zeki,2023-12-30 11:52:20.920000,Lindon,2023-12-30 16:58:17.443000,<Default>,,,,,,,,,,,,,,,,2023-12-30 11:52:32.957000,2023-12-30 11:52:33.007000,0,531,,
554,S,N,2024-01-01 12:58:57,,DSM,,,,,0E-10,0E-10,,,,zeki,,,,,LN001,*,,634413,1129752,,,0,0,,2024-01-01 00:00:00,,2024-01-01 00:00:00,,2024-01-01 00:00:00,,2024-01-01 00:00:00,,2024-01-01 00:00:00,,0,Zeki,2024-01-01 12:59:22.130000,Lindon,2024-01-02 09:23:07.620000,<Default>,,,,,,,,,,,,,,,,2024-01-01 12:59:22.263000,2024-01-01 12:59:22.570000,0,554,,
555,S,N,2024-01-01 13:01:11,,DSM,,,,,0E-10,0E-10,,,,zeki,,,,,LN001,*,,634413,1130222,,,0,0,,2024-01-01 00:00:00,,2024-01-01 00:00:00,,2024-01-01 00:00:00,,2024-01-01 00:00:00,,2024-01-01 00:00:00,,0,Zeki,2024-01-01 13:01:38.847000,Lindon,2024-01-02 09:31:20.090000,<Default>,,,,,,,,,,,,,,,,2024-01-01 13:01:38.863000,2024-01-01 13:01:38.930000,0,555,,
556,S,N,2024-01-01 13:04:09,,DSM,,,,,0E-10,0E-10,,,,zeki,,,,,LN001,*,,634683,1130235,,,0,0,,2024-01-01 00:00:00,,2024-01-01 00:00:00,,2024-01-01 00:00:00,,2024-01-01 00:00:00,,2024-01-01 00:00:00,,0,Zeki,2024-01-01 13:04:37.090000,Lindon,2024-01-02 09:43:48.380000,<Default>,,,,,,,,,,,,,,,,2024-01-01 13:04:37.113000,2024-01-01 13:04:37.317000,0,556,,
558,S,N,2024-01-02 11:35:32,,DSM,,,,,0E-10,0E-10,,,,zeki,,,,,LN001,*,,634683,1131060,,,0,0,,2024-01-02 00:00:00,,2024-01-02 00:00:00,,2024-01-02 00:00:00,,2024-01-02 00:00:00,,2024-01-02 00:00:00,,0,Zeki,2024-01-02 11:36:03.867000,Lindon,2024-01-02 14:17:38.803000,<Default>,,,,,,,,,,,,,,,,2024-01-02 11:36:03.953000,2024-01-02 11:36:04.130000,0,558,,
576,S,N,2024-01-03 12:21:06,,DSM,,,,,0E-10,0E-10,,,,zeki,,,,,LN001,*,,634683,1131487,,,0,0,,2024-01-03 00:00:00,,2024-01-03 00:00:00,,2024-01-03 00:00:00,,2024-01-03 00:00:00,,2024-01-03 00:00:00,,0,Zeki,2024-01-03 12:22:20.317000,Lindon,2024-01-03 14:00:41.530000,<Default>,,,,,,,,,,,,,,,,2024-01-03 12:22:20.410000,2024-01-03 12:22:20.563000,0,576,,
