SipNo,SipHarinx,Konum,SKOD,Tanim,Miktar,Birim,ParaCinsi,Fiyat,iskonto,iskontoTut,KDVORAN,Durum,TerminTarihi,LotNo,OTVOran,locked,SipharinxB,SipPicture,Proje_D_Id,OzKod1,OzKod2,OzKod3,BagTeklifHarinx
16624,39305,,018 M 646-DUK4,,10.000000,CIFT,TL,46.000000,,,0.00,,,,0.00,,,,,,,,
16624,39306,,018 M 509-X114,,10.000000,CIFT,TL,50.000000,,,0.00,,,,0.00,,,,,,,,
16624,39307,,018 M 326-X54,,10.000000,CIFT,TL,46.000000,,,0.00,,,,0.00,,,,,,,,
16624,39308,,018 M 646-X114,,10.000000,CIFT,TL,50.000000,,,0.00,,,,0.00,,,,,,,,
33278,75717,,763 Z 05,,1.000000,CIFT,US,19.000000,0.00,0.000000,8.00,,,,,,,,,,,,
35323,80163,,717 MFS608-004,,18.000000,CIFT,US,40.000000,0.00,0.000000,0.00,,,,,,,,,,,,
35323,80164,,717 MFS659-003,,20.000000,CIFT,US,40.000000,0.00,0.000000,0.00,,,,,,,,,,,,
35912,81332,,278 M 1634-1,,2.000000,CIFT,US,54.000000,0.00,0.000000,0.00,,,,,,,,,,,,
35912,81333,,278 M FS1634-1,,1.000000,CIFT,US,47.000000,0.00,0.000000,0.00,,,,,,,,,,,,
35912,81334,,278 M FS1609-1,,7.000000,CIFT,US,52.000000,0.00,0.000000,0.00,,,,,,,,,,,,
35912,81335,,717 M 560111,,3.000000,CIFT,US,47.000000,0.00,0.000000,0.00,,,,,,,,,,,,
35912,81336,,717 M 422071,,6.000000,CIFT,US,50.000000,0.00,0.000000,0.00,,,,,,,,,,,,
35912,81337,,717 MFS422071,,2.000000,CIFT,US,40.000000,0.00,0.000000,0.00,,,,,,,,,,,,
35912,81338,,717 M 304001,,1.000000,CIFT,US,23.000000,0.00,0.000000,0.00,,,,,,,,,,,,
35912,81339,,403 M FUAR1,,1.000000,CIFT,US,20.000000,0.00,0.000000,0.00,,,,,,,,,,,,
38469,86309,,629 Z KK203-197,,8.000000,CIFT,US,15.010000,0.00,0.000000,0.00,,,,,,,,,,,,
38469,86310,,629 Z KK203-200,,16.000000,CIFT,US,15.010000,0.00,0.000000,0.00,,,,,,,,,,,,
38469,86311,,629 Z KK314-117,,8.000000,CIFT,US,21.270000,0.00,0.000000,0.00,,,,,,,,,,,,
38469,86312,,629 Z KK216-702,,16.000000,CIFT,US,14.860000,0.00,0.000000,0.00,,,,,,,,,,,,
38469,86313,,722 M KK455,,10.000000,CIFT,US,34.500000,0.00,0.000000,0.00,,,,,,,,,,,,
38469,86314,,717 M KK8582,,30.000000,CIFT,US,34.960000,0.00,0.000000,0.00,,,,,,,,,,,,
38469,86315,,717 MKK2516,,20.000000,CIFT,US,39.370000,0.00,0.000000,0.00,,,,,,,,,,,,
38469,86316,,717 MKK2093,,40.000000,CIFT,US,50.048000,0.00,0.000000,0.00,,,,,,,,,,,,
38469,86317,,095 M KKE359,,8.000000,CIFT,US,25.760000,0.00,0.000000,0.00,,,,,,,,,,,,
38469,86318,,095 M KKE360,,16.000000,CIFT,US,25.760000,0.00,0.000000,0.00,,,,,,,,,,,,
38469,86319,,517 M KK8540,,10.000000,CIFT,US,35.696000,0.00,0.000000,0.00,,,,,,,,,,,,
38469,86320,,446 F KK801-95,,5.000000,CIFT,US,20.980000,0.00,0.000000,0.00,,,,,,,,,,,,
38469,86321,,517 MB KK6147,,10.000000,CIFT,US,42.320000,0.00,0.000000,0.00,,,,,,,,,,,,
38469,86322,,517 M FS8541,,10.000000,CIFT,US,38.240000,0.00,0.000000,0.00,,,,,,,,,,,,
38469,86323,,726 M KK2540,,6.000000,CIFT,US,34.500000,0.00,0.000000,0.00,,,,,,,,,,,,
38469,86324,,726 M KK2541,,5.000000,CIFT,US,34.960000,0.00,0.000000,0.00,,,,,,,,,,,,
38469,86325,,863 Z KK102,,16.000000,CIFT,US,24.840000,0.00,0.000000,0.00,,,,,,,,,,,,
38469,86326,,864 Z KK101,,17.000000,CIFT,US,20.610000,0.00,0.000000,0.00,,,,,,,,,,,,
38469,86327,,408 Z KK95,,16.000000,CIFT,US,34.500000,0.00,0.000000,0.00,,,,,,,,,,,,
38469,86328,,863 Z KK105,,16.000000,CIFT,US,27.600000,0.00,0.000000,0.00,,,,,,,,,,,,
