UserName,CatalogName,AccessLocation,ReadLoc,WriteLoc
AHMETBARS,Kosem15,KM01,,
AHMETBARS,Kosem15,KM03,,
AHMETBARS,Kosem15,KS001,,
AHMETBARS,Kosem15,KS002,,
AHMETBARS,Kosem15,KS003,,
AHMETBARS,Kosem15,KS004,,
AHMETBARS,Kosem15,KS005,,
AHMETBARS,Kosem15,KS006,,
AHMETBARS,Kosem15,KS007,,
AHMETBARS,Kosem15,Z001,,
AHMETBARS,Kosem15,Z002,,
AHMETBARS,Kosem15,Z003,,
AHMETBARS,Kosem17,KM01,,
AHMETBARS,Kosem17,KM03,,
AHMETBARS,Kosem17,KS001,,
AHMETBARS,Kosem17,KS002,,
AHMETBARS,Kosem17,KS003,,
AHMETBARS,Kosem17,KS004,,
AHMETBARS,Kosem17,KS005,,
AHMETBARS,Kosem17,KS007,,
AHMETBARS,Kosem17,KS008,,
AHMETBARS,Kosem17,Z001,,
AHMETBARS,Kosem17,Z002,,
AHMETBARS,Kosem17,Z003,,
AHMETBARS,Kosem18,KM01,,
AHMETBARS,Kosem18,KM03,,
AHMETBARS,Kosem18,KS001,,
AHMETBARS,Kosem18,KS002,,
AHMETBARS,Kosem18,KS003,,
AHMETBARS,Kosem18,KS004,,
AHMETBARS,Kosem18,KS005,,
AHMETBARS,Kosem18,KS007,,
AHMETBARS,Kosem18,KS009,,
AHMETBARS,Kosem18,KS010,,
AHMETBARS,Kosem18,KS012,,
AHMETBARS,Kosem18,KS013,,
AHMETBARS,Kosem18,Z001,,
AHMETBARS,Kosem18,Z002,,
AHMETBARS,Kosem18,Z003,,
AHMETBARS,KOSEM2013,KM01,,
AHMETBARS,KOSEM2013,KM03,,
AHMETBARS,KOSEM2013,KS001,,
AHMETBARS,KOSEM2013,KS002,,
AHMETBARS,KOSEM2013,KS003,,
AHMETBARS,KOSEM2013,KS004,,
AHMETBARS,KOSEM2013,KS005,,
AHMETBARS,KOSEM2013,KS006,,
AHMETBARS,KOSEM2013,Z001,,
AHMETBARS,KOSEM2013,Z002,,
AHMETBARS,KOSEM2013,Z003,,
AIDAANA,Kosem15,KM01,,
AIDAANA,Kosem15,KM03,,
AIDAANA,Kosem15,KS001,,
AIDAANA,Kosem15,KS002,,
AIDAANA,Kosem15,KS003,,
AIDAANA,Kosem15,KS004,,
AIDAANA,Kosem15,KS005,,
AIDAANA,Kosem15,KS006,,
AIDAANA,Kosem15,KS007,,
AIDAANA,Kosem15,Z001,,
AIDAANA,Kosem15,Z002,,
AIDAANA,Kosem15,Z003,,
AIDAANA,Kosem16,KM01,,
AIDAANA,Kosem16,KM03,,
AIDAANA,Kosem16,KS001,,
AIDAANA,Kosem16,KS002,,
AIDAANA,Kosem16,KS003,,
AIDAANA,Kosem16,KS004,,
AIDAANA,Kosem16,KS005,,
AIDAANA,Kosem16,KS006,,
AIDAANA,Kosem16,KS007,,
AIDAANA,Kosem17,KM01,,
AIDAANA,Kosem17,KM03,,
AIDAANA,Kosem17,KS001,,
AIDAANA,Kosem17,KS002,,
AIDAANA,Kosem17,KS007,,
AIDAANA,Kosem17,KS008,,
AIDAANA,Kosem18,KM01,,
AIDAANA,Kosem18,KM03,,
AIDAANA,Kosem18,KS001,,
AIDAANA,Kosem18,KS002,,
AIDAANA,Kosem18,KS007,,
AIDAANA,Kosem18,KS012,,
AIDAANA,Kosem18,KS013,,
AIDAANA,Kosem18,Z002,,
AIDAANA,KOSEM23,KS001,,
AIDAANA,KOSEM23,KS007,,
AIDAANA,KOSEM23,Z002,,
AKKALAMALL,Kosem18,Z003,,
ALLA,Kosem15,KM01,,
ALLA,Kosem15,KM03,,
ALLA,Kosem15,KS001,,
ALLA,Kosem15,KS002,,
ALLA,Kosem15,KS003,,
ALLA,Kosem15,KS004,,
ALLA,Kosem15,KS005,,
ALLA,Kosem15,KS006,,
ALLA,Kosem15,KS007,,
ALLA,Kosem15,Z001,,
ALLA,Kosem15,Z002,,
ALLA,Kosem15,Z003,,
ALLA,Kosem16,KM01,,
ALLA,Kosem16,KM03,,
ALLA,Kosem16,KS001,,
ALLA,Kosem16,KS002,,
ALLA,Kosem16,KS003,,
ALLA,Kosem16,KS004,,
ALLA,Kosem16,KS005,,
ALLA,Kosem16,KS006,,
ALLA,Kosem16,KS007,,
ALLA,Kosem17,KM01,,
ALLA,Kosem17,KM03,,
ALLA,Kosem17,KS001,,
ALLA,Kosem17,KS002,,
ALLA,Kosem17,KS007,,
ALLA,Kosem17,KS008,,
ALLA,Kosem18,KM01,,
ALLA,Kosem18,KM03,,
ALLA,Kosem18,KS001,,
