Modul,FisTip,FisNo,FisHarinx,SKod,RKod,Asorti,Miktar,kgid,insUN,insDT,insApp,updUN,updDT,updApp
S,0,583,1836,LNRCNTWG285,66,Z015,1.000000,1,,,,,,
S,0,584,1839,LNRCN1KKYS06,47,Z003,1.000000,2,,,,,,
S,0,590,1869,LNRCNTWG285,66,Z015,5.000000,3,,,,,,
S,0,4451,10763,LNRCNT1963,474,mrd1,1.000000,4,,,,,,
S,0,4451,10764,LNRCNTWG285,146,Z011,1.000000,5,,,,,,
S,0,4451,10874,LNRCN1KKYS06,47,Z003,1.000000,6,,,,,,
S,0,4480,10888,LNRCN720,1,mrd1,1.000000,7,,,,,,
S,0,4486,10902,LNRCN720,1,mrd1,1.000000,8,,,,,,
S,0,4490,10909,LNRCN720,1,mrd1,2.000000,9,,,,,,
S,0,4600,11216,LNRCNXSP065,82,0002,3.000000,10,,,,,,
S,0,4971,12295,LNRCNT350,1,mrd1,1.000000,11,,,,,,
S,0,4971,12295,LNRCNT350,5,mrd1,1.000000,12,,,,,,
S,0,4971,12295,LNRCNT350,9,mrd1,1.000000,13,,,,,,
S,0,4976,12318,LNRCNES22,4,mrd1,1.000000,14,,,,,,
S,0,4976,12318,LNRCNES22,11,mrd1,1.000000,15,,,,,,
S,0,4976,12318,LNRCNES22,58,mrd1,1.000000,16,,,,,,
S,0,4976,12318,LNRCNES22,78,mrd1,1.000000,17,,,,,,
S,0,4976,12318,LNRCNES22,82,mrd1,1.000000,18,,,,,,
S,0,4976,12318,LNRCNES22,159,mrd1,1.000000,19,,,,,,
S,0,4976,12318,LNRCNES22,311,mrd1,1.000000,20,,,,,,
S,0,4978,12322,LNRCNES22,4,mrd1,1.000000,21,,,,,,
S,0,4978,12322,LNRCNES22,11,mrd1,1.000000,22,,,,,,
S,0,4978,12322,LNRCNES22,58,mrd1,1.000000,23,,,,,,
S,0,4978,12322,LNRCNES22,78,mrd1,1.000000,24,,,,,,
S,0,4978,12322,LNRCNES22,82,mrd1,1.000000,25,,,,,,
S,0,4978,12322,LNRCNES22,159,mrd1,1.000000,26,,,,,,
S,0,4978,12322,LNRCNES22,311,mrd1,1.000000,27,,,,,,
S,0,5944,14812,LNRCNDPF151,11,z40,1.000000,28,,,,,,
S,0,6120,15311,LNRCNES22,11,m44,1.000000,29,,,,,,
S,0,6120,15311,LNRCNES22,82,m40,1.000000,30,,,,,,
S,0,6121,15312,LNRCNES22,78,m44,1.000000,31,,,,,,
S,0,6121,15312,LNRCNES22,311,m40,1.000000,32,,,,,,
S,0,6123,15314,LNRCNES22,159,m44,1.000000,33,,,,,,
S,0,6162,15413,LNRCNES22,82,m40,1.000000,34,,,,,,
S,0,6798,17158,LNRCNKM255,82,Z001,65.000000,35,,,,,,
S,0,6801,17163,LNRCNKM255,82,Z001,1.000000,36,,,,,,
S,0,6802,17164,LNRCNKM255,82,Z001,1.000000,37,,,,,,
S,0,6803,17165,LNRCNKM255,82,Z001,1.000000,38,,,,,,
S,0,6804,17166,LNRCNKM255,82,Z001,1.000000,39,,,,,,
S,0,6805,17167,LNRCNKM255,82,Z001,1.000000,40,,,,,,
S,0,7203,18459,LNRCNT836,5,mrd1,1.000000,41,,,,,,
S,0,7574,19396,LNRCN464,48,mrd1,1.000000,42,,,,,,
S,0,7575,19397,LNRCN464,9,mrd1,1.000000,43,,,,,,
S,0,8117,21371,LNRCNACT93,4,mrd1,1.000000,44,,,,,,
S,0,8712,24039,LNRCNCNT166,11,m44,1.000000,45,,,,,,
S,0,8993,25297,LNRCNACT93,8,m44,1.000000,46,,,,,,
S,0,8993,25297,LNRCNACT93,196,m40,1.000000,47,,,,,,
S,0,8994,25298,LNRCNACT93,9,m40,1.000000,48,,,,,,
S,0,8994,25298,LNRCNACT93,196,m44,1.000000,49,,,,,,
S,0,8995,25299,LNRCNACT93,9,m41,1.000000,50,,,,,,
S,0,8996,25300,LNRCNACT93,11,mrd1,1.000000,51,,,,,,
S,0,8997,25301,LNRCNACT93,9,m44,1.000000,52,,,,,,
S,0,8998,25302,LNRCNACT93,11,m44,1.000000,53,,,,,,
S,0,8999,25303,LNRCNACT93,4,m44,1.000000,54,,,,,,
S,0,9265,26452,RCN146,4,m44,1.000000,55,,,,,,
S,0,9686,28395,LNRCNACT94,130,mrd1,1.000000,56,,,,,,
S,0,9687,28396,LNRCNACT94,1,mrd1,1.000000,57,,,,,,
S,0,10421,32115,LNRCNALM123,91,U40,1.000000,58,,,,,,
S,0,10444,32241,LNRCNALM135,4,z40,1.000000,59,,,,,,
S,0,10533,32754,LNRCNACT10,18,Z003,1.000000,60,,,,,,
S,0,10608,33064,LNRCNACT93,78,m44,1.000000,61,,,,,,
S,0,10847,33993,LNRCNR705,437,U44,1.000000,62,,,,,,
S,0,11230,35516,LNRCN206,4,m40,1.000000,63,,,,,,
S,0,11231,35517,LNRCN206,4,m40,1.000000,64,,,,,,
S,0,11231,35517,LNRCN206,452,m42,10.000000,65,,,,,,
S,0,11232,35518,LNRCNTWG285,66,Z013,1.000000,66,,,,,,
S,0,11232,35518,LNRCNTWG285,146,Z009,1.000000,67,,,,,,
S,0,11233,35519,LNRCNTWG285,146,Z009,1.000000,68,,,,,,
S,0,11234,35520,LNRCNTWG720,1,z40,1.000000,69,,,,,,
S,0,11237,35539,LNRCNTWG720,1,Z005,1.000000,70,,,,,,
S,0,11237,35539,LNRCNTWG720,7,z36,1.000000,71,,,,,,
S,0,11239,35543,LNRCNTWG720,1,Z006,1.000000,72,,,,,,
S,0,11249,35574,LNRCNACT94,196,m40,1.000000,73,,,,,,
S,0,11250,35575,LNRCNACT93,196,m44,1.000000,74,,,,,,
S,0,11251,35576,LNRCNACT93,9,m40,1.000000,75,,,,,,
S,0,11252,35577,RCNJLX20,11,m44,1.000000,76,,,,,,
S,0,11277,35690,RCN716,40,m44,1.000000,77,,,,,,
S,0,11295,35708,RCN716,40,m45,1.000000,78,,,,,,
S,0,11296,35709,LNRCN383,168,U45,1.000000,79,,,,,,
S,0,11297,35710,LNRCN383,168,U46,1.000000,80,,,,,,
S,0,11318,35792,LNRCNSBC722,18,m43,1.000000,81,,,,,,
S,0,11319,35793,LNRCNSBC501,1,z40,1.000000,82,,,,,,
S,0,11350,35899,LNRCNAVS801,4,m40,1.000000,83,,,,,,
S,0,11360,35910,LNRCNXSPX6,19,U46,1.000000,84,,,,,,
S,0,11396,36117,LNRCNXSPX6,10,U47,1.000000,85,,,,,,
S,0,11397,36118,LNRCNAVS801,4,m41,1.000000,86,,,,,,
S,0,11411,36163,LNRCNACT72,4,m44,1.000000,87,,,,,,
S,0,11435,36269,LNRCNLTM1603,4,z40,1.000000,88,,,,,,
S,0,11461,36314,LNRCNT1963,9,m44,1.000000,89,,,,,,
S,0,11463,36316,LNRCNT1963,458,m44,1.000000,90,,,,,,
S,0,11464,36317,LNRCNT63,18,m44,1.000000,91,,,,,,
S,0,11489,36431,LNRCNKM360,463,z36,10.000000,92,,,,,,
S,0,11510,36531,LNRCNKHC100,1,z39,1.000000,93,,,,,,
S,0,11533,36617,LNRCNT2023,5,m44,1.000000,94,,,,,,
S,0,11534,36618,RCNGLS2262,12,m39,1.000000,95,,,,,,
S,0,11742,37322,LNRCNES22,58,m44,1.000000,96,,,,,,
S,0,11744,37324,LNRCNT836,5,m44,1.000000,97,,,,,,
S,0,11781,37418,LNRCNES22,58,m41,1.000000,98,,,,,,
S,0,11811,37502,LNRCNALM123,4,U40,1.000000,99,,,,,,
S,0,14391,41377,LNRCNKETL507,356,z36,1.000000,100,,,,,,
S,0,23273,54644,LNRCNACT56,9,m40,1.000000,101,,,,,,
S,0,23284,54655,LNRCNACT56,9,m40,1.000000,102,,,,,,
S,0,23286,54657,LNRCNACT56,9,m40,1.000000,103,,,,,,
S,0,23288,54659,LNRCNACT56,18,m44,1.000000,104,,,,,,
S,0,26106,60686,LNRCNACT93,78,m44,1.000000,105,,,,,,
S,0,26108,60688,LNRCNACT93,196,m40,1.000000,106,,,,,,
S,0,26110,60690,LNRCNES22,159,m44,1.000000,107,,,,,,
S,0,26112,60692,LNRCNACT10,18,z40,1.000000,108,,,,,,
S,0,26115,60697,LNRCNACT93,196,m44,1.000000,109,,,,,,
S,0,26123,60740,LNRCNACT93,196,m46,1.000000,110,,,,,,
S,0,26125,60747,LNRCNACT93,78,m47,1.000000,111,,,,,,
S,0,26127,60757,LNRCNACT93,4,m47,1.000000,112,,,,,,
S,0,26143,60827,LNRCNACT10,561,z40,1.000000,113,,,,,,
S,0,26231,60992,LNRCNKLCZ412,196,4,1.000000,114,,,,,,
S,0,26232,60993,LNRCNKLCZ412,196,z36,1.000000,115,,,,,,
S,0,26459,61681,LNRCNDPF140,4,z40,1.000000,116,,,,,,
S,0,26773,62749,LNRCNACT083,18,m44,1.000000,117,,,,,,
S,0,26774,62750,LNRCNR1203,4,m44,1.000000,118,,,,,,
S,0,26776,62752,LNRCNR1204,4,m44,1.000000,119,,,,,,
S,0,28295,65441,LNRCNACT93,11,m45,1.000000,120,,,,,,
S,0,30158,67828,LNRCNCLT020,11,U44,1.000000,121,,,,,,
S,0,30282,67975,LNRCNT836,5,m44,1.000000,122,,,,,,
