SatNo,Odinx,OdTip,ParaCinsi,Tutar,OdTar,MuhKod,MM,Komisyon,KaporaMuhKod,KaporaMM,Kapora,HCKod
757531,804716,N,TL,10.000000,2018-01-10 18:16:35,,,,,,*,
758247,805471,N,US,10.000000,2018-01-14 14:50:23,,,,,,*,
758249,805473,N,TL,50.000000,2018-01-14 14:56:25,,,,,,*,
758277,805502,N,US,10.000000,2018-01-14 16:51:04,,,,,,*,
771227,819345,N,US,40.000000,2018-03-10 21:51:26,,,,,,*,
773454,821749,N,TL,10.000000,2018-03-18 12:25:09,,,,,,*,
779459,828139,N,TL,20.000000,2018-04-06 21:04:16,,,,,,*,
781699,830537,N,TL,5.000000,2018-04-13 10:57:06,,,,,,*,
783787,832735,N,TL,10.000000,2018-04-19 18:25:29,,,,,,*,
786828,835993,N,TL,10.000000,2018-04-28 16:26:16,,,,,,*,
794619,844346,N,TL,10.000000,2018-05-22 21:45:42,,,,,,*,
812860,863523,N,US,50.000000,2018-07-28 21:27:34,,,,,,*,
814265,865009,N,TL,75.000000,2018-08-03 20:01:34,,,,,,*,
821116,872160,N,US,15.000000,2018-08-27 21:37:33,,,,,,*,
829061,880637,N,TL,30.000000,2018-09-27 19:54:43,,,,,,*,
832429,884261,N,TL,445.000000,2018-10-08 21:44:22,,,,,,*,
832430,884262,N,TL,125.000000,2018-10-08 21:45:15,,,,,,*,
835213,887335,N,TL,30.000000,2018-10-17 21:27:52,,,,,,*,
837868,890186,N,US,100.000000,2018-10-26 18:44:08,,,,,,*,
849858,903037,N,TL,20.000000,2018-12-07 15:56:50,,,,,,*,
851729,905019,N,TL,10.000000,2018-12-14 19:43:35,,,,,,*,
858087,911755,N,TL,100.000000,2019-01-14 13:10:33,,,,,,*,
889774,945460,N,US,10.000000,2019-05-05 11:00:18,,,,,,*,
895099,951037,N,TL,20.000000,2019-05-26 18:46:47,,,,,,*,
899893,955994,N,TL,20.000000,2019-06-07 15:51:43,,,,,,*,
908041,964570,N,TL,50.000000,2019-07-10 19:24:14,,,,,,*,
926729,984267,N,US,20.000000,2019-09-15 23:51:33,,,,,,*,
927391,984962,N,TL,100.000000,2019-09-18 16:13:07,,,,,,*,
927738,985331,N,US,500.000000,2019-09-19 16:52:41,,,,,,*,
927891,985493,N,US,20.000000,2019-09-19 21:11:19,,,,,,*,
928473,986099,N,US,1.000000,2019-09-21 16:54:24,,,,,,*,
930669,988424,N,US,50.000000,2019-09-28 17:00:25,,,,,,*,
932761,990650,N,TL,100.000000,2019-10-05 16:16:58,,,,,,*,
935952,994082,N,US,1680.000000,2019-10-15 19:49:26,,,,,,*,
937731,995995,N,US,122.000000,2019-10-20 18:18:44,,,,,,*,
938978,997317,N,EU,50.000000,2019-10-24 18:59:49,,,,,,*,
942838,1001391,N,US,1344.000000,2019-11-05 22:16:05,,,,,,*,
942838,1001392,N,EU,250.000000,2019-11-05 22:16:12,,,,,,*,
944866,1003557,IB,TL,1720.000000,2019-11-12 16:11:01,,,,,,*,
961571,1021216,N,TL,50.000000,2020-01-10 17:26:50,,,,,,*,
966884,1026825,N,US,1665.000000,2020-01-31 19:23:09,,,,,,*,
969406,1029478,N,TL,20.000000,2020-02-10 16:55:58,,,,,,*,
972062,1032286,N,US,400.000000,2020-02-19 17:46:13,,,,,,*,
974037,1034389,N,US,10.000000,2020-02-25 22:42:45,,,,,,*,
974448,1034824,N,TL,5.000000,2020-02-27 14:13:27,,,,,,*,
974784,1035183,N,TL,1.000000,2020-02-28 14:07:49,,,,,,*,
976964,1037489,N,TL,50.000000,2020-03-05 19:12:55,,,,,,*,
978339,1038939,N,US,1.000000,2020-03-10 10:04:14,,,,,,*,
980060,1040783,N,TL,20.000000,2020-03-17 10:51:07,,,,,,*,
980670,1041424,N,US,1.000000,2020-03-24 16:54:11,,,,,,*,
980684,1041438,N,US,1.000000,2020-03-25 13:34:30,,,,,,*,
992752,1053819,N,US,5.000000,2020-07-21 14:51:31,,,,,,*,
996416,1057581,N,TL,200.000000,2020-08-10 19:28:01,,,,,,*,
