ID,TYPE,RATE,ACCOUNTID,MMID,Location,kgid,insUN,insDT,insApp,updUN,updDT,updApp
1,1,1.0000000000,392,,,1,,,,harun,2024-06-03 15:47:44.153000,KGShop
2,1,8.0000000000,393,,,2,,,,harun,2024-06-03 15:47:44.163000,KGShop
3,1,18.0000000000,394,,,3,,,,harun,2024-06-03 15:47:44.163000,KGShop
4,2,1.0000000000,403,,,4,,,,Samet,2023-12-29 11:21:40.820000,
5,2,8.0000000000,404,,,5,,,,Samet,2023-12-29 11:21:40.830000,
6,2,18.0000000000,405,,,6,,,,Samet,2023-12-29 11:21:40.830000,
7,3,1.0000000000,407,,,7,,,,,,
8,3,8.0000000000,408,,,8,,,,,,
9,3,18.0000000000,409,,,9,,,,,,
10,4,1.0000000000,396,,,10,,,,,,
11,4,8.0000000000,397,,,11,,,,,,
12,4,18.0000000000,398,,,12,,,,,,
13,6,1.0000000000,392,,,13,,,,gulsah,2024-03-19 22:11:50.930000,KGShop
14,6,8.0000000000,393,,,14,,,,gulsah,2024-03-19 22:11:50.940000,KGShop
15,6,18.0000000000,394,,,15,,,,gulsah,2024-03-19 22:11:50.943000,KGShop
16,7,1.0000000000,403,,,16,,,,,,
17,7,8.0000000000,404,,,17,,,,,,
18,7,18.0000000000,405,,,18,,,,,,
19,8,1.0000000000,407,,,19,,,,,,
20,8,8.0000000000,408,,,20,,,,,,
21,8,18.0000000000,409,,,21,,,,,,
22,1,10.0000000000,393,,,22,,,,harun,2024-06-03 15:47:44.173000,KGShop
23,1,20.0000000000,2728,,,23,,,,harun,2024-06-03 15:47:44.177000,KGShop
24,2,10.0000000000,408,,,24,,,,Samet,2023-12-29 11:21:40.830000,
25,2,20.0000000000,,,,25,,,,Samet,2023-12-29 11:21:40.833000,
26,3,10.0000000000,,,,26,,,,,,
27,3,20.0000000000,,,,27,,,,,,
28,4,10.0000000000,,,,28,,,,,,
29,4,20.0000000000,,,,29,,,,,,
30,5,10.0000000000,,,,30,,,,,,
31,5,20.0000000000,,,,31,,,,,,
32,6,10.0000000000,392,,,32,,,,gulsah,2024-03-19 22:11:50.947000,KGShop
33,6,20.0000000000,2727,,,33,,,,gulsah,2024-03-19 22:11:50.950000,KGShop
34,7,10.0000000000,,,,34,,,,,,
35,7,20.0000000000,,,,35,,,,,,
36,8,10.0000000000,,,,36,,,,,,
37,8,20.0000000000,,,,37,,,,,,
38,9,10.0000000000,,,,38,,,,,,
39,9,20.0000000000,,,,39,,,,,,
40,10,10.0000000000,,,,40,,,,,,
41,10,20.0000000000,,,,41,,,,,,
42,11,10.0000000000,,,,42,,,,,,
43,11,20.0000000000,,,,43,,,,,,
44,12,10.0000000000,2731,,,44,k,2024-06-06 19:17:22.283000,KGShop,Samet,2024-06-06 22:44:57.300000,KGShop
45,12,20.0000000000,2732,,,45,k,2024-06-06 19:17:22.323000,KGShop,Samet,2024-06-06 22:44:57.310000,KGShop
46,13,10.0000000000,2728,,,46,k,2024-06-06 19:19:55.147000,KGShop,,,
47,13,20.0000000000,381,,,47,k,2024-06-06 19:19:55.173000,KGShop,,,
