Code,Name,Rate,ID,DBName
201,YAPIM İŞLERİ İLE BU İŞLERLE BİRLİKTE İFA EDİLEN MÜHENDİSLİK-MİMARLIK VE ETÜT-PROJE HİZMETLERİ [GT 117-Bölüm (3.2.1)],3/10,1,LINDON
201,YAPIM İŞLERİ İLE BU İŞLERLE BİRLİKTE İFA EDİLEN MÜHENDİSLİK-MİMARLIK VE ETÜT-PROJE HİZMETLERİ [GT 117-Bölüm (3.2.1)],4/10,2,LINDON
202,"ETÜT, PLAN-PROJE, DANIŞMANLIK, DENETİM VE BENZERİ HİZMETLER[GT 117-Bölüm (3.2.2)]",9/10,3,LINDON
203,"MAKİNE, TEÇHİZAT, DEMİRBAŞ VE TAŞITLARA AİT TADİL, BAKIM VE ONARIM HİZMETLERİ [GT 117-Bölüm (3.2.3)]",5/10,4,LINDON
203,"MAKİNE, TEÇHİZAT, DEMİRBAŞ VE TAŞITLARA AİT TADİL, BAKIM VE ONARIM HİZMETLERİ [GT 117-Bölüm (3.2.3)]",7/10,5,LINDON
204,YEMEK SERVİS HİZMETİ [GT 117-Bölüm (3.2.4)],5/10,6,LINDON
205,ORGANİZASYON HİZMETİ [GT 117-Bölüm (3.2.4)],5/10,7,LINDON
206,İŞGÜCÜ TEMİN HİZMETLERİ [GT 117-Bölüm (3.2.5)],9/10,8,LINDON
207,ÖZEL GÜVENLİK HİZMETİ [GT 117-Bölüm (3.2.5)],9/10,9,LINDON
207,ÖZEL GÜVENLİK HİZMETİ [GT 117-Bölüm (3.2.5)],9/10,10,LINDON
208,YAPI DENETİM HİZMETLERİ [GT 117-Bölüm (3.2.6)],9/10,11,LINDON
209,"FASON OLARAK YAPTIRILAN TEKSTİL VE KONFEKSİYON İŞLERİ, ÇANTA VE AYAKKABI DİKİM İŞLERİ VE BU İŞLERE ARACILIK HİZMETLERİ [GT 117-Bölüm (3.2.7)]",5/10,12,LINDON
209,"FASON OLARAK YAPTIRILAN TEKSTİL VE KONFEKSİYON İŞLERİ, ÇANTA VE AYAKKABI DİKİM İŞLERİ VE BU İŞLERE ARACILIK HİZMETLERİ [GT 117-Bölüm (3.2.7)]",7/10,13,LINDON
210,TURİSTİK MAĞAZALARA VERİLEN MÜŞTERİ BULMA / GÖTÜRME HİZMETLERİ [GT 117-Bölüm (3.2.8)],9/10,14,LINDON
211,"SPOR KULÜPLERİNİN YAYIN, REKLÂM VE İSİM HAKKI GELİRLERİNE KONU İŞLEMLERİ [GT 117-Bölüm (3.2.9)]",9/10,15,LINDON
212,TEMİZLİK HİZMETİ [GT 117-Bölüm (3.2.10)],7/10,16,LINDON
212,TEMİZLİK HİZMETİ [GT 117-Bölüm (3.2.10)],9/10,17,LINDON
213,ÇEVRE VE BAHÇE BAKIM HİZMETLERİ [GT 117-Bölüm (3.2.10)],7/10,18,LINDON
213,ÇEVRE VE BAHÇE BAKIM HİZMETLERİ [GT 117-Bölüm (3.2.10)],9/10,19,LINDON
214,SERVİS TAŞIMACILIĞI HİZMETİ [GT 117-Bölüm (3.2.11)],5/10,20,LINDON
