Ginx,FDate,LDate,Tanim,MuhFisNo,ParaCinsi,Modul,Location,SDate1,SDate2,Op,YanFisler,StokWhr,kgid,insUN,insDT,insApp,updUN,updDT,updApp
10,2021-11-01 00:00:00,2021-11-30 23:59:59,KASIM 2021 GENEL GİDER DAĞILIMI ,0,TL,S,,2022-04-12 00:00:00,2022-04-12 23:59:59,1,;;,¿¿¿¿¿,10,,,,,,
12,2021-12-01 00:00:00,2021-12-31 23:59:59,ARALIK 2021 ,0,TL,S,,2022-04-12 00:00:00,2022-04-12 23:59:59,1,;;,¿¿¿¿¿,12,,,,,,
17,2022-02-01 00:00:00,2022-02-28 23:59:59,ŞUBAT 2022 GİDER,0,TL,S,,2023-02-15 00:00:00,2023-02-15 23:59:59,1,;;,¿¿¿¿¿,17,,,,,,
18,2022-03-01 00:00:00,2022-03-31 23:59:59,MART 2022 GİDER,0,TL,S,CA001,2023-02-15 00:00:00,2023-02-15 23:59:59,1,;;,¿¿¿¿¿,18,,,,,,
19,2022-04-01 00:00:00,2022-04-30 23:59:59,NİSAN 2022 GİDER,0,TL,S,,2023-02-15 00:00:00,2023-02-15 23:59:59,1,;;,¿¿¿¿¿,19,,,,,,
20,2022-05-01 00:00:00,2022-05-31 23:59:59,MAYIS 2022 GİDER,0,TL,S,,2023-02-15 00:00:00,2023-02-15 23:59:59,1,;;,¿¿¿¿¿,20,,,,,,
21,2022-06-01 00:00:00,2022-06-30 23:59:59,HAZİRAN 2022 GİDER,0,TL,S,,2023-02-15 00:00:00,2023-02-15 23:59:59,1,;;,¿¿¿¿¿,21,,,,,,
22,2022-07-01 00:00:00,2022-07-31 23:59:59,TEMMUZ 2022 GİDER,0,TL,S,,2023-02-15 00:00:00,2023-02-15 23:59:59,1,;;,¿¿¿¿¿,22,,,,,,
23,2022-08-01 00:00:00,2022-08-31 23:59:59,AĞUSTOS 2022 GİDER,0,TL,S,,2023-02-15 00:00:00,2023-02-15 23:59:59,1,;;,¿¿¿¿¿,23,,,,,,
24,2022-09-01 00:00:00,2022-09-30 23:59:59,EYLÜL 2022 GİDER,0,TL,S,,2023-02-15 00:00:00,2023-02-15 23:59:59,1,;;,¿¿¿¿¿,24,,,,,,
25,2022-10-01 00:00:00,2022-10-31 23:59:59,EKİM 2022 GİDER,0,TL,S,CA001,2023-02-15 00:00:00,2023-02-15 23:59:59,1,;;,¿¿¿¿¿,25,,,,,,
26,2022-11-01 00:00:00,2022-11-30 23:59:59,KASIM 2022 GİDER,0,TL,S,,2023-02-15 00:00:00,2023-02-15 23:59:59,1,;;,¿¿¿¿¿,26,,,,,,
27,2022-12-01 00:00:00,2022-12-31 23:59:59,ARALIK 2022 GİDER,0,TL,S,,2023-02-15 00:00:00,2023-02-15 23:59:59,1,;;,¿¿¿¿¿,27,,,,,,
28,2022-01-01 00:00:00,2022-01-31 23:59:59,OCAK 2022 GİDER,0,TL,S,,2023-02-15 00:00:00,2023-02-15 23:59:59,1,;;,¿¿¿¿¿,28,,,,,,
40,2023-01-01 00:00:00,2023-01-31 23:59:59,OCAK 2023 GİDERLER,0,TL,S,,2023-05-17 00:00:00,2023-05-17 23:59:59,1,;;,¿¿¿¿¿,40,,,,,,
41,2023-02-01 00:00:00,2023-02-28 23:59:59,ŞUBAT 2023 GİDERLER,0,TL,S,CA001,2023-05-17 00:00:00,2023-05-17 23:59:59,1,;;,¿¿¿¿¿,41,,,,,,
42,2023-03-01 00:00:00,2023-03-31 23:59:59,MART 2023 GİDERLER,0,TL,S,CA001,2023-05-17 00:00:00,2023-05-17 23:59:59,1,;;,¿¿¿¿¿,42,,,,,,
44,2023-04-01 00:00:00,2023-04-30 23:59:59,NİSAN 2023 GİDERLER ,0,TL,S,CA001,2023-06-01 00:00:00,2023-06-01 23:59:59,1,;;,¿¿¿¿¿,44,,,,,,
45,2023-05-01 00:00:00,2023-05-31 23:59:59,MAYIS 2023 GİDER,0,TL,S,CA001,2023-07-26 00:00:00,2023-07-26 23:59:59,1,;;,¿¿¿¿¿,45,,,,,,
47,2023-06-01 00:00:00,2023-06-30 23:59:59,HAZİRAN 2023 GİDERLER,0,TL,S,,2023-08-01 00:00:00,2023-08-01 23:59:59,1,;;,¿¿¿¿¿,47,,,,,,
48,2023-07-01 00:00:00,2023-07-31 23:59:59,TEMMUZ 2023 GİDERLER ,0,TL,S,CA001,2023-09-06 00:00:00,2023-09-06 23:59:59,1,;;,¿¿¿¿¿,48,,,,,,
49,2023-08-01 00:00:00,2023-08-31 23:59:59,AĞUSTOS 2023 GİDER,0,TL,S,CA001,2023-10-11 00:00:00,2023-10-11 23:59:59,1,;;,¿¿¿¿¿,49,,,,,,
