PARAD,MCTable,COLPLACE,FieldName,COLNAME,COLWidth,ColDispFormat,ToplamGoster,kgid,insUN,insDT,insApp,updUN,updDT,updApp
Ercan2,0,0,SatKod,Satıcı Kodu,94,,,1,,,,,,
Ercan2,0,1,Location,Lokasyon,58,,,2,,,,,,
Ercan2,0,2,Location_Tanim,Lokasyon Tanım,304,,,3,,,,,,
Ercan2,0,3,Miktar,Miktar,238,"#,##0.##",,4,,,,,,
Ercan2,0,4,Birim,Birim,64,,,5,,,,,,
Ercan2,0,5,MYuzde,Miktar %,64,#.000,,6,,,,,,
Ercan2,0,6,Satici,Satıcı,250,,,7,,,,,,
Ercan2,0,7,StokFiyat,Stok Fiyatı,64,"#,##0.00",,8,,,,,,
Ercan2,0,8,Fiyat,Fiyat,64,"#,##0.00",,9,,,,,,
Ercan2,0,9,ParaCinsi,Kur,23,,,10,,,,,,
Ercan2,0,10,iskontoTut,İskonto Tutarı,83,"#,##0.##",,11,,,,,,
Ercan2,0,11,KDV_Tutar,KDV Tutarı,66,"#,##0.00",,12,,,,,,
Ercan2,0,12,OTV_Tutar,OTV Tutarı,66,"#,##0.00",,13,,,,,,
Ercan2,0,13,Tutar,Tutar,64,"#,##0.00",,14,,,,,,
Ercan2,0,14,TYuzde,Tutar %,64,#.000,,15,,,,,,
Ercan2,0,15,HRF_Maas,Maaş,64,"#,##0.##",,16,,,,,,
Ercan2,0,16,HRF_Barkod,Prim Oranı,154,,,17,,,,,,
Ercan2,0,17,HRF_OzKod5,Gider Oranı,604,,,18,,,,,,
rr,0,0,FisTip,FisTip,35,,,19,,,,,,
rr,0,1,FisNo,FisNo,42,,,20,,,,,,
rr,0,2,FisTar,FisTar,76,,,21,,,,,,
rr,0,3,CM,CM,38,,,22,,,,,,
rr,0,4,CariUnvan,CariUnvan,126,,,23,,,,,,
rr,0,5,Vade,Vade,70,,,24,,,,,,
rr,0,6,Tutar,Tutar,64,"#,##0.00",*,25,,,,,,
rr,0,7,ParaCinsi,ParaCinsi,25,,,26,,,,,,
rr,0,8,Masraf,Masraf,64,"#,##0.00",,27,,,,,,
rr,0,9,OdTip,OdTip,44,,,28,,,,,,
rr,0,10,Banka,Banka,52,,,29,,,,,,
rr,0,11,Sube,Sube,43,,,30,,,,,,
rr,0,12,Hesap,Hesap,58,,,31,,,,,,
rr,0,13,Tahsil,Tahsil,28,,,32,,,,,,
Banka_KK_Ekstresi,0,0,Tahsil,Tahsil,38,,,33,,,,,,
Banka_KK_Ekstresi,0,1,FisNo,FisNo,64,,,34,,,,,,
Banka_KK_Ekstresi,0,2,FisTar,FisTar,112,,,35,,,,,,
Banka_KK_Ekstresi,0,3,CM,CM,46,,,36,,,,,,
S2,0,0,SipNo,Sipariş No,23,"#,###.##",,37,,,,,,
S2,0,1,SipTar,Sipariş Tarihi,68,,,38,,,,,,
S2,0,3,CariKod_Tanim,Sipariş Cari Ko,141,,,39,,,,,,
S2,0,4,TeslimTar,Termin Tarihi,60,,,40,,,,,,
S2,0,5,SipOzKod2,Sipariş Özel Ko,123,,,41,,,,,,
S2,0,6,SKod,Stok Kodu,73,,,42,,,,,,
S2,0,7,SKod_Tanim,Stok Kodu Tanım,125,,,43,,,,,,
S2,0,10,OzKod2,Özel Kod 2,52,,,44,,,,,,
S2,0,11,ROzKod2,Renk Özel Kod 2,66,,,45,,,,,,
S2,0,13,Siparis_Miktari,Sipariş Miktarı,42,"#,###.##",*,46,,,,,,
S2,0,14,CF2,Siparis Fiyatı,49,"#,###.##",,47,,,,,,
S2,0,15,ParaCinsi,Kur,23,,,48,,,,,,
S2,0,16,Birim,Birim,34,,,49,,,,,,
S2,0,17,FToplam,Fiş Toplamı,68,"#,##0.00",*,50,,,,,,
S2,0,18,iskontoTut,İskonto Tutarı,53,"#,##0.00",*,51,,,,,,
S2,0,20,Tutar,Tutar,38,"#,##0.00",*,52,,,,,,
S2,0,21,Stok_Resim,Stok_Resim,71,,,53,,,,,,
S2,0,2,cariKod,Sipariş Cari Ko,101,,,54,,,,,,
S2,0,8,RKod,Renk,64,"#,###.##",,55,,,,,,
S2,0,9,RKod_Tanim,Renk Tanımı,304,,,56,,,,,,
S2,0,12,Resim,Resim,904,,,57,,,,,,
S2,0,19,Matrah,Matrah,64,"#,##0.00",,58,,,,,,
S3,0,2,SipNo,Sipariş Cari Ko,142,"#,###.##",,59,,,,,,
S3,0,1,SipTar,Sipariş Tarihi,68,,,60,,,,,,
S3,0,3,CariKod_Tanim,Sipariş Cari Ko,142,,,61,,,,,,
S3,0,2,cariKod,Sipariş Cari Ko,101,,,62,,,,,,
S3,0,4,TeslimTar,Termin Tarihi,78,,,63,,,,,,
S3,0,5,SipOzKod2,Sipariş Özel Ko,124,,,64,,,,,,
S3,0,6,SKod,Stok Kodu,76,,,65,,,,,,
S3,0,7,SKod_Tanim,Stok Kodu Tanım,124,,,66,,,,,,
S3,0,8,RKod,Renk,64,"#,###.##",,67,,,,,,
S3,0,9,RKod_Tanim,Renk Tanımı,304,,,68,,,,,,
S3,0,10,OzKod2,Özel Kod 2,66,,,69,,,,,,
S3,0,11,ROzKod2,Renk Özel Kod 2,100,,,70,,,,,,
S3,0,12,Resim,Resim,904,,,71,,,,,,
S3,0,13,Siparis_Miktari,Sipariş Miktarı,84,"#,###.##",,72,,,,,,
S3,0,14,CF2,Siparis Fiyatı,76,"#,###.##",,73,,,,,,
S3,0,15,ParaCinsi,Kur,23,,,74,,,,,,
S3,0,16,Birim,Birim,34,,,75,,,,,,
S3,0,17,FToplam,Fiş Toplamı,70,"#,##0.00",,76,,,,,,
S3,0,18,iskontoTut,İskonto Tutarı,83,"#,##0.00",,77,,,,,,
S3,0,19,Matrah,Matrah,64,"#,##0.00",,78,,,,,,
S3,0,20,Tutar,Tutar,40,"#,##0.00",,79,,,,,,
S3,0,21,Stok_Resim,Stok_Resim,71,,,80,,,,,,
S4,0,0,SipNo,Sipariş No,23,"#,###.##",,81,,,,,,
S4,0,1,SipTar,Sipariş Tarihi,68,,,82,,,,,,
S4,0,2,cariKod,Sipariş Cari Ko,101,,,83,,,,,,
S4,0,3,CariKod_Tanim,Sipariş Cari Ko,142,,,84,,,,,,
S4,0,4,TeslimTar,Termin Tarihi,78,,,85,,,,,,
S4,0,5,SipOzKod2,Sipariş Özel Ko,124,,,86,,,,,,
S4,0,6,SKod,Stok Kodu,76,,,87,,,,,,
S4,0,7,SKod_Tanim,Stok Kodu Tanım,124,,,88,,,,,,
S4,0,8,RKod,Renk,64,"#,###.##",,89,,,,,,
S4,0,9,RKod_Tanim,Renk Tanımı,304,,,90,,,,,,
S4,0,10,OzKod2,Özel Kod 2,66,,,91,,,,,,
S4,0,11,ROzKod2,Renk Özel Kod 2,100,,,92,,,,,,
S4,0,12,Resim,Resim,904,,,93,,,,,,
S4,0,13,Siparis_Miktari,Sipariş Miktarı,84,"#,###.##",,94,,,,,,
S4,0,14,CF2,Siparis Fiyatı,76,"#,###.##",,95,,,,,,
S4,0,15,ParaCinsi,Kur,23,,,96,,,,,,
S4,0,16,Birim,Birim,34,,,97,,,,,,
S4,0,17,FToplam,Fiş Toplamı,70,"#,##0.00",,98,,,,,,
S4,0,18,iskontoTut,İskonto Tutarı,83,"#,##0.00",,99,,,,,,
S4,0,19,Matrah,Matrah,64,"#,##0.00",,100,,,,,,
S4,0,20,Tutar,Tutar,40,"#,##0.00",,101,,,,,,
S4,0,21,Stok_Resim,Stok_Resim,71,,,102,,,,,,
S3,0,2,SipNo,Sipariş Cari Ko,142,"#,###.##",,103,,,,,,
S3,0,1,SipTar,Sipariş Tarihi,68,,,104,,,,,,
