Modul,Dizayn,Alan,Genislik,kgid,insUN,insDT,insApp,updUN,updDT,updApp
SF,<Default>,ABarcode,25,1,,,,,,
SF,<Default>,Aciklama,30,2,,,,,,
SF,<Default>,AlterBC,50,3,,,,,,
SF,<Default>,AlterCode,50,4,,,,,,
SF,<Default>,AlterTanim,100,5,,,,,,
SF,<Default>,AOzKod1,50,6,,,,,,
SF,<Default>,AOzKod2,50,7,,,,,,
SF,<Default>,AOzKod3,50,8,,,,,,
SF,<Default>,AOzKod4,50,9,,,,,,
SF,<Default>,AOzKod5,50,10,,,,,,
SF,<Default>,Asorti,5,11,,,,,,
SF,<Default>,Asorti_ici,100,12,,,,,,
SF,<Default>,Asorti_Top,5,13,,,,,,
SF,<Default>,AsTanim,100,14,,,,,,
SF,<Default>,AsTanim2,100,15,,,,,,
SF,<Default>,Barcode,25,16,,,,,,
SF,<Default>,BarOzKod1,149,17,,,,,,
SF,<Default>,BarOzKod2,149,18,,,,,,
SF,<Default>,BarOzKod3,149,19,,,,,,
SF,<Default>,BCProcId,50,20,,,,,,
SF,<Default>,beden,8,21,,,,,,
SF,<Default>,Bedenler,100,22,,,,,,
SF,<Default>,BedenTanim,50,23,,,,,,
SF,<Default>,BedOzKod1,10,24,,,,,,
SF,<Default>,BedOzKod2,10,25,,,,,,
SF,<Default>,BedOzKod3,10,26,,,,,,
SF,<Default>,BelgeNo,15,27,,,,,,
SF,<Default>,Birim,10,28,,,,,,
SF,<Default>,Cariisim,60,29,,,,,,
SF,<Default>,CariKod,15,30,,,,,,
SF,<Default>,CariSehir,30,31,,,,,,
SF,<Default>,Cariunvan,60,32,,,,,,
SF,<Default>,CNT,20,33,,,,,,
SF,<Default>,DeAcBc,25,34,,,,,,
SF,<Default>,EANCode,12,35,,,,,,
SF,<Default>,Fiyat,25,36,,,,,,
SF,<Default>,Kur,4,37,,,,,,
SF,<Default>,Marka,15,38,,,,,,
SF,<Default>,MikBarCode,50,39,,,,,,
SF,<Default>,Miktar,20,40,,,,,,
SF,<Default>,OzelKod1,15,41,,,,,,
SF,<Default>,OzelKod10,50,42,,,,,,
SF,<Default>,Ozelkod11,50,43,,,,,,
SF,<Default>,Ozelkod12,50,44,,,,,,
SF,<Default>,Ozelkod13,50,45,,,,,,
SF,<Default>,Ozelkod14,50,46,,,,,,
SF,<Default>,Ozelkod15,50,47,,,,,,
SF,<Default>,Ozelkod16,50,48,,,,,,
SF,<Default>,Ozelkod17,50,49,,,,,,
SF,<Default>,Ozelkod18,50,50,,,,,,
SF,<Default>,Ozelkod19,50,51,,,,,,
SF,<Default>,OzelKod2,15,52,,,,,,
SF,<Default>,Ozelkod20,50,53,,,,,,
SF,<Default>,OzelKod3,15,54,,,,,,
SF,<Default>,OzelKod4,15,55,,,,,,
SF,<Default>,OzelKod5,15,56,,,,,,
SF,<Default>,OzelKod6,50,57,,,,,,
SF,<Default>,OzelKod7,50,58,,,,,,
SF,<Default>,OzelKod8,50,59,,,,,,
SF,<Default>,OzelKod9,50,60,,,,,,
SF,<Default>,ProcId,15,61,,,,,,
SF,<Default>,Renk,50,62,,,,,,
SF,<Default>,RenkOzKod1,50,63,,,,,,
SF,<Default>,RenkOzKod2,50,64,,,,,,
SF,<Default>,RenkOzKod3,150,65,,,,,,
SF,<Default>,Resim,100,66,,,,,,
SF,<Default>,Reyon,15,67,,,,,,
SF,<Default>,SCins,2,68,,,,,,
SF,<Default>,SCinsT,50,69,,,,,,
SF,<Default>,SGrup,3,70,,,,,,
SF,<Default>,SGrupT,50,71,,,,,,
SF,<Default>,StkTipT,50,72,,,,,,
SF,<Default>,Stok_Tanim,50,73,,,,,,
SF,<Default>,StokKodu,15,74,,,,,,
SF,<Default>,StokTip,15,75,,,,,,
SF,<Default>,Uretici,15,76,,,,,,
