FisNo,Bolum,FisTip,FisTar,BelgeNo,Kasa,Location,CariKod,OzKod1,OzKod2,MuhKod,MuhFisNo,iptal,MM,insUN,insDT,updUN,updDT,locked,CreaterApp,OzKod3,OzKod4,OzKod5,LastUpdate,LastCalculate,MakbuzSerino,MakbuzNo,NoBaBs,NeedCalculate
684670,K,KT,2023-01-01 07:55:23,GIDER,V01,KS002,,,,,0,,,LIN,2023-01-01 12:42:20.840000,AIDAANA,2023-01-02 00:54:08.053000,,,,,,2023-01-02 00:54:08.587000,2023-01-02 00:54:09.217000,,,,0
684671,K,KT,2023-01-01 17:52:02,,A01,KS013,,,,,0,,,AYTOLGUN,2023-01-01 17:54:55.113000,AYTOLGUN,2023-01-01 17:54:55.117000,,,,,,2023-01-01 17:54:55.367000,2023-01-01 17:54:56.533000,,,,0
684672,K,KT,2023-01-01 18:03:06,NAKİT,H01,KS007,,,,,0,,,KLAS,2023-01-01 18:04:30.233000,KLAS,2023-01-02 00:42:46.383000,,,,,,2023-01-02 00:42:46.403000,2023-01-02 00:42:46.893000,,,,0
684673,K,KT,2023-01-01 18:10:11,NAKİT,V01,KS002,,,,,0,,,LIN,2023-01-01 18:11:18.127000,AIDAANA,2023-01-01 23:57:48.440000,,,,,,2023-01-01 23:57:48.473000,2023-01-01 23:57:48.823000,,,,0
684674,K,KT,2023-01-01 19:01:02,GIDER,E01,KS003,,,,,0,,,ERBIL,2023-01-01 19:03:03.813000,ERBIL,2023-01-01 19:03:03.813000,,,,,,2023-01-01 19:03:03.913000,2023-01-01 19:03:04.383000,,,,0
684675,K,KT,2023-01-01 19:01:09,GRANDPARK GIDERLERI,G01,KS012,,,,,0,,,NAZERKE,2023-01-01 19:04:18.080000,NAZERKE,2023-01-01 19:04:18.080000,,,,,,2023-01-01 19:04:18.230000,2023-01-01 19:04:18.860000,,,,0
684676,K,NO,2023-01-01 19:23:21,,K01,Z003,,,,,0,,,AKKALAMALL,2023-01-01 19:23:41.880000,AKKALAMALL,2023-01-01 19:23:41.880000,,,,,,2023-01-01 19:23:46.667000,2023-01-01 19:23:57.450000,,,,0
684677,K,GO,2023-01-01 19:24:13,,K01,Z003,,,,,0,,,AKKALAMALL,2023-01-01 19:24:34.303000,AKKALAMALL,2023-01-01 19:24:34.303000,,,,,,2023-01-01 19:24:34.407000,2023-01-01 19:24:34.977000,,,,0
684678,K,NO,2023-01-01 19:24:47,,K01,Z003,,,,,0,,,AKKALAMALL,2023-01-01 19:37:09.237000,AKKALAMALL,2023-01-01 19:37:09.240000,,,,,,2023-01-01 19:37:09.280000,2023-01-01 19:37:09.710000,,,,0
684679,K,KT,2023-01-02 10:44:31,GIDER,Z01,KM01,,,,,0,,,ZBURNU,2023-01-02 10:45:33.840000,ZBURNU,2023-01-02 10:45:33.840000,,,,,,2023-01-02 11:21:48.527000,2023-01-02 11:22:05.627000,,,,0
684680,K,NO,2023-01-01 11:25:47,EMANET,KS01,KS001,,,,,0,,,BERRIN,2023-01-02 11:29:02.510000,BERRIN,2023-01-02 11:32:53.153000,,,,,,2023-01-02 11:32:53.167000,2023-01-02 11:32:53.420000,,,,0
684681,K,BY,2023-01-01 11:30:01,,KS01,KS001,,,,,0,,,BERRIN,2023-01-02 11:32:11.240000,BERRIN,2023-01-02 11:48:58.360000,,,,,,2023-01-02 11:48:58.360000,2023-01-02 11:48:58.730000,,,,0
684682,K,KT,2023-01-02 10:43:28,GIDER,V01,KS002,,,,,0,,,LIN,2023-01-02 11:34:21.490000,AIDAANA,2023-01-03 00:49:40.707000,,,,,,2023-01-03 00:49:40.727000,2023-01-03 00:49:41.287000,,,,0
684683,K,KT,2023-01-02 11:34:14,AVANS ,V01,KS002,,,,,0,,,LIN,2023-01-02 11:36:12.757000,LIN,2023-01-02 11:36:12.757000,,,,,,2023-01-02 11:36:12.783000,2023-01-02 11:36:13.343000,,,,0
684684,K,GO,2023-01-01 11:45:00,TRGIDER,KS01,KS001,,,,,0,,,BERRIN,2023-01-02 11:46:30.537000,BERRIN,2023-01-02 11:46:30.537000,,,,,,2023-01-02 11:46:30.640000,2023-01-02 11:46:31.090000,,,,0
684685,K,GO,2023-01-01 11:46:49,IRAKGD,KS01,KS001,,,,,0,,,BERRIN,2023-01-02 11:47:32.193000,BERRIN,2023-01-02 11:47:32.193000,,,,,,2023-01-02 11:47:32.267000,2023-01-02 11:47:32.757000,,,,0
684686,K,KT,2023-01-02 12:50:02,NAKIT,Z01,KM01,,,,,0,,,ZBURNU,2023-01-02 12:50:28.587000,ZBURNU,2023-01-02 12:50:28.587000,,,,,,2023-01-02 12:50:28.637000,2023-01-02 12:50:29.070000,,,,0
684687,K,KT,2023-01-02 14:55:12,NAKIT,F01,KS004,,,,,0,,,FAMILYMOOL,2023-01-02 14:55:47.920000,FAMILYMOOL,2023-01-02 14:55:47.920000,,,,,,2023-01-02 14:55:47.983000,2023-01-02 14:55:48.780000,,,,0
684688,K,KT,2023-01-02 15:02:04,NAKIT,R01,KS005,,,,,0,,,RAYMOOL,2023-01-02 15:02:45.357000,RAYMOOL,2023-01-02 15:02:45.357000,,,,,,2023-01-02 15:02:45.427000,2023-01-02 15:02:46.047000,,,,0
684689,K,KT,2023-01-02 15:10:46,NAKİT,H01,KS007,,,,,0,,,KLAS,2023-01-02 15:12:17.180000,KLAS,2023-01-02 22:19:19.873000,,,,,,2023-01-02 22:19:19.887000,2023-01-02 22:19:20.450000,,,,0
