ID,KasaKodu,ParaBirimi,AccountID,MMID,kgid,insUN,insDT,insApp,updUN,updDT,updApp
1,K001,EU,365,0,1,,,,harun,2024-02-16 15:31:44.403000,KGShop
2,K001,TL,363,0,2,,,,harun,2024-02-16 15:31:44.410000,KGShop
3,K001,US,364,0,3,,,,harun,2024-02-16 15:31:44.417000,KGShop
4,K002,EU,365,0,4,,,,nazik,2023-11-13 17:00:11,
5,K002,TL,363,0,5,,,,nazik,2023-11-13 17:00:11.010000,
6,K002,US,364,0,6,,,,nazik,2023-11-13 17:00:11.017000,
7,K003,EU,365,0,7,,,,nazik,2023-11-13 17:00:23.680000,
8,K003,TL,363,0,8,,,,nazik,2023-11-13 17:00:23.690000,
9,K003,US,364,0,9,,,,nazik,2023-11-13 17:00:23.693000,
10,R001,EU,365,0,10,,,,nazik,2023-11-13 17:00:36.123000,
11,R001,TL,363,0,11,,,,nazik,2023-11-13 17:00:36.130000,
12,R001,US,364,0,12,,,,nazik,2023-11-13 17:00:36.133000,
13,R002,EU,365,0,13,,,,nazik,2023-11-13 17:00:50.160000,
14,R002,TL,363,0,14,,,,nazik,2023-11-13 17:00:50.170000,
15,R002,US,364,0,15,,,,nazik,2023-11-13 17:00:50.173000,
16,R003,EU,365,0,16,,,,nazik,2023-11-13 17:01:03.197000,
17,R003,TL,363,0,17,,,,nazik,2023-11-13 17:01:03.207000,
18,R003,US,364,0,18,,,,nazik,2023-11-13 17:01:03.213000,
