Koli_KOD,Tanim,Beden_KOD,Tanim2
0000,0000,M1,0000
0002,36- 44 = 2 2 2 4 2 0=12,TBN,36- 44 = 2 2 2 4 2 0=12
0003,26- 30 = 1 1 2 2 2 0 0 0 0 0 0=8,FLT,26- 30 = 1 1 2 2 2 0 0 0 0 0 0=8
0004,36- 46 = 2 0 3 0 3 3 1 0 0=12,TBN,36- 46 = 2 0 3 0 3 3 1 0 0=12
0005,36 37- 40 41 = 3 4 1=8,Z4,36 37- 40 41 = 3 4 1=8
0006,36- 39 = 2 2 2 2 0 0 0 0 0 0 0=8,X2,36- 39 = 2 2 2 2 0 0 0 0 0 0 0=8
0007,21- 25 = 2 2 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0=10,X3,21- 25 = 2 2 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0=10
0008,40- 44 = 1 2 2 2 1 0 0=8,X2,40- 44 = 1 2 2 2 1 0 0=8
0009,110- 135 = 1 3 2 3 2 1 0 0 0 0 0 0 0 0 0 0 0=12,KMR,110- 135 = 1 3 2 3 2 1 0 0 0 0 0 0 0 0 0 0 0=12
0010,31- 35 = 1 1 2 2 2 0 0 0 0 0 0 0 0 0 0 0=8,X2,31- 35 = 1 1 2 2 2 0 0 0 0 0 0 0 0 0 0 0=8
0011,40- 50 = 1 1 1 1 1 11 0 0 0=16,ZDER,40- 50 = 1 1 1 1 1 11 0 0 0=16
0012,40- 45 = 1 2 2 1 1 1 0 0 0=8,X2,40- 45 = 1 2 2 1 1 1 0 0 0=8
0013,FTJH,FAST,FTJH
0014,45- 47 = 3 3 2 0=8,X2,45- 47 = 3 3 2 0=8
0015,28- 36 = 1 1 1 2 1 1 1 1 1=10,28-6,28- 36 = 1 1 1 2 1 1 1 1 1=10
0016,45- 47 = 4 3 1 0=8,X2,45- 47 = 4 3 1 0=8
0017,27- 36 = 1 1 1 1 1 1 1 1 1 1=10,27-6,27- 36 = 1 1 1 1 1 1 1 1 1 1=10
0018,36- 40 = 1 2 2 2 1 0 0 0 0 0 0 0 0=8,X2,36- 40 = 1 2 2 2 1 0 0 0 0 0 0 0 0=8
0020,31- 35 = 1 2 2 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0=8,X2,31- 35 = 1 2 2 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0=8
0022,36- 40 = 2 2 2 2 2 0 0 0 0 0 0 0 0=10,X2,36- 40 = 2 2 2 2 2 0 0 0 0 0 0 0 0=10
0024,40- 44 = 2 2 2 2 2 0 0 0 0=10,X2,40- 44 = 2 2 2 2 2 0 0 0 0=10
0026,40- 45 = 1 2 2 2 2 1 0 0 0=10,X2,40- 45 = 1 2 2 2 2 1 0 0 0=10
0028,39- 44 = 1 2 2 2 2 1 0 0 0 0=10,X2,39- 44 = 1 2 2 2 2 1 0 0 0 0=10
0030,36- 40 = 2 2 3 2 1 0 0 0 0 0 0 0 0=10,X2,36- 40 = 2 2 3 2 1 0 0 0 0 0 0 0 0=10
0032,40- 44 = 2 2 3 2 1 0 0 0 0=10,X2,40- 44 = 2 2 3 2 1 0 0 0 0=10
0034,39- 45 = 1 1 2 2 2 1 1 0 0 0=10,X2,39- 45 = 1 1 2 2 2 1 1 0 0 0=10
0036,36- 40 = 2 2 2 1 1 0 0 0 0 0 0 0 0=8,X2,36- 40 = 2 2 2 1 1 0 0 0 0 0 0 0 0=8
0038,31- 35 = 2 3 2 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0=10,X2,31- 35 = 2 3 2 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0=10
0040,36- 40 = 2 3 2 2 1 0 0 0 0 0 0 0 0=10,X2,36- 40 = 2 3 2 2 1 0 0 0 0 0 0 0 0=10
0042,40- 44 = 1 3 3 2 1 0 0 0 0=10,X2,40- 44 = 1 3 3 2 1 0 0 0 0=10
0044,30- 45 = 1 1 2 2 1 1 1 2 2 2 1 2 2 2 1 1 0 0 0=24,X2,30- 45 = 1 1 2 2 1 1 1 2 2 2 1 2 2 2 1 1 0 0 0=24
0046,30- 35 = 1 1 2 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0=8,X2,30- 35 = 1 1 2 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0=8
0048,41- 45 = 2 2 2 1 1 0 0 0=8,X2,41- 45 = 2 2 2 1 1 0 0 0=8
0BLK,45- 47 = 2 3 3 0=8,X2,45- 47 = 2 3 3 0=8
0BLM,31- 35 = 1 3 3 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0=10,X2,31- 35 = 1 3 3 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0=10
1,1,M1,1
1111,1111,M1,1111
1212,1212,Z1,1212
12Lİ,12Lİ,M1,12Lİ
2,2,M1,2
2222,2222,Z1,2222
2736,27- 36 = 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0=10,X1,27- 36 = 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0=10
3,3,GR,3
4,4,M1,4
44,41- 41 = 8 0 0 0 0 0 0 0=8,X2,41- 41 = 8 0 0 0 0 0 0 0=8
444,43- 43 = 8 0 0 0 0 0=8,X2,43- 43 = 8 0 0 0 0 0=8
6-40,36- 40 = 7 14 14 14 7 0 0 0=56,Z1,36- 40 = 7 14 14 14 7 0 0 0=56
A000,A000,M1,A000
A001,36- 41 = 2 4 4 4 4 2 0 0=20,Z1,36- 41 = 2 4 4 4 4 2 0 0=20
A002,36- 40 = 1 2 2 2 1 0 0 0 0 0 0 0=8,M1,36- 40 = 1 2 2 2 1 0 0 0 0 0 0 0=8
A003,36- 39 = 2 3 3 2 0 0 0 0=10,Z1,36- 39 = 2 3 3 2 0 0 0 0=10
