Company,Location,GKod
01,KM01,02.001
01,KS001,007
01,KS001,008
01,KS001,009
01,KS001,010
01,KS001,02
01,KS001,DR
01,KS001,G
01,KS001,K
01,KS001,KDV
01,KS001,M
01,KS001,MARKA
01,KS001,ONLINE
01,KS001,POS
01,KS001,SEYAHAT 
01,KS001,T
01,KS001,TAMİR
01,KS001,V
01,KS001,YAPT ISLER
01,KS001,Z
01,KS002,01
01,KS002,02
01,KS006,02.001
01,KS006,L
01,KS007,003
01,KS007,01.001
01,KS007,02
01,KS008,001
01,KS008,001.01
01,KS008,003
01,KS008,009
01,KS008,010
01,KS008,02
01,KS008,AK.001
01,KS008,AK.002
01,KS008,MARKA
01,KS008,ONLINE
01,KS008,POS
01,KS008,TM KASA FAZLASI
01,KS010,TM KASA FAZLASI
01,Z003,AK.001
01,Z003,AK.002
