Pid,CKod,Tanim,CDate,Location,OzKod1,OzKod2,OzKod3,Modul,FisNo,kgid,insUN,insDT,insApp,updUN,updDT,updApp
1,TEST1,siparispck=427,2023-11-16 13:58:20,,,,,,,1,,,,,,
2,TEST1,siparispck=427,2023-11-16 13:58:20,,,,,,,2,,,,,,
3,RCN00020,siparispck=513,2023-12-29 12:15:48,,,,,,,3,,,,,,
4,RCN00020,siparispck=513,2023-12-29 12:15:48,,,,,,,4,,,,,,
5,RCN00020,siparispck=513,2023-12-29 12:17:34,,,,,,,5,,,,,,
6,RCN00020,siparispck=513,2023-12-29 12:17:34,,,,,,,6,,,,,,
7,RCN00020,siparispck=513,2023-12-29 12:17:34,,,,,,,7,,,,,,
8,RCN00020,siparispck=513,2023-12-29 12:17:34,,,,,,,8,,,,,,
9,RCN00020,siparispck=514,2023-12-29 13:26:49,,,,,,,9,,,,,,
10,RCN00020,siparispck=514,2023-12-29 13:26:49,,,,,,,10,,,,,,
11,RCN00020,siparispck=514,2023-12-29 13:26:49,,,,,,,11,,,,,,
12,RCN00020,siparispck=514,2023-12-29 13:26:49,,,,,,,12,,,,,,
13,RCN00020,siparispck=514,2023-12-29 13:26:49,,,,,,,13,,,,,,
14,RCN00020,siparispck=514,2023-12-29 13:26:49,,,,,,,14,,,,,,
15,RCN00020,siparispck=514,2023-12-29 13:26:49,,,,,,,15,,,,,,
16,RCN00020,siparispck=514,2023-12-29 13:26:49,,,,,,,16,,,,,,
17,RCN00020,siparispck=514,2023-12-29 13:26:49,,,,,,,17,,,,,,
18,RCN00020,siparispck=514,2023-12-29 13:26:49,,,,,,,18,,,,,,
19,RCN00020,siparispck=514,2023-12-29 13:26:49,,,,,,,19,,,,,,
20,RCN00020,siparispck=514,2023-12-29 13:26:49,,,,,,,20,,,,,,
21,RCN00020,siparispck=514,2023-12-29 13:26:49,,,,,,,21,,,,,,
22,RCN00020,siparispck=514,2023-12-29 13:26:49,,,,,,,22,,,,,,
23,RCN00020,siparispck=515,2023-12-29 14:37:01,,,,,,,23,,,,,,
24,RCN00020,siparispck=515,2023-12-29 14:37:01,,,,,,,24,,,,,,
25,RCN00020,siparispck=515,2023-12-29 14:37:01,,,,,,,25,,,,,,
26,RCN00020,siparispck=515,2023-12-29 14:37:01,,,,,,,26,,,,,,
27,RCN00020,siparispck=515,2023-12-29 14:37:01,,,,,,,27,,,,,,
28,RCN00020,siparispck=515,2023-12-29 14:37:01,,,,,,,28,,,,,,
29,RCN00020,siparispck=515,2023-12-29 14:37:01,,,,,,,29,,,,,,
30,RCN00020,siparispck=515,2023-12-29 14:37:01,,,,,,,30,,,,,,
31,RCN00020,siparispck=515,2023-12-29 14:37:01,,,,,,,31,,,,,,
32,RCN00020,siparispck=515,2023-12-29 14:37:01,,,,,,,32,,,,,,
33,RCN00020,siparispck=515,2023-12-29 14:37:01,,,,,,,33,,,,,,
34,RCN00020,siparispck=515,2023-12-29 14:37:01,,,,,,,34,,,,,,
35,RCN00020,siparispck=515,2023-12-29 14:37:01,,,,,,,35,,,,,,
36,RCN00020,siparispck=515,2023-12-29 14:37:01,,,,,,,36,,,,,,
37,RCN00020,siparispck=515,2023-12-29 14:37:01,,,,,,,37,,,,,,
38,RCN00020,siparispck=515,2023-12-29 14:37:01,,,,,,,38,,,,,,
39,RCN00020,siparispck=515,2023-12-29 14:37:01,,,,,,,39,,,,,,
40,RCN00020,siparispck=515,2023-12-29 14:37:01,,,,,,,40,,,,,,
41,RCN00020,siparispck=515,2023-12-29 14:37:01,,,,,,,41,,,,,,
42,RCN00020,siparispck=515,2023-12-29 14:37:01,,,,,,,42,,,,,,
43,RCN00020,siparispck=515,2023-12-29 14:37:01,,,,,,,43,,,,,,
44,RCN00020,siparispck=515,2023-12-29 14:37:01,,,,,,,44,,,,,,
45,RCN00020,siparispck=515,2023-12-29 14:42:54,,,,,,,45,,,,,,
46,RCN00020,siparispck=515,2023-12-29 14:42:54,,,,,,,46,,,,,,
47,RCN00020,siparispck=515,2023-12-29 14:42:54,,,,,,,47,,,,,,
48,RCN00020,siparispck=515,2023-12-29 14:42:54,,,,,,,48,,,,,,
49,RCN00020,siparispck=515,2023-12-29 14:42:54,,,,,,,49,,,,,,
50,RCN00020,siparispck=515,2023-12-29 14:42:54,,,,,,,50,,,,,,
51,RCN00020,siparispck=515,2023-12-29 14:42:54,,,,,,,51,,,,,,
52,RCN00020,siparispck=515,2023-12-29 14:42:54,,,,,,,52,,,,,,
53,RCN00020,siparispck=515,2023-12-29 14:42:54,,,,,,,53,,,,,,
54,RCN00020,siparispck=515,2023-12-29 14:42:54,,,,,,,54,,,,,,
55,RCN00020,siparispck=515,2023-12-29 14:42:54,,,,,,,55,,,,,,
56,RCN00020,siparispck=515,2023-12-29 14:42:54,,,,,,,56,,,,,,
57,RCN00020,siparispck=515,2023-12-29 14:42:54,,,,,,,57,,,,,,
58,RCN00020,siparispck=515,2023-12-29 14:42:54,,,,,,,58,,,,,,
59,RCN00020,siparispck=515,2023-12-29 14:42:54,,,,,,,59,,,,,,
60,RCN00020,siparispck=515,2023-12-29 14:42:54,,,,,,,60,,,,,,
61,RCN00020,siparispck=515,2023-12-29 14:42:54,,,,,,,61,,,,,,
62,RCN00020,siparispck=515,2023-12-29 14:42:54,,,,,,,62,,,,,,
63,RCN00020,siparispck=515,2023-12-29 14:42:54,,,,,,,63,,,,,,
64,RCN00020,siparispck=515,2023-12-29 14:42:54,,,,,,,64,,,,,,
65,RCN00020,siparispck=515,2023-12-29 14:42:54,,,,,,,65,,,,,,
66,RCN00020,siparispck=515,2023-12-29 14:42:54,,,,,,,66,,,,,,
67,RCN00020,siparispck=515,2023-12-29 14:42:54,,,,,,,67,,,,,,
68,RCN00020,siparispck=515,2023-12-29 14:42:54,,,,,,,68,,,,,,
69,RCN00020,siparispck=515,2023-12-29 14:42:54,,,,,,,69,,,,,,
70,RCN00020,siparispck=515,2023-12-29 14:42:54,,,,,,,70,,,,,,
71,RCN00020,siparispck=515,2023-12-29 14:42:54,,,,,,,71,,,,,,
72,RCN00020,siparispck=515,2023-12-29 14:42:54,,,,,,,72,,,,,,
73,RCN00020,siparispck=515,2023-12-29 14:42:54,,,,,,,73,,,,,,
74,RCN00020,siparispck=515,2023-12-29 14:42:54,,,,,,,74,,,,,,
75,RCN00020,siparispck=515,2023-12-29 14:42:55,,,,,,,75,,,,,,
76,RCN00020,siparispck=515,2023-12-29 14:42:55,,,,,,,76,,,,,,
77,RCN00020,siparispck=515,2023-12-29 14:42:55,,,,,,,77,,,,,,
78,RCN00020,siparispck=515,2023-12-29 14:42:55,,,,,,,78,,,,,,
79,RCN00020,siparispck=515,2023-12-29 14:42:55,,,,,,,79,,,,,,
80,RCN00020,siparispck=515,2023-12-29 14:42:55,,,,,,,80,,,,,,
81,RCN00020,siparispck=515,2023-12-29 14:42:55,,,,,,,81,,,,,,
82,RCN00020,siparispck=515,2023-12-29 14:42:55,,,,,,,82,,,,,,
83,RCN00020,siparispck=515,2023-12-29 14:42:55,,,,,,,83,,,,,,
84,RCN00020,siparispck=515,2023-12-29 14:42:55,,,,,,,84,,,,,,
85,RCN00020,siparispck=515,2023-12-29 14:42:55,,,,,,,85,,,,,,
86,RCN00020,siparispck=515,2023-12-29 14:42:55,,,,,,,86,,,,,,
87,RCN00020,siparispck=515,2023-12-29 14:42:55,,,,,,,87,,,,,,
88,RCN00020,siparispck=515,2023-12-29 14:42:55,,,,,,,88,,,,,,
89,RCN00020,siparispck=515,2023-12-29 14:42:55,,,,,,,89,,,,,,
90,RCN00020,siparispck=515,2023-12-29 14:42:55,,,,,,,90,,,,,,
91,RCN00020,siparispck=515,2023-12-29 14:42:55,,,,,,,91,,,,,,
92,RCN00020,siparispck=515,2023-12-29 14:42:55,,,,,,,92,,,,,,
93,RCN00020,siparispck=515,2023-12-29 14:42:55,,,,,,,93,,,,,,
94,RCN00020,siparispck=515,2023-12-29 14:42:55,,,,,,,94,,,,,,
95,RCN00020,siparispck=515,2023-12-29 14:42:55,,,,,,,95,,,,,,
96,RCN00020,siparispck=515,2023-12-29 14:42:55,,,,,,,96,,,,,,
97,RCN00020,siparispck=515,2023-12-29 14:42:55,,,,,,,97,,,,,,
98,RCN00020,siparispck=515,2023-12-29 14:42:55,,,,,,,98,,,,,,
99,RCN00025,siparispck=717,2024-01-22 22:08:18,,,,,,,99,,,,,,
100,RCN00025,siparispck=717,2024-01-22 22:08:18,,,,,,,100,,,,,,
101,RCN00025,siparispck=717,2024-01-22 22:08:18,,,,,,,101,,,,,,
102,RCN00025,siparispck=717,2024-01-22 22:08:18,,,,,,,102,,,,,,
103,RCN00021,siparispck=533,2024-01-23 14:23:39,,,,,,,103,,,,,,
104,RCN00021,siparispck=533,2024-01-23 14:23:39,,,,,,,104,,,,,,
105,RCN00021,siparispck=533,2024-01-23 14:23:39,,,,,,,105,,,,,,
106,RCN00021,siparispck=533,2024-01-23 14:23:39,,,,,,,106,,,,,,
