FisNo,Fisinx,FisTur,FisTip,Tarih,EvrakNo,Banka,Sube,Hesap,cmb,cmbkod,cmbkod1,cmbkod2,Location,OzKod1,OzKod2,MuhKodBanka,Muhkodcmb,Tutar,ParaCinsi,cbpg,cbpgMuhKod,Tanim,VadeOran,Masraf,GiderKod,KDVOran,KdvMuhKod,Tarih1,Tarih2,MuhKod,FisTur_Tanim,FisTip_Tanim,Proje_D_Id
5,7,2,1,2019-03-29 00:00:00,,01,464,71014406,C,320.332,YAGMUR AYAKKABI,YAGMUR AYAKKABI,,,,,,20000.0,TL,,,YAPI KREDİ HES.EFT,0.00,0.0,,0.0,,2019-03-29 00:00:00,2019-03-29 00:00:00,,EFT İşlemi,Gönderilen,
5,8,2,1,2019-03-29 00:00:00,,01,464,71014406,C,320.404,NATURLAND AYAK ,Naturland Ayak ,,,,,,20000.0,TL,,,YAPI KREDİ HES.EFT,0.00,0.0,,0.0,,2019-03-29 00:00:00,2019-03-29 00:00:00,,EFT İşlemi,Gönderilen,
5,9,2,1,2019-03-29 00:00:00,,01,464,71014406,C,320.714,FORGATTO SHOES,FORGATTO SHOES ,,,,,,15000.0,TL,,,YAPI KREDİ HES.EFT,0.00,0.0,,0.0,,2019-03-29 00:00:00,2019-03-29 00:00:00,,EFT İşlemi,Gönderilen,
5,10,2,1,2019-03-29 00:00:00,,01,464,71014406,C,320.407,SAHRA KUNDURA S,SAHRA KUNDURA S,,,,,,15000.0,TL,,,YAPI KREDİ HES.EFT,0.00,9.25,05.030,0.0,,2019-03-29 00:00:00,2019-03-29 00:00:00,,EFT İşlemi,Gönderilen,
5,11,2,1,2019-03-29 00:00:00,,01,464,71014406,C,320.522,GÜNDOĞDU DERİ M,GÜNDOĞDU DERİ M,,,,,,4000.0,TL,,,YAPI KREDİ HES.EFT,0.00,0.0,,0.0,,2019-03-29 00:00:00,2019-03-29 00:00:00,,EFT İşlemi,Gönderilen,
5,12,2,1,2019-03-29 00:00:00,,01,464,71014406,C,320.677,CESS AYAKKABI,,,,,,,10000.0,TL,,,YAPI KREDİ HES.EFT,0.00,0.0,,0.0,,2019-03-29 00:00:00,2019-03-29 00:00:00,,EFT İşlemi,Gönderilen,
5,13,2,1,2019-03-29 00:00:00,,01,464,71014406,C,320.369,BAKAN KUNDURA -,BAKAN KUNDURA -,,,,,,10000.0,TL,,,YAPI KREDİ HES.EFT,0.00,0.0,,0.0,,2019-03-29 00:00:00,2019-03-29 00:00:00,,EFT İşlemi,Gönderilen,
5,14,2,1,2019-03-29 00:00:00,,01,464,71014406,C,320.526,ÖZ ÜÇ KARDEŞLER,ÖZ-ÜÇ KARDEŞ AY,,,,,,10000.0,TL,,,YAPI KREDİ HES.EFT,0.00,0.0,,0.0,,2019-03-29 00:00:00,2019-03-29 00:00:00,,EFT İşlemi,Gönderilen,
5,15,2,1,2019-03-29 00:00:00,,01,464,71014406,C,320.657,SEÇ KUNDURA MEH,SEÇ KUNDURA MEH,,,,,,6000.0,TL,,,YAPI KREDİ HES.EFT,0.00,0.0,,0.0,,2019-03-29 00:00:00,2019-03-29 00:00:00,,EFT İşlemi,Gönderilen,
5,16,2,1,2019-03-29 00:00:00,,01,464,71014406,C,320.680,SAVCILI AYAKKAB,SAVCILI AYAKKAB,,,,,,10000.0,TL,,,YAPI KREDİ HES.EFT,0.00,0.0,,0.0,,2019-03-29 00:00:00,2019-03-29 00:00:00,,EFT İşlemi,Gönderilen,
5,17,2,1,2019-03-29 00:00:00,,01,464,71014406,C,320.572,BOEING SHOES,NECMI KUNDURA G,,,,,,6000.0,TL,,,YAPI KREDİ HES.EFT,0.00,0.0,,0.0,,2019-03-29 00:00:00,2019-03-29 00:00:00,,EFT İşlemi,Gönderilen,
5,18,2,1,2019-03-29 00:00:00,,01,464,71014406,C,320.215,ZAFER TÜRKOĞLU ,ZAFER TÜRKOĞLU ,,,,,,8000.0,TL,,,YAPI KREDİ HES.EFT,0.00,0.0,,0.0,,2019-03-29 00:00:00,2019-03-29 00:00:00,,EFT İşlemi,Gönderilen,
