BankaKod,SubeKod,Tanim,Tel,Fax,Adr1,Adr2,Sehir,OzKod1,OzKod2,insUN,insDT,updUN,updDT
01,464,YAPI KREDI ,0212 511 69 08,0212 339 52 53,ÜYE İŞ YERİ:2634117200,,ISTANBUL,A,,SUHEYLA,2007-12-31 17:45:18.640000,BERRIN,2019-04-28 14:55:54.413000
02,1227,GARANTİ-ŞEHZADEBAŞI ŞB.,0212 402 17 00,,,,,,,BERRIN,2014-02-01 13:47:52.403000,BERRIN,2019-04-29 13:39:15.797000
02,601,GARANTİ-LALELİ ŞUBESİ,0212 402 11 47,0212 402 11 31,MİMAR KEMALETTİN MAH.,ORDU CAD.35/B FATİH-İST.,,A,,BERRIN,2019-01-25 16:08:34.737000,BERRIN,2019-04-28 14:55:19.587000
02,62,GARANTI BANKASI,,,,,,,,SUHEYLA,2007-12-31 17:54:42.060000,BERRIN,2019-04-29 13:39:20.780000
04,189,ZEYTİNBURNU ŞUBESİ,547 93 33,558 31 51,,,,A,,SUHEYLA,2008-01-03 19:47:16.623000,BERRIN,2019-04-28 14:56:01.323000
06,1031,,,,,,,,,SUHEYLA,2008-01-03 19:54:45.263000,BERRIN,2019-04-29 13:38:58.373000
06,1084,LALELİ ŞB.,,,,,,A,,BERRIN,2019-03-12 18:46:38.270000,BERRIN,2019-04-28 14:56:09.473000
06,1259,ŞEHZADEBAŞI ŞB.,514 89 43,514 89 54,,,,,,BERRIN,2017-03-30 10:48:58.420000,BERRIN,2019-04-29 13:39:02.030000
08,0001,FİNANSBANK,522 72 80,,ŞEHZADEBAŞI ŞUBE,,,A,,SUHEYLA,2008-01-03 20:01:38.217000,BERRIN,2019-04-28 14:56:17.003000
09,33,LALELİ ŞUBE,,,,,,A,,BEKIR,2020-06-19 19:08:06.927000,WEB,2021-08-14 14:27:34.423000
100,100001,FAST STEP-BANKA EMANET,,,,,,A,,BERRIN,2019-09-24 16:39:02.767000,BERRIN,2019-09-24 16:42:45.907000
111,1111,JUSAN BANKA TENGE,,,,,,A,,BERRIN,2022-02-11 18:27:55.640000,BERRIN,2022-04-05 13:48:56.813000
12,488,FATİH ŞUBESİ,,,,,,A,,BERRIN,2015-12-22 11:30:29.967000,BERRIN,2019-04-28 14:56:24.207000
124,0001,URFA ŞUBESİ,,,,,,,,URFA,2019-12-24 11:25:29.230000,URFA,2019-12-24 11:25:29.240000
13,3333,KASPIRESMİ,,,,,,,,BERRIN,2022-02-11 18:30:55.937000,BERRIN,2022-02-11 18:30:55.937000
14,6666,KZ BNK,,,,,,A,,BERRIN,2022-02-11 19:09:28.730000,BERRIN,2022-04-05 13:49:23.963000
31,311,AHMET KASPI,,,,,,,,BERRIN,2022-04-02 14:09:24.363000,BERRIN,2022-04-02 14:09:58.377000
99,BANKA KASASI,BANKA KASASI,,,,,,A,,BERRIN,2019-08-24 15:01:02.943000,BERRIN,2019-08-24 15:08:07.060000
