Kod,Tanim,DBName
",",",",TANCA
.,.,TANCA
2904,2904,TANCA
ABK TABAN,ABK TABAN,TANCA
ALPI,Alpi,TANCA
AYNA TABAN,Ayna Taban,TANCA
BALON TABAN,Balon Taban,TANCA
BELLA TABAN,BELLA TABAN,TANCA
CHESTER,Chester,TANCA
DERI KAPLAMA,Deri Kaplama,TANCA
ENJEKSIYONLU,Enjeksiyonlu,TANCA
ENJOY TABAN,Enjoy Taban,TANCA
EUROSOLE,Eurosole,TANCA
EUROSOLE TABAN,Eurosole,TANCA
EVA TABAN,Eva Taban,TANCA
EXTRALIGHT,Extralight,TANCA
FATİH ÖKÇE TABAN,FATİH ÖKÇE TABAN,TANCA
FAYLON,Faylon,TANCA
FETA,Feta,TANCA
FLEXIBLE,Flexible,TANCA
GOMMUS,Gommus,TANCA
HAZIR TABAN,Hazır Taban,TANCA
ICTEN DOLGU TOPUK,İçten Dolgu Topuk,TANCA
IPR,IPR,TANCA
ITALTACCO,Italtacco,TANCA
ITHAL TABAN,İthal Taban,TANCA
İTALTACCO,Italtacco,TANCA
JURDAN EVA,Jurdan Eva,TANCA
Jurdan Taban,Jurdan Taban,TANCA
JURDAN TPU,Jurdan Tpu,TANCA
JUT SARGI,Jut Sargı,TANCA
KALIN TOPUK,Kalın Topuk,TANCA
KAUCUK,Kauçuk,TANCA
KOSELE ,Kösele,TANCA
KREP,Krep,TANCA
LIGHT POLI,Light Poli,TANCA
LIVETECH,Livetech,TANCA
MALASPINA,Malaspina,TANCA
MANTAR & EVA,Mantar & Eva,TANCA
MANTAR GORUNUMLU,Mantar Görünümlü,TANCA
METAL DETAYLI,Metal Detaylı,TANCA
MICROLIGHT,Microlight,TANCA
NELLO TABAN,Nello Taban,TANCA
NEOLIT,Neolit,TANCA
NEOLIT JURDAN,Neolit Jurdan,TANCA
PLATFORM,Plartform,TANCA
PLATFORM 2 CM,Plartform 2 Cm,TANCA
POLIURETAN,Poliüretan,TANCA
PVC,Pvc,TANCA
RENKLI EVA,Renkli Eva,TANCA
SEFFAF TABAN,Şefaf Taban,TANCA
SGM/LİVETECH,SGM/LİVETECH,TANCA
SHOPROJECT,Shoproject,TANCA
TERMO,Termo,TANCA
TOP FONDI,Topfondi,TANCA
TP,TP,TANCA
TPU,Tpu,TANCA
VIBRAM,Vibram,TANCA
VİBRA,Vibra,TANCA
WEARLIGHT,Wearlight,TANCA
XL MORROW,XL MORROW,TANCA
XL OLDHAM,XL OLDHAM,TANCA
XL TAMER,XL TAMER,TANCA
YOK,YOK,TANCA
