Company,Location,BKod,SKod,HKod
01,OA001,F001,970,001
01,OA001,F001,970,TL
01,OA001,G001,399,9071662
01,OA001,G001,L_SubeKod,6294866 
01,OA001,G001,L_SubeKod,9070951
01,OA001,K001,33,93739429 
01,OA001,K001,33,93739429 -1
01,OA001,K001,33,93739429 -101 
01,OA001,K001,33,93739429 -102
01,OA001,T001,70,01
01,OA001,T001,70,02
01,OA001,V001,796,001500158007311
01,OA001,V001,796,001580073118898
01,OA001,V001,796,001580480188494
01,OA001,V001,796,158007311889812
01,OA001,V001,796,158048018849415
01,OA001,V001,796,158048018849422
01,OA001,Y001,053,58237136
01,OA001,Y001,053,75786356
01,OA001,Y001,053,75802529
01,OA001,Z001,5016,54650678
