FisTip,FisNo,Location,HucreNo,BelgeNo,kgid,insUN,insDT,insApp,updUN,updDT,updApp
0,661,LN001,10100,,1,,,,,,
0,665,LN001,10102,,2,,,,,,
0,666,LN001,10101,,3,,,,,,
0,667,LN001,10103,,4,,,,,,
0,669,LN001,10104,,5,,,,,,
0,672,LN001,10106,,6,,,,,,
0,673,LN001,10107,,7,,,,,,
0,675,LN001,10108,,8,,,,,,
0,677,LN001,10110,,9,,,,,,
0,678,LN001,10105,,10,,,,,,
0,681,LN001,10111,,11,,,,,,
0,683,LN001,10109,,12,,,,,,
0,684,LN001,10112,,13,,,,,,
0,686,LN001,10113,,14,,,,,,
0,687,LN001,10114,,15,,,,,,
0,688,LN001,10116,,16,,,,,,
0,689,LN001,10115,,17,,,,,,
0,690,LN001,10117,,18,,,,,,
0,692,LN001,10118,,19,,,,,,
0,696,LN001,10120,,20,,,,,,
0,699,LN001,10119,,21,,,,,,
0,701,Ln001,10123,,22,,,,,,
0,703,LN001,10121,,23,,,,,,
0,705,LN001,10124,,24,,,,,,
0,709,LN001,10125,,25,,,,,,
0,710,LN001,10122,,26,,,,,,
0,711,LN001,10126,,27,,,,,,
0,712,LN001,10127,,28,,,,,,
0,713,LN001,10128,,29,,,,,,
0,714,LN001,10131,,30,,,,,,
0,715,LN001,10129,,31,,,,,,
0,716,LN001,10132,,32,,,,,,
0,717,LN001,10130,,33,,,,,,
0,718,LN001,10133,,34,,,,,,
0,720,LN001,10134,,35,,,,,,
0,723,LN001,10136,,36,,,,,,
0,727,LN001,10135,,37,,,,,,
0,731,LN001,10137,,38,,,,,,
0,736,LN001,10138,,39,,,,,,
0,738,LN001,10139,,40,,,,,,
0,742,LN001,10141,,41,,,,,,
0,748,LN001,10145,,42,,,,,,
0,749,LN001,10146,,43,,,,,,
0,751,LN001,10140,,44,,,,,,
0,759,LN001,10142,,45,,,,,,
0,763,LN001,10143,,46,,,,,,
0,766,LN001,10144,,47,,,,,,
0,767,LN001,10148,,48,,,,,,
0,768,LN001,10147,,49,,,,,,
0,770,LN001,10149,,50,,,,,,
0,778,LN001,10150,,51,,,,,,
0,785,LN001,10151,,52,,,,,,
0,793,LN001,10152,,53,,,,,,
0,794,LN001,10155,,54,,,,,,
0,796,LN001,10153,,55,,,,,,
0,798,LN001,10154,,56,,,,,,
0,818,LN001,10156,,57,,,,,,
0,819,LN001,10157,,58,,,,,,
0,822,LN001,10158,,59,,,,,,
0,823,LN001,10160,,60,,,,,,
0,826,LN001,10161,,61,,,,,,
0,831,LN001,10162,,62,,,,,,
0,839,Ln001,10164,,63,,,,,,
0,840,LN001,10165,,64,,,,,,
0,843,LN001,10166,,65,,,,,,
0,851,LN001,10167,,66,,,,,,
0,854,LN001,10168,,67,,,,,,
0,857,LN001,10169,,68,,,,,,
0,859,LN001,10159,,69,,,,,,
0,861,LN001,10170,,70,,,,,,
0,871,LN001,10174,,71,,,,,,
0,882,LN001,10171,,72,,,,,,
0,916,LN001,10172,,73,,,,,,
0,918,LN001,10173,,74,,,,,,
0,921,LN001,10163,,75,,,,,,
0,1002,LN001,10000,,1479,,,,,,
0,1003,LN001,10001,,1480,,,,,,
0,1005,LN001,10002,,1487,,,,,,
0,1025,LN001,10003,,2336,,,,,,
0,1045,LN001,10004,,3437,,,,,,
0,1046,LN001,10005,,3475,,,,,,
0,1047,LN001,10006,,3604,,,,,,
0,1048,LN001,10007,,3700,,,,,,
0,1049,LN001,10008,,3717,,,,,,
0,1052,LN001,10009,,3782,,,,,,
0,1053,LN001,10010,,3860,,,,,,
0,1054,LN001,10011,,3872,,,,,,
0,1055,LN001,10012,,3939,,,,,,
0,1056,LN001,10013,,3993,,,,,,
0,1067,LN001,10014,,4053,,,,,,
0,1070,Ln001,10016,,4112,,,,,,
0,1071,Ln001,10015,,4097,,,,,,
0,1072,LN001,10017,,4224,,,,,,
0,1077,LN001,10018,,4421,,,,,,
0,1079,LN001,10019,,4507,,,,,,
0,1080,LN001,10020,,4511,,,,,,
0,1082,Ln001,10021,,4557,,,,,,
0,1084,Ln001,10022,,4645,,,,,,
0,1085,LN001,10024,,4690,,,,,,
0,1086,LN001,10023,,4665,,,,,,
0,1087,LN001,10025,,4790,,,,,,
0,1089,LN001,10027,,4867,,,,,,
