Kod,Tanim,Prim,DBName
.,.,,TANCA
AKSESUAR DETAYLI,Aksesuar Detaylı,,TANCA
ALEV DESEN,Alev Desen,,TANCA
ANIMAL,Animal,,TANCA
ANIMAL PRINT DETAY,Animal Print Detay,,TANCA
ANIMAL PRINT HOLAGRAM,Animal Print Hologram,,TANCA
ANIMAL PRINT RUGAN,Animal Print Rugan,,TANCA
ARKADAN BANTLI ONU ACIK,Arkadan Bantlı Önü Açık,,TANCA
ARKASI  ACIK,Arkası Açık,,TANCA
BAGCIK DETAYLI,Bağcık Detaylı,,TANCA
BAGET TAS DETAY,Baget Taş Detay,,TANCA
BAGET TASLI,Baget Taşlı,,TANCA
BASKI DERI DETAYLI,Baskı Deri Detaylı,,TANCA
BASKI DERI PUSKUL DETAYLI,Baskı Deri Püskül Detayllı,,TANCA
BASKILI DERI,Baskılı Deri,,TANCA
BASKILI DETAY,Baskılı Detay,,TANCA
BASKILI NUBUK,Baskılı Nubuk,,TANCA
BASKILI SARAC DETAYLI,Baskılı Saraç Detaylı,,TANCA
BASKILI VE TOKA DETAYLI,Baskılı Ve Toka Detaylı,,TANCA
BILEKTAN TAS DETAYLI,Bilekten Taş Detaylı,,TANCA
BILEKTEN BANTLI,Bilekten Bantlı,,TANCA
"BILEKTEN BANTLI,ONU ACIK",Bilekten Bantlı Önü Açık,,TANCA
BILEKTEN BANTLI/TAS DETAYLI,Bilekten Bantlı Taş Detaylı,,TANCA
BILEKTEN TOKALI /ONU KAPALI,Bilekten Tokalı Önü Kapalı,,TANCA
BILEKTEN TOKALI/ONU ACIK CIFT BANT TASLI,Bilekten Toklaı Önü Açık Çift Bant Taşlı,,TANCA
BURNU ACIK,Burnu Açık,,TANCA
BURNU KAPALI,Burnu Kapalı,,TANCA
BURUN KISMI DEMIR,Burun Kısmı Demir,,TANCA
BUZGULU,Büzgülü,,TANCA
CAPA DETAYLI,Çapa Detaylı,,TANCA
CAPITONE,Capitone,,TANCA
CAPRAZ BANTLI,Çapraz Bantlı,,TANCA
CAPRAZ BANTLI SLOGANLI,Çapraz Bantlı Sloganlı,,TANCA
CAPRAZ BANTLI TAS DETAYLI,Çapraz Bantlı Taş Detaylı,,TANCA
"CAPRAZ BANTLI,YILAN DESENLI",Çapraz Bantlı Yılan Desenli,,TANCA
CASUAL,Casual,,TANCA
CIFT BANT TASLI,Çift Bant Taşlı,,TANCA
CIFT BANT TOKALI,Çift Bant Tokalı,,TANCA
CIFT BANTLI,Çift Bantlı,,TANCA
CIFT YUZ,Çift Yüz,,TANCA
CIFTYUZ BASKILI,Çift Yüz Baskılı,,TANCA
CIRT DETAY,Çırt Detay,,TANCA
COK BANTLI,Çok Bantlı,,TANCA
DAMLA DERI,Damla Deri,,TANCA
DAMLA TAS DETAYLI,Damla Taş Detaylı,,TANCA
DELIK BASKILI,Delik Baskılı,,TANCA
DELIKLI,Delikli,,TANCA
DELIKLI NUBUK,Delikli Nubuk,,TANCA
DELIKLI SUET,Delikli Süzet,,TANCA
DENIZ KABUGU ISTIRIDYE,Deniz Kabuğu İstiridye,,TANCA
DERI ORGU NAZAR BONCUGU,Deri Örgü Nazar Boncuğu,,TANCA
DERI SUET DETAY,Deri Süet Detay,,TANCA
DIKIS DETAYLI,Dikis Detaylı,,TANCA
DOKUMA,DOKUMA,,TANCA
DUZ,Düz,,TANCA
DUZ/TOKA DETAYLI,Düz Toka Detaylı,,TANCA
ELASTIK DETAYLI,Elastik Detaylı,,TANCA
ESPARDIL,Espardil,,TANCA
FERMUAR DETAY,Fermuar Detay,,TANCA
FILE DETAY,File Detay,,TANCA
"FILE,NUBUK,DERI DETAYLI",File Nubuk Deri Detaylı,,TANCA
"FILE,SUET,METALIK",File Süet Metalik,,TANCA
"FILE,TAS DETAY",File Taş Detay,,TANCA
FILE/SIM,File Sim,,TANCA
FIYONK DETAY,Fiyonk Detay,,TANCA
FIYONK VE TAS DETAY,Fiyonk ve Taş Detay,,TANCA
GLITER,Gliter,,TANCA
GOROTEX,Gorotex,,TANCA
GUMUS DETAYLI,Gümüş Detaylı,,TANCA
HAYVAN FIGURLU,Hayvan Figürlü,,TANCA
HOLAGRAM VE GLITTER DETAYLI,Hologram Ve Gliter Detaylı,,TANCA
"HOLAGRAM,FILE,NUBUK",Hologram File Nubuk,,TANCA
HOLOGRAM DETAYLI,Hologram Detaylı,,TANCA
INCI DETAY,İnci Detay,,TANCA
ISIKLI AYK.,Işıklı Ayakkabı,,TANCA
KABARTMA DETAYLI,Kabartma Detaylı,,TANCA
KAPITONE ,Kapitone,,TANCA
KARNI YARIK,Karnı Yarık,,TANCA
KIRISIK YUZ,Kırışık Yüz,,TANCA
KUMAS DETAY,Kumaş Detay,,TANCA
KURDELA DETAYLI,Kurdela Detaylı,,TANCA
KURK DETAY,Kürk Detay,,TANCA
