Koli_KOD,Tanim,Beden_KOD,Tanim2,kgid,insUN,insDT,insApp,updUN,updDT,updApp
3,36- 41 = 2 2 4 4 2 2 0 0 0=16,ZN01,36- 41 = 2 2 4 4 2 2 0 0 0=16,751,yulya,2025-02-05 17:01:16.713000,KGShop,,,
A01,8 LI 1 2 2 2 1,ZN01,8 LI 1 2 2 2 1,1,,,,,,
A02,10 Lu,ZN01,,2,,,,,,
A020,34 - 2 35 - 2 36 - 1 37 - 238 -239 -240 -1412 42-2,ZN01,34 - 2 35 - 2 36 - 1 37 - 238 -239 -240 -1412 42-2,3,,,,,,
A021,36-1 37-2 38-2 39-2 40-1 412422,ZN01,361 372 382 392 401 41 2 42 2,4,,,,,,
A022,361 372 382 392 401 412 42 2,ZN01,362 372 382 392 401 412 412,5,,,,,,
A023,36 1 37 2 38 2 39 2 40 1 41 1 42 1 43 1,ZN01,36 1 37 2 38 2 39 2 40 1 41 1 42 1 43 1,6,,,,,,
A024,36 1 37 2 38 2 39 2 40  2 41 1 42 1 43 1,ZN01,36 1 37 2 38 2 39 2 40  2 41 1 42 1 43 1,7,,,,,,
A025,38 1 39 2 40 2 41 1 42 1 43 1,ZN01,38 1 39 2 40 2 41 1 42 1 43 1,8,,,,,,
A026,37 1 38 2 39 3 40 2,ZN01,37 1 38 2 39 3 40 2,9,,,,,,
A027,37 1 38 2 39 3 40 2 41 1 42 1,ZN01,37 1 38 2 39 3 40 2 41 1 42 1,10,,,,,,
A028,39 1 40 1 41 3 42 3,ZN01,39 1 40 1 41 3 42 3,11,,,,,,
A029,36 1 37 1 38 1 39 2 40 1 41 2,ZN01,36 1 37 1 38 1 39 2 40 1 41 2,12,,,,,,
A030,36 1 37 1 38 1 39 1 40 2 41 2 42 2,ZN01,36 1 37 1 38 1 39 1 40 2 41 2 42 2,13,,,,,,
A031,361 37 1 38 2 39 2 40 241 2,ZN01,361 37 1 38 2 39 2 40 241 2,14,,,,,,
A032,36 1 37 2 38 2 39 2 40 2 41 2 421,ZN01,36 1 37 2 38 2 39 2 40 2 41 2 421,15,,,,,,
A033,36 1 37 1 38 2 39 2 40 2,ZN01,36 1 37 1 38 2 39 2 40 2,16,,,,,,
A034,40 2 41 3 42 3,ZN01,40 2 41 3 42 3,17,,,,,,
A035,362 37 2 38 2 392 402 41 2 42 2,ZN01,362 37 2 38 2 392 402 41 2 42 2,18,,,,,,
A036,37 1 38 1 39 2 40 2 41 2 42 2,ZN01,37 1 38 1 39 2 40 2 41 2 42 2,19,,,,,,
A037,36 1 37 2 38 2 39 2 402 41 1,ZN01,36 1 37 2 38 2 39 2 402 41 1,20,,,,,,
A038,34 1 351 361 372 38 2 392 401,ZN01,34 1 351 361 372 38 2 392 401,21,,,,,,
A039,34 1 351 361 372 38 2 3 92 401,ZN01,34 1 351 361 372 38 2 3 92 401,22,,,,,,
A040,34 1 351 361 372 38 2 392 401,ZN01,34 1 351 361 372 38 2 392 401,23,,,,,,
A041,361 381 391 63854,ZN01,361 381 391 63854,24,,,,,,
A042,381 39 132 1,ZN01,381 39 132 1,25,,,,,,
A043,381 39 132 1,ZN01,381 39 132 1,26,,,,,,
A044,381 39 132 1,ZN01,381 39 132 1,27,,,,,,
A045,362 372 382 392 402 41 2 42 2,ZN01,362 372 382 392 402 41 2 42 2,28,,,,,,
A046,362 372 382 392 402 41 2 42 2,ZN01,362 372 382 392 402 41 2 42 2,29,,,,,,
A047,362 372 382 392 402 41 2 42 2,ZN01,362 372 382 392 402 41 2 42 2,30,,,,,,
A048,362 372 382 392 402 41 2 42 2,ZN01,362 372 382 392 402 41 2 42 2,31,,,,,,
A049,362 372 382 392 402 41 2 42 2,ZN01,362 372 382 392 402 41 2 42 2,32,,,,,,
A050,362 372 382 392 402 41 2 42 2,ZN01,362 372 382 392 402 41 2 42 2,33,,,,,,
A051,365 34 23 36 85-------------,ZN01,365 34 23 36 85-----------,34,,,,,,
A052,365 34 23 36 85-----------,ZN01,365 34 23 36 85-----------,35,,,,,,
A053,365 34 23 36 85-----------,ZN01,365 34 23 36 85-----------,36,,,,,,
A054,365 34 23 36 85-----------,ZN01,365 34 23 36 85-----------,37,,,,,,
A055,35 1 36 1 372 382 391 401,ZN01,35 1 36 1 372 382 391 401,38,,,,,,
A056,35 1 36 1 372 382 391 401,ZN01,35 1 36 1 372 382 391 401,39,,,,,,
A057,35 1 36 1 372 382 391 401,ZN01,35 1 36 1 372 382 391 401,40,,,,,,
A058,35 1 36 1 372 382 391 401,ZN01,35 1 36 1 372 382 391 401,41,,,,,,
A059,35 1 36 1 372 382 391 401,ZN01,35 1 36 1 372 382 391 401,42,,,,,,
A060,35 1 36 1 372 382 391 401,ZN01,35 1 36 1 372 382 391 401,43,,,,,,
A061,341 351 361 371 382 392 402 411 421,ZN01,341 351 361 371 382 392 402 411 421,44,,,,,,
A062,341 351 361 371 382 392 402 411 421,ZN01,341 351 361 371 382 392 402 411 421,45,,,,,,
A063,36 - 41 =1 1 2 2 1 1 =8,ZN01,36 - 41 =1 1 2 2 1 1 =8,46,,,,yulya,2025-01-14 12:02:12.003000,KGShop
A064,341 351 361 371 382 392 402 411 421,ZN01,341 351 361 371 382 392 402 411 421,47,,,,,,
A065,341 351 361 371 382 392 402 411 421,ZN01,341 351 361 371 382 392 402 411 421,48,,,,,,
A066,--------------------,ZN01,-------------------,49,,,,,,
A067,-------------------,ZN01,-----------------------,50,,,,,,
A068,----------,ZN01,----------,51,,,,,,
A069,---,ZN01,----,52,,,,,,
A070,----,ZN01,---,53,,,,,,
A071,-----,ZN01,-----,54,,,,,,
A072,----------------,ZN01,----------------,55,,,,,,
A073,---,ZN01,----,56,,,,,,
A074,-----,ZN01,---,57,,,,,,
A075,---------------------,ZN01,------------------------,58,,,,,,
A076,--,ZN01,--,59,,,,,,
A077,1213121,ZN01,,60,,,,,,
A078,-----,ZN01,-----,61,,,,,,
A079,-------------------------------,ZN01,------------------------------,62,,,,,,
A080,---------------,ZN01,---------------,63,,,,,,
A081,--------------------,ZN01,---------------------,64,,,,,,
A082,36---------,ZN01,36-----------,65,,,,,,
A083,----------------,ZN01,--------------------,66,,,,,,
A084,----,ZN01,----,67,,,,,,
A085,----,ZN01,----,68,,,,,,
A086,----------------------,ZN01,----------------------,69,,,,,,
A087,42--------------,ZN01,42----------------,70,,,,,,
A088,---------------,ZN01,--------------,71,,,,,,
A089,--------,ZN01,-------------,72,,,,,,
A090,------------,ZN01,-------------,73,,,,,,
A091,------,ZN01,------------,74,,,,,,
A092,-------------,ZN01,------------,75,,,,,,
A093,--------------,ZN01,------,76,,,,,,
A094,-------------,ZN01,----------,77,,,,,,
A095,----------,ZN01,---------,78,,,,,,
A096,-------,ZN01,--------,79,,,,,,
A097,362 37 3,ZN01,362 37 3,80,,,,,,
A098,------,ZN01,------,81,,,,,,
A099,--,ZN01,--,82,,,,,,
A100,---,ZN01,---,83,,,,,,
A101,12345,ZN01,12345,84,,,,,,
A102,123456,ZN01,123456,85,,,,,,
A103,0000,ZN01,0000,86,,,,,,
A104,-------------------,ZN01,---------------------,87,,,,,,
A105,-----+,ZN01,------+,88,,,,,,
A106,------------------------------------,ZN01,------------------------------------,89,,,,,,
A107,-,ZN01,-,90,,,,,,
A108,1258,ZN01,1258,91,,,,,,
A109,-------,ZN01,------,92,,,,,,
A110,-----------,ZN01,------------,93,,,,,,
A111,---------,ZN01,--------,94,,,,,,
A112,----------------,ZN01,------------,95,,,,,,
A113,-----------,ZN01,------------,96,,,,,,
A114,-----------,ZN01,-----------,97,,,,,,
A115,--------,ZN01,------------,98,,,,,,
A116,----------,ZN01,-----------,99,,,,,,
A117,,ZN01,,100,,,,,,
A118,,ZN01,,101,,,,,,
A119,------------,ZN01,----------,102,,,,,,
A120,-------,ZN01,---------,103,,,,,,
A121,,ZN01,,104,,,,,,
A122,-----------,ZN01,-----------,105,,,,,,
A123,----------,ZN01,-----------,106,,,,,,
A124,----------,ZN01,-------,107,,,,,,
A125,---------,ZN01,---------,108,,,,,,
A126,--------,ZN01,-------,109,,,,,,
A127,-------,ZN01,------------,110,,,,,,
A128,----------,ZN01,---------,111,,,,,,
A129,-----,ZN01,-------,112,,,,,,
A130,--------------,ZN01,-----------,113,,,,,,
A131,---------,ZN01,----------,114,,,,,,
A132,--------,ZN01,------------,115,,,,,,
A133,---------,ZN01,------------,116,,,,,,
A134,--------,ZN01,------------,117,,,,,,
A135,----------,ZN01,-------------,118,,,,,,
A136,,ZN01,,119,,,,,,
A137,,ZN01,,120,,,,,,
A138,----------,ZN01,---------,121,,,,,,
A139,-------------,ZN01,-----------,122,,,,,,
A140,------,ZN01,------------,123,,,,,,
A141,----------,ZN01,---------,124,,,,,,
A142,------,ZN01,--------,125,,,,,,
A143,----------,ZN01,---------,126,,,,,,
A144,-----------,ZN01,------------,127,,,,,,
A145,-----------,ZN01,----------,128,,,,,,
A146,----------,ZN01,---------,129,,,,,,
A147,--------,ZN01,--------,130,,,,,,
A148,,ZN01,,131,,,,,,
A149,-----------,ZN01,------------,132,,,,,,
A150,-------------,ZN01,-------,133,,,,,,
A151,-------------,ZN01,------------,134,,,,,,
A152,-------,ZN01,------------,135,,,,,,
A153,-----------,ZN01,-------------,136,,,,,,
A154,--------,ZN01,---------,137,,,,,,
A155,,ZN01,,138,,,,,,
A156,------------,ZN01,------------,139,,,,,,
A157,---------------,ZN01,---------,140,,,,,,
A158,------------,ZN01,-----------,141,,,,,,
A159,----------,ZN01,-----------,142,,,,,,
A160,-------------,ZN01,---------,143,,,,,,
A161,----------,ZN01,----------,144,,,,,,
A162,-------------,ZN01,------------,145,,,,,,
A163,---------,ZN01,--------------,146,,,,,,
A164,-------------,ZN01,--------,147,,,,,,
A165,-----------,ZN01,--------------,148,,,,,,
A166,--------------,ZN01,------------,149,,,,,,
A167,------------,ZN01,--------------,150,,,,,,
A168,2,ZN01,,151,,,,,,
A169,--------,ZN01,------------,152,,,,,,
A170,-------,ZN01,-------,153,,,,,,
A171,,ZN01,,154,,,,,,
A172,,ZN01,,155,,,,,,
A173,,ZN01,,156,,,,,,
A174,--------------,ZN01,-----------,157,,,,,,
A175,--------,ZN01,--------,158,,,,,,
A176,------,ZN01,------,159,,,,,,
A177,,ZN01,,160,,,,,,
A178,---------,ZN01,---------,161,,,,,,
A179,----------,ZN01,--------,162,,,,,,
A180,--------,ZN01,--------,163,,,,,,
A181,--------,ZN01,-----,164,,,,,,
A182,------------,ZN01,---------,165,,,,,,
A183,,ZN01,,166,,,,,,
A184,--------,ZN01,--------------,167,,,,,,
A185,--------------,ZN01,-------------,168,,,,,,
A186,---------------,ZN01,--------------,169,,,,,,
A187,-----,ZN01,-------,170,,,,,,
A188,------------,ZN01,-------------,171,,,,,,
A189,-------,ZN01,--------,172,,,,,,
A190,-----,ZN01,----------,173,,,,,,
A191,------,ZN01,--------,174,,,,,,
A192,------,ZN01,--------,175,,,,,,
A193,-------,ZN01,-------------,176,,,,,,
A194,---------------,ZN01,-------,177,,,,,,
A195,,ZN01,,178,,,,,,
A196,----------,ZN01,-----------,179,,,,,,
A197,----------,ZN01,-----------,180,,,,,,
A198,-----------,ZN01,---------,181,,,,,,
A199,,ZN01,,182,,,,,,
A200,----,ZN01,------,183,,,,,,
A201,---------,ZN01,-------------,184,,,,,,
A202,-----------,ZN01,------------,185,,,,,,
A203,,ZN01,,186,,,,,,
A204,--------------,ZN01,-------,187,,,,,,
A205,---------,ZN01,---------,188,,,,,,
A206,---------,ZN01,------------,189,,,,,,
A207,----------------------,ZN01,--------,190,,,,,,
A208,----------,ZN01,-------,191,,,,,,
A209,---------------------,ZN01,----------,192,,,,,,
A210,-------,ZN01,--------,193,,,,,,
A211,--------,ZN01,--------------,194,,,,,,
A212,-----,ZN01,------------,195,,,,,,
A213,----------,ZN01,-------------,196,,,,,,
A214,-----,ZN01,-----------,197,,,,,,
A215,--------------,ZN01,-----------,198,,,,,,
A216,------------,ZN01,----------,199,,,,,,
A217,----,ZN01,-------,200,,,,,,
A218,-------------,ZN01,---------,201,,,,,,
A219,-----,ZN01,----------,202,,,,,,
A220,--------------,ZN01,------------,203,,,,,,
A221,------,ZN01,--------,204,,,,,,
A222,-----,ZN01,-------,205,,,,,,
A223,----------,ZN01,-----------,206,,,,,,
A224,----,ZN01,-----,207,,,,,,
A225,------,ZN01,---------,208,,,,,,
A226,--------,ZN01,------------,209,,,,,,
A227,-------,ZN01,----------,210,,,,,,
A228,--------,ZN01,----------,211,,,,,,
A229,------------,ZN01,----------,212,,,,,,
A230,-------------,ZN01,----------,213,,,,,,
A231,------------,ZN01,---------,214,,,,,,
A232,------------,ZN01,------------,215,,,,,,
A233,------------,ZN01,----------,216,,,,,,
A234,--------,ZN01,------------,217,,,,,,
A235,------------,ZN01,----------,218,,,,,,
A236,------------,ZN01,--------,219,,,,,,
A237,-------------,ZN01,----------,220,,,,,,
A238,--------------,ZN01,------------,221,,,,,,
A239,------------,ZN01,--------,222,,,,,,
A240,---------------,ZN01,------------,223,,,,,,
A241,---------,ZN01,------------,224,,,,,,
A242,-------,ZN01,------------,225,,,,,,
A243,----------,ZN01,-------,226,,,,,,
A244,--------,ZN01,------------,227,,,,,,
A245,-----------,ZN01,-------------,228,,,,,,
A246,-------,ZN01,--------,229,,,,,,
A247,--------,ZN01,------------,230,,,,,,
A248,-----------,ZN01,----------,231,,,,,,
A249,--------------,ZN01,-----------------,232,,,,,,
A250,--------,ZN01,-------------,233,,,,,,
A251,--------,ZN01,----------,234,,,,,,
A252,---------,ZN01,-------,235,,,,,,
A253,------------,ZN01,-------------,236,,,,,,
A254,----------,ZN01,-------------,237,,,,,,
A255,-----------------,ZN01,-------------,238,,,,,,
A256,---------,ZN01,--------,239,,,,,,
A257,----------------------,ZN01,-------------,240,,,,,,
A258,------------,ZN01,-------------,241,,,,,,
A259,---------,ZN01,------------,242,,,,,,
A260,------------,ZN01,-------------,243,,,,,,
A261,-------,ZN01,--------------,244,,,,,,
A262,------------,ZN01,----------,245,,,,,,
A263,-------------,ZN01,-------------,246,,,,,,
A264,----,ZN01,--------,247,,,,,,
A265,-----------------------------,ZN01,-------------,248,,,,,,
A266,------,ZN01,----------,249,,,,,,
A267,--------,ZN01,-----------,250,,,,,,
A268,------,ZN01,-------,251,,,,,,
A269,-----,ZN01,----------,252,,,,,,
A270,-----------,ZN01,---------,253,,,,,,
A271,------,ZN01,--------,254,,,,,,
A272,---------------,ZN01,----------------,255,,,,,,
A273,-------,ZN01,------------,256,,,,,,
A274,--------------------------,ZN01,-------------------------,257,,,,,,
A275,------------------,ZN01,-----------------,258,,,,,,
A276,----------------,ZN01,-------------------,259,,,,,,
A277,---------------,ZN01,---------------,260,,,,,,
A278,--,ZN01,--,261,,,,,,
A279,--------------,ZN01,---------------,262,,,,,,
A280,--------,ZN01,---------,263,,,,,,
A281,-----,ZN01,--------,264,,,,,,
A282,----------,ZN01,------------,265,,,,,,
A283,-------,ZN01,------------,266,,,,,,
A284,----------,ZN01,---------,267,,,,,,
A285,-----,ZN01,-----------,268,,,,,,
A286,-------,ZN01,---------,269,,,,,,
A287,------,ZN01,--------,270,,,,,,
A288,------,ZN01,---------,271,,,,,,
A289,------------,ZN01,-------,272,,,,,,
A290,----------,ZN01,--------------,273,,,,,,
A291,---------,ZN01,-----------,274,,,,,,
A292,-----------,ZN01,--------,275,,,,,,
A293,--------,ZN01,---------,276,,,,,,
