Bolum,FisTur,FisTip,HareketNo,EvrakNo,EvrakNo2,DeleteUN,DeleteDT,EvrakNo3,FisTar
MK,,,0,M101010541,,SEMRA,2023-08-15 14:10:02.837000,,2007-08-28 00:00:00
BHK,,,0,01,464,BEKIR,2025-04-23 16:03:14.180000,71035895,2007-12-31 17:48:01.857000
BSK,,,0,02,62,BEKIR,2025-04-15 17:44:47.387000,,2007-12-31 17:54:42.060000
BHK,,,0,04,189,BEKIR,2025-04-23 16:16:06.850000,65611-9,2008-01-03 19:48:10.890000
BSK,,,0,06,1031,BEKIR,2025-04-23 15:59:16.340000,,2008-01-03 19:54:45.263000
BHK,,,0,06,1031,BEKIR,2025-04-23 15:59:08.357000,325099,2008-01-03 19:55:00.670000
BHK,,,0,02,62,BEKIR,2025-04-15 17:44:34.303000,62/9005252,2010-05-19 21:43:42.090000
MK,,,0,M1010859,,SEMRA,2024-05-08 16:28:11.157000,,2012-07-23 00:00:00
BHK,,,0,06,1031,BEKIR,2025-04-23 15:59:05.110000,201105,2012-11-26 11:48:01.613000
BHK,,,0,02,62,BEKIR,2025-04-15 17:43:56.793000,1227/6298638,2014-01-06 19:20:20.330000
BHK,,,0,02,62,BEKIR,2025-04-15 17:44:00.640000,1227/6298961,2014-01-30 17:40:05.010000
BSK,,,0,02,1227,BEKIR,2025-04-23 16:06:59.720000,,2014-02-01 13:47:52.403000
BHK,,,0,02,1227,BEKIR,2025-04-15 17:45:12.630000,1227/6299499,2014-02-01 13:50:45.417000
BHK,,,0,02,1227,BEKIR,2025-04-15 17:45:01.883000,1227/5336,2014-02-01 13:51:02.670000
BHK,,,0,02,1227,BEKIR,2025-04-15 17:45:07.163000,1227/ 5252,2014-02-01 13:51:41.337000
Si,N,S,16624,,,OGUZHAN,2024-11-01 12:05:21.010000,,2014-04-12 22:13:34.997000
BHK,,,0,02,1227,BEKIR,2025-04-23 16:06:51.397000,1227/9089172,2016-10-24 10:31:08.157000
BSK,,,0,06,1259,BEKIR,2025-04-23 15:58:32.050000,,2017-03-30 10:48:58.420000
BHK,,,0,06,1259,BEKIR,2025-04-23 15:54:33.313000,22852,2017-03-30 10:49:38.007000
