FisNo,DovKod,CDovKod,carpan
2,US,TL,7.36
57,US,TL,7.86468905926
61,EU,US,1.217
79,EU,US,1.2125
105,US,TL,7.34
203,US,TL,300.0
207,US,TL,7.4
369,US,TL,7.02
392,US,TL,7.00408997955
395,US,TL,7.004089979555
444,EU,US,1.212
515,US,TL,6.97
570,EU,US,1.21
613,EU,US,1.18387096774
614,US,TL,7.69
683,US,TL,7.5
698,US,TL,7.4446
716,EU,US,1.191
726,US,TL,7.5
782,US,TL,7.2
833,EU,US,1.178431
836,US,TL,7.5
886,EU,US,1.17666666
887,US,TL,8.0
889,US,TL,8.0
963,US,TL,8.14
994,EU,US,1.183333
1012,US,TL,8.01
1028,US,TL,8.15
1031,EU,US,1.19
1231,US,TL,8.05
1244,EU,US,1.2053
1289,US,TL,8.3
1292,US,TL,8.15
1302,US,TL,8.2
1333,US,TL,8.29
1337,US,TL,8.25
1429,US,TL,7.5
1445,US,TL,8.35
1598,US,TL,8.54
1599,EU,US,1.22
1607,US,TL,8.0
1608,US,TL,8.0
1609,US,TL,8.0
1621,EU,US,1.21
1623,US,TL,8.5
1625,EU,US,1.21
1655,EU,US,1.2
1688,US,TL,8.45
1701,EU,US,1.215
1703,EU,US,1.22
1710,US,TL,8.38
1743,EU,US,1.213592233
1746,US,TL,8.378
1747,US,TL,8.378
1754,US,TL,8.6
1759,US,TL,8.43
1763,US,TL,8.62
1790,EU,TL,10.36
1790,EU,US,1.2
1803,US,TL,8.0
1836,EU,US,1.1811023622
1850,EU,US,1.196
1851,EU,US,1.195
1852,EU,US,1.194
1853,EU,US,1.1954
1854,EU,TL,10.34
1854,EU,US,1.196
1857,EU,US,1.19
1872,US,TL,8.69206814434
1880,US,TL,8.66701553245
1893,EU,US,1.183
1902,US,TL,8.7
1972,EU,US,1.185
1975,US,TL,8.6
1988,US,TL,8.58107263407
1999,EU,EU,1.18
2010,EU,US,1.18142857142
2011,EU,US,1.18
2050,US,TL,8.6
2060,US,TL,8.41
2144,EU,US,1.18
2151,EU,TL,10.1
2165,US,TL,8.5
2192,EU,US,1.177678
2192,US,TL,8.0
2253,US,TL,8.5
2328,EU,US,1.18
2334,US,TL,8.35
2337,US,TL,8.28
2350,EU,US,1.1917
2368,EU,US,1.1857797678
2421,EU,US,1.185
2471,US,TL,8.4
2496,US,TL,8.6
2552,EU,US,1.17
2582,US,TL,8.83333
2644,EU,US,1.15
2645,EU,US,1.16
2650,EU,US,1.16
2720,US,TL,8.8
2733,EU,TL,10.3712
2748,EU,US,1.1578313253
2766,US,TL,8.85
2818,US,TL,9.0
2821,US,TL,8.4631
2822,EU,US,1.2
2825,US,TL,8.5
2900,US,TL,9.3
2903,US,TL,9.3
3002,US,TL,9.7
3079,EU,US,1.15875
3084,EU,US,1.1666
3090,US,TL,9.5
3202,US,TL,9.6
4417,US,TL,10.0
4426,EU,US,13.69
4494,US,TL,9.14
4495,US,TL,9.5
4496,US,TL,11.0
4502,EU,US,1.15
4512,US,TL,13.35
4584,EU,US,1.126
4858,US,TL,10.4276923076
4907,EU,US,1.14
4915,EU,US,1.145
4916,EU,US,1.1215
4918,US,TL,12.0
4919,US,TL,13.0
4921,US,TL,13.11
4928,EU,US,1.1695
5050,US,TL,13.75
5064,US,TL,13.72
5150,EU,US,1.13
5172,EU,US,1.1406
5207,US,TL,13.4
5242,US,TL,13.33
5267,EU,US,1.14
5268,EU,US,1.138
5331,EU,US,1.124137931
5360,EU,US,1.1272
5379,EU,TL,15.55
5401,US,TL,13.11
5481,US,TL,14.21
5641,EU,US,1.11
5646,US,TL,13.0
5702,US,TL,12.5
5705,US,TL,13.0
5754,US,TL,13.5
5779,EU,US,1.09
5796,EU,TL,16.33333
5858,US,TL,14.70137825
6057,EU,US,1.087
6127,US,TL,14.65
6220,EU,US,1.08
6357,US,TL,14.65
6360,EU,US,1.05
6377,US,TL,14.86
6389,EU,US,1.0526
6402,US,TL,15.2866
6411,EU,US,1.05
6413,US,TL,14.65
6436,EU,US,1.041
6485,EU,US,1.04
6494,US,TL,15.55
6541,EU,US,1.0603
6581,US,TL,15.2866
6584,EU,US,1.07168
6586,EU,US,1.072
6621,EU,US,1.099
6645,EU,US,1.06
6661,EU,US,1.075
6735,EU,US,1.0571
6743,EU,US,1.046
6749,US,TL,16.66
6835,EU,US,1.05
6879,US,TL,16.3384
6914,US,TL,16.662
6935,EU,US,1.045
6936,EU,US,1.05
7081,EU,US,1.02213438735
7098,EU,US,1.022
7099,EU,US,1.0233
7110,US,TL,17.95
7121,US,TL,14.66
7122,US,TL,14.68
7123,US,TL,14.71
7124,US,TL,14.72
7125,US,TL,14.56
7126,US,TL,14.97
7127,US,TL,15.36
7128,US,TL,15.76
7129,US,TL,16.08
7130,US,TL,16.39
7131,US,TL,16.36
7132,US,TL,17.23
7133,US,TL,17.23
7134,US,TL,16.71
7135,US,TL,17.56
7136,US,TL,17.56
7137,US,TL,17.34
7138,US,TL,16.62
7154,US,TL,17.56
7155,US,TL,17.87
7198,EU,US,1.024
7202,US,TL,17.9310344827
7222,US,TL,18.2
7242,EU,US,1.01
7244,EU,US,1.024
7247,US,TL,18.25
7296,EU,US,1.03
7298,EU,US,1.03108
7338,US,TL,18.0
7398,EU,US,1.01
7460,EU,US,0.992727
7515,US,TL,18.1775
7543,EU,US,1.001
7599,EU,TL,18.0
7636,EU,US,0.99
7646,EU,US,1.006
7657,EU,US,1.08
7660,EU,US,1.01003
7736,US,TL,18.15
7737,US,TL,8.3
7798,US,TL,15.0
7800,US,TL,15.0
7842,EU,US,0.984
7848,US,TL,18.4
7893,EU,US,0.96666
7902,US,TL,18.19
7930,US,TL,18.5119
7940,EU,US,0.976774
8058,EU,US,0.98512
8060,EU,US,0.99
8081,EU,US,0.9785123
8127,EU,US,0.9798
8150,US,TL,18.6202
8157,EU,US,0.97024793388
8166,US,TL,17.94
8167,US,TL,17.98
8168,US,TL,17.94
8169,US,TL,18.1466
8170,US,TL,18.17
8171,US,TL,18.2
8172,US,TL,18.26
8173,US,TL,18.4
8174,US,TL,18.4
8175,US,TL,18.4
8176,US,TL,18.4
8195,US,TL,18.56
8214,US,TL,18.58
8245,US,TL,13.4331
8264,US,TL,18.6209
8297,EU,US,0.9741
8316,US,TL,18.59
8432,US,TL,18.65
8497,EU,US,0.99
8528,EU,US,0.9915
8591,US,TL,18.5
8688,US,TL,18.52
8694,EU,US,1.015
8753,US,TL,18.6479
8842,US,TL,18.4
8844,US,TL,18.4
8845,US,TL,18.55
8846,US,TL,18.5
8847,US,TL,18.5
8848,US,TL,18.4
8849,US,TL,18.5
8850,US,TL,18.5
8851,US,TL,18.5
8853,US,TL,18.5
8867,US,TL,18.6314
8996,US,TL,18.6
8999,US,TL,18.66
9019,US,TL,18.7
9023,US,TL,8.3
9057,US,TL,18.7
9067,US,TL,18.65
9068,US,TL,18.70324
9157,US,TL,18.8
9179,EU,US,1.1695
9184,EU,US,1.063181
9199,US,TL,18.75
9215,US,TL,18.5
9285,US,TL,18.7812
9287,US,TL,18.88
9302,EU,US,1.0764262648
9310,US,TL,18.7912
9337,US,TL,19.0
9366,EU,US,1.08
9373,US,TL,18.5
9385,EU,US,1.083
9419,US,TL,18.5
9435,US,TL,18.5
9436,US,TL,18.5
9437,US,TL,18.5
9445,US,TL,18.5
9481,EU,US,1.0838
9482,EU,US,1.0805
9536,US,TL,19.1
9560,EU,US,1.07234
9609,EU,US,1.07
9609,US,TL,18.9
9613,US,TL,19.0
9617,EU,US,1.06166
9673,EU,US,1.06
9679,EU,TL,20.0
9726,EU,US,1.05894
9797,US,TL,18.8
9799,US,TL,18.8
9802,US,TL,18.8
9832,EU,US,1.05744
9874,US,TL,18.9514
9885,EU,US,1.06274
10009,EU,US,1.071666
10041,US,TL,18.7
10074,US,TL,20.2
10126,EU,TL,20.1
10166,EU,US,1.084
10173,EU,US,1.0791666
10192,EU,US,1.09
10280,EU,US,1.05
10296,EU,US,1.03448
10304,US,TL,18.5
10380,EU,US,1.08625
10420,US,TL,19.18
10443,US,TL,19.43
10461,EU,US,1.1
10517,EU,US,1.05
10671,US,TL,20.0
10702,US,TL,19.5
10744,US,TL,20.3
10840,EU,US,1.093
10841,EU,US,1.093
10842,EU,US,1.093846
11062,US,TL,19.2
11127,US,TL,18.0
11146,US,TL,20.0
11191,EU,US,1.0733
11303,EU,US,1.08
11413,EU,US,1.078
11512,US,TL,23.8095
11534,EU,US,1.095
11641,EU,US,1.0888
11642,EU,US,1.081666
11643,EU,US,1.08533
11644,EU,US,1.08666
11677,US,TL,23.0
11699,EU,US,1.0833
11738,EU,US,1.1
11739,EU,US,1.09
11751,US,TL,26.0
11752,EU,US,1.1
11814,EU,US,1.0979
11815,EU,US,1.11
11834,EU,US,1.122
11835,EU,US,1.123
11921,EU,US,1.12
11928,EU,US,1.113
11930,EU,US,1.114
12041,US,TL,25.0
12043,US,TL,25.0
12052,US,TL,27.0
12053,US,TL,26.95
12054,US,TL,26.97
12058,US,TL,26.94
12086,EU,US,1.09
12138,EU,US,1.0952
12231,EU,US,1.1
12397,US,TL,25.0
12398,US,TL,25.0
12404,US,TL,25.0
12405,TL,TL,25.0
12406,US,TL,23.0
12485,EU,US,1.0898
12489,US,TL,26.0
12505,EU,US,1.089
12538,US,TL,21.0
12544,EU,US,1.072
12585,EU,US,1.07
12588,EU,US,1.06
12589,US,TL,40.0
12598,EU,TL,28.85
12599,EU,US,1.06
12628,EU,US,1.06
12631,US,TL,26.8
12633,EU,US,1.0723
12673,US,TL,25.0
12681,EU,US,1.07
12731,EU,TL,29.0
12751,EU,US,1.0628
12954,EU,US,1.06
12954,US,TL,30.0
13010,EU,US,1.055
13034,US,TL,25.0
13035,US,TL,23.0
13036,US,TL,24.0
13037,US,TL,25.0
13038,US,TL,24.0
13071,EU,US,1.06
13072,EU,US,1.055
13073,EU,US,1.0562
13074,EU,US,1.053
13075,EU,US,1.06
13130,EU,TL,29.41
13131,EU,US,1.0523
13166,EU,US,1.0533
13213,EU,US,1.055263
13214,EU,US,1.06
13260,EU,US,1.0585
13332,EU,US,1.0518
13333,EU,US,1.051764
13337,EU,US,1.058
13338,EU,US,1.06
13382,EU,US,1.05
13412,US,TL,26.9
13437,EU,US,1.068
13484,EU,US,1.06503
13526,EU,US,1.0555
13540,EU,US,1.07
13572,EU,US,1.0722
13633,EU,EU,1.09
13634,EU,US,1.08913
13641,US,TL,28.57
13656,EU,US,1.07
13682,EU,US,1.08
13696,US,TL,28.33
13709,US,TL,26.0
13710,US,TL,27.0
13735,EU,US,1.095
13738,EU,US,1.0917
13766,US,TL,28.85
13805,EU,US,1.095
13806,EU,US,1.09
13807,EU,US,1.0909
13808,EU,US,1.092857
13827,EU,US,1.0823
13886,EU,TL,31.5
13886,US,TL,28.8
13894,EU,US,1.08
13945,EU,US,1.08108108
13961,EU,US,1.08
13963,EU,US,1.1
14029,US,TL,28.9
14030,US,TL,29.0
14039,EU,US,1.1029
14071,US,TL,30.0
14091,US,TL,29.1
14258,US,TL,29.2
14269,EU,US,1.1
14270,US,TL,30.0
14293,EU,US,1.09549
14294,US,TL,30.0
14335,EU,US,1.085
14338,EU,US,1.1
14368,US,TL,30.3
14481,US,TL,30.303
14498,EU,US,1.06842
14562,EU,US,1.09
14624,EU,US,1.08
14650,US,TL,30.6
14741,US,TL,30.5
14748,US,TL,31.226
14749,US,TL,29.0
14751,US,TL,29.5
14752,US,TL,29.5
14753,US,TL,29.5
14754,US,TL,29.5
14810,US,TL,31.25
14825,US,TL,30.0
14884,EU,TL,35.25
14932,US,TL,29.4382
14958,US,TL,30.0
15166,US,TL,31.534722
15168,US,TL,32.0
15188,EU,US,1.079754
15208,US,TL,32.0
15280,EU,US,1.1
15307,EU,US,1.075
15309,EU,US,1.08
15316,EU,US,1.075
15324,EU,TL,34.5
15328,EU,TL,34.4827586206
15427,EU,US,1.09
15443,US,TL,29.45
15444,US,TL,32.0
15456,EU,US,1.0777
15461,EU,US,1.072
15475,US,TL,32.771
15499,EU,TL,34.75
15501,EU,US,1.076
15534,US,TL,32.0
15552,EU,US,1.078
15560,US,TL,32.0
15701,US,TL,32.0
15702,US,TL,32.0
15703,US,TL,32.0
15704,US,TL,31.0
15705,US,TL,31.0
15758,EU,US,1.08
15759,EU,US,1.09
15760,EU,US,1.08
15798,EU,US,1.07
15801,EU,US,1.0915
15801,US,TL,32.0
15875,EU,TL,34.5
15890,EU,TL,35.0
15896,EU,US,1.087
15943,US,TL,32.0
15948,US,TL,32.0
15951,US,TL,32.35
15970,EU,US,1.0714
15974,US,TL,32.2
16027,US,TL,32.32316
16048,EU,US,1.07185
16050,US,TL,32.75
16071,EU,US,1.07
16113,EU,US,1.085
16181,EU,US,1.09
16182,EU,US,1.075
16279,EU,US,1.0879
16281,US,TL,33.0
16295,EU,US,1.08
16316,US,TL,32.7
16363,EU,US,1.08501440922
16403,EU,US,1.0796
16480,EU,US,1.09
16488,US,TL,33.5
16620,US,TL,33.92
16639,EU,US,1.11
16690,US,TL,34.0
16728,EU,TL,37.5
16739,EU,US,1.11
16740,EU,US,1.105
16743,US,TL,34.0
16800,US,TL,33.95
16820,US,TL,33.68
16824,US,TL,34.0
16828,EU,US,1.11
16879,US,TL,33.5
16885,EU,US,1.1
16886,EU,TL,38.0
16886,EU,US,1.11
16913,EU,US,1.116
16964,EU,US,1.1188
17023,US,TL,34.18
17035,EU,US,1.115
17150,US,TL,33.5
17153,US,TL,33.5
17246,EU,TL,37.0
17248,US,TL,34.0
17264,US,TL,34.0
17269,US,TL,34.0
17273,US,TL,34.0
17337,EU,US,1.1
17348,EU,US,1.086
17348,US,TL,37.0
17354,US,TL,34.0
17356,EU,TL,37.0
17356,EU,US,1.08
17359,US,TL,33.8
17450,EU,US,1.08
17518,EU,TL,37.33
17518,US,TL,34.28
17570,US,TL,33.5
17592,EU,US,1.078
17595,EU,US,1.0642857
17634,US,TL,34.3
17642,US,TL,34.3053173241
17683,US,TL,34.3
17739,EU,US,1.044
17791,EU,US,1.03
17792,EU,US,1.0542
17794,US,EU,34.75
17833,US,TL,34.8
17853,EU,US,1.05
17923,EU,US,1.05
17925,US,TL,34.4
17940,EU,US,1.05
17972,US,TL,34.7
17976,US,TL,35.0
18003,US,TL,35.0
18025,US,TL,34.5
18057,US,TL,35.0
18106,US,TL,35.25
18141,US,TL,35.0
18145,EU,US,1.02
18146,US,TL,35.3
18164,EU,US,1.02
18296,US,TL,35.3
18313,EU,US,1.0358276
18316,US,TL,33.0
18319,US,TL,35.0
18320,US,TL,35.0
18324,US,TL,35.3
18327,US,TL,35.5
18340,US,TL,35.6388
18366,EU,US,1.03
18403,EU,US,1.02
18461,US,TL,35.3
18473,EU,US,1.02
18484,EU,US,1.05
18522,EU,US,1.04
18685,EU,US,1.05
18692,US,TL,36.08
18735,EU,US,1.05
18765,EU,US,1.08
18779,EU,TL,40.0
18837,EU,US,1.09
18839,US,TL,36.5
18883,EU,US,1.1
18926,EU,US,1.09
18926,US,TL,35.0
18972,US,TL,36.8
18997,EU,US,1.08
18997,US,TL,38.0
19115,US,TL,38.1995
19132,US,TL,38.06
19268,EU,US,1.13333333
19333,US,TL,38.0
19361,EU,US,1.1
19361,US,TL,39.296875
19489,EU,TL,43.0
19489,US,TL,38.6
19490,US,TL,38.6
19508,EU,US,1.11
19511,EU,TL,43.0
19511,US,TL,38.6
19554,US,TL,38.0
19562,US,TL,38.76
19569,US,TL,38.5
19633,US,TL,38.8
19697,US,TL,39.0
