id,SKod,RKod,BedKod,Location,LotNo,Miktar,Birim,LastUpdate,kgid
11750,002- 100,16523,5,L001,030285,0.000000,CIFT,2025-04-09 15:32:56.203000,11750
11757,002- 100,16523,6,L001,030284,0.000000,CIFT,2025-04-09 17:30:43.893000,11757
11751,002- 100,16523,6,L001,030285,0.000000,CIFT,2025-04-09 15:32:56.203000,11751
11758,002- 100,16523,7,L001,030284,0.000000,CIFT,2025-04-09 17:30:43.893000,11758
11752,002- 100,16523,7,L001,030285,0.000000,CIFT,2025-04-09 15:32:56.203000,11752
11759,002- 100,16523,8,L001,030284,0.000000,CIFT,2025-04-09 17:30:43.893000,11759
11753,002- 100,16523,8,L001,030285,0.000000,CIFT,2025-04-09 15:32:56.203000,11753
11760,002- 100,16523,9,L001,030284,0.000000,CIFT,2025-04-09 17:30:43.893000,11760
11754,002- 100,16523,9,L001,030285,0.000000,CIFT,2025-04-09 15:32:56.203000,11754
11761,002- 100,16523,10,L001,030284,0.000000,CIFT,2025-04-09 17:30:43.893000,11761
11755,002- 100,16523,10,L001,030285,0.000000,CIFT,2025-04-09 15:32:56.203000,11755
11762,002- 100,16523,11,L001,030284,0.000000,CIFT,2025-04-09 17:30:43.893000,11762
11756,002- 100,16523,11,L001,030285,0.000000,CIFT,2025-04-09 15:32:56.203000,11756
11763,002- 100,16523,12,L001,030284,0.000000,CIFT,2025-04-09 17:30:43.893000,11763
11744,002- 100,16576,5,L001,030285,0.000000,CIFT,2025-04-09 15:32:56.203000,11744
11745,002- 100,16576,6,L001,030285,0.000000,CIFT,2025-04-09 15:32:56.203000,11745
11746,002- 100,16576,7,L001,030285,0.000000,CIFT,2025-04-09 15:32:56.203000,11746
11747,002- 100,16576,8,L001,030285,0.000000,CIFT,2025-04-09 15:32:56.203000,11747
11748,002- 100,16576,9,L001,030285,0.000000,CIFT,2025-04-09 15:32:56.203000,11748
11749,002- 100,16576,10,L001,030285,0.000000,CIFT,2025-04-09 15:32:56.203000,11749
11736,002- 100,17077,3,L001,030284,0.000000,CIFT,2025-04-09 17:30:43.893000,11736
11737,002- 100,17077,6,L001,030284,0.000000,CIFT,2025-04-09 17:30:43.893000,11737
11738,002- 100,17077,7,L001,030284,0.000000,CIFT,2025-04-09 17:30:43.893000,11738
11739,002- 100,17077,8,L001,030284,0.000000,CIFT,2025-04-09 17:30:43.893000,11739
11740,002- 100,17077,9,L001,030284,0.000000,CIFT,2025-04-09 17:30:43.893000,11740
11741,002- 100,17077,10,L001,030284,0.000000,CIFT,2025-04-09 17:30:43.893000,11741
11742,002- 100,17077,11,L001,030284,0.000000,CIFT,2025-04-09 17:30:43.893000,11742
11743,002- 100,17077,12,L001,030284,0.000000,CIFT,2025-04-09 17:30:43.893000,11743
7323,002-759,16523,4,L001,027823,0.000000,CIFT,2025-03-26 13:23:49.127000,7323
13399,002-759,16523,4,L001,030308,0.000000,CIFT,2025-04-28 12:16:21.910000,13399
7324,002-759,16523,5,L001,027823,0.000000,CIFT,2025-03-26 13:23:49.127000,7324
13400,002-759,16523,5,L001,030308,0.000000,CIFT,2025-04-28 12:16:21.910000,13400
7325,002-759,16523,6,L001,027823,0.000000,CIFT,2025-03-26 13:23:49.127000,7325
13401,002-759,16523,6,L001,030308,0.000000,CIFT,2025-04-28 12:16:21.910000,13401
7326,002-759,16523,7,L001,027823,0.000000,CIFT,2025-03-26 13:23:49.127000,7326
13402,002-759,16523,7,L001,030308,0.000000,CIFT,2025-04-28 12:16:21.910000,13402
7327,002-759,16523,8,L001,027823,0.000000,CIFT,2025-03-26 13:23:49.127000,7327
