ModulName,ModulParent,ModulLevel,ModulCaption,kgid,insUN,insDT,insApp,updUN,updDT,updApp
dsa_TextBarkodMevAl,Birdahagster1,2,dsa_TextBarkodMevAl,1,,,,,,
miHR_28,miStokYonetim_HR,2,STOKGIRENCIKANRAPO,2,,,,,,
miHR_29,miStokYonetim_HR,2,STOKKODUGIRISCIKIS,3,,,,,,
miHR_30,miPerYonetim_HR,2,SATANRAPORZB,4,,,,,,
Siparis_SatialmaSiparis_Yazdir_RaporListeFR,Birdahagster1,2,Siparis_SatialmaSiparis_Yazdir_RaporListeFR,5,,,,,,
Siparis_SatialmaSiparis_Yazdir_RaporSekil,Birdahagster1,2,Siparis_SatialmaSiparis_Yazdir_RaporSekil,6,,,,,,
Siparis_SatialmaSiparis_YazdirGrup,Birdahagster1,2,Siparis_SatialmaSiparis_YazdirGrup,7,,,,,,
Siparis_SatialmaSiparis_Yazdir_BedenSorgusu,Birdahagster1,2,Siparis_SatialmaSiparis_Yazdir_BedenSorgusu,8,,,,,,
Siparis_SatialmaSiparis_YazdirAltTopGrup,Birdahagster1,2,Siparis_SatialmaSiparis_YazdirAltTopGrup,9,,,,,,
irsaliye_Dahili_Satis_BarkodYaz_SatirlarToplansinMi,Birdahagster1,2,irsaliye_Dahili_Satis_BarkodYaz_SatirlarToplansinMi,10,,,,,,
miSiparisYon2_HR,miHazirRaporlar,1,Satınalma Analiz ve Sipariş Yönetimi ...,11,,,,,,
miHR_31,miSiparisYon2_HR,2,KALAN SIPARIS,12,,,,,,
miSiparisYon1_HR,miHazirRaporlar,1,Pazarlama Analiz ve Sipariş Yönetimi ...,13,,,,,,
miHR_26,miSiparisYon1_HR,2,TRENDYOLGLOBAL,14,,,,,,
Fatura_Alis_Yazdir_RaporListeFR,Birdahagster1,2,Fatura_Alis_Yazdir_RaporListeFR,15,,,,,,
miFat_S_Kon,miFat_S,3,Satış Konsinye Fatura ...,16,,,,,,
miFat_S_Hiz,miFat_S,3,Satış Hizmet Fatura ...,17,,,,,,
miFat_S_Pro,miFat_S,3,Satış Promosyon Fatura ...,18,,,,,,
miFFS,miFat_S,3,Satış Fiyat Farkı Faturası,19,,,,,,
miFat_S_KFF,miFat_S,3,Kur Farkı Faturası,20,,,,,,
miFaturaYon,miFaturaMenu,2,Fatura Yönetimi ...,21,,,,,,
miFatRaporu,miFaturaMenu,2,Fatura / KDV Raporu,22,,,,,,
miBABS,miFaturaMenu,2,BA - BS Formları,23,,,,,,
miFatOdePlanFilter,miFaturaMenu,2,Fatura Ödeme Planı Analizi...,24,,,,,,
miGeriyeOdemePlanlama,miFaturaMenu,2,Geriye Dönük Ödeme Planlama,25,,,,,,
miFinansTanim,miFinans,1,Finans Tanımlamaları,26,,,,,,
miGidKart,miFinansTanim,2,Gider Kartları,27,,,,,,
miGelKart,miFinansTanim,2,Gelir Kartları,28,,,,,,
miAlHizmetKart,miFinansTanim,2,Alınan Hizmet Kartları,29,,,,,,
miVerHizmetKart,miFinansTanim,2,Verilen Hizmet Kartları,30,,,,,,
miGidHizYonet,miFinansTanim,2,GiderGelirHizmet Yönetimi,31,,,,,,
miisOnay,miFinansTanim,2,İşlem Kapama,32,,,,,,
miPerGenGid,miFinansTanim,2,Finans Genel Gider Dağıtımı...,33,,,,,,
miYonKonsol,miFinansTanim,2,Yönetici Konsolu,34,,,,,,
miAlHizmetSipYon,miFinansTanim,2,Alınan Hizmet Sipariş Yönetimi,35,,,,,,
miMuhPeriyot,miFinansTanim,2,Periyot Tanımlama...,36,,,,,,
miMuhPeriyotDetay,miFinansTanim,2,Periyot Atama...,37,,,,,,
miKrediMenu,miFinans,1,Kredi Kartı,38,,,,,,
miKrediFis,miKrediMenu,2,Kredi Kartı İşlemleri...,39,,,,,,
miKrediYon,miKrediMenu,2,Kredi Kart Yönetimi...,40,,,,,,
miMasrafCenter,miFinans,1,Masraf Merkezi,41,,,,,,
miMasrafMerKart,miMasrafCenter,2,Masraf Merkezi Tanımları...,42,,,,,,
miMasrafSablonTanim,miMasrafCenter,2,Masraf Merkezi Şablon Tanımlama...,43,,,,,,
miMasrafMRapor1,miMasrafCenter,2,Masraf Merkezi Raporları,44,,,,,,
miMasrafMDurumx,miMasrafMRapor1,3,Masraf Merkezi Durum Raporu...,45,,,,,,
Siparis_PazarlamaSiparis_Barkod_SatirlarToplansinMi,Birdahagster1,2,Siparis_PazarlamaSiparis_Barkod_SatirlarToplansinMi,46,,,,,,
miMasrafHspOzetx,miMasrafMRapor1,3,Masraf Merkezi Hesap Özeti...,47,,,,,,
miMasrafEkstrex,miMasrafMRapor1,3,Masraf Merkezi Ekstre Raporu...,48,,,,,,
miMasrafMYon,miMasrafCenter,2,Masraf Merkezi Yönetimi...,49,,,,,,
miMasrafDetayListe,miMasrafCenter,2,Masraf Merkezi Detay Listesi...,50,,,,,,
miUrtMasDag,miMasrafCenter,2,Masraf Merkezi - Üretim Maliyet Dağıtımı,51,,,,,,
