Pro,Tanim,PTime,TimeTip,Worker,Performans,GiderKod,MMKod,HKod,kgid,insUN,insDT,insApp,updUN,updDT,updApp
02,Kesim,,,0,0,,,,1,,,,,,
03,Astar Kesim,,,0,0,,,,2,,,,,,
04,Sıcak Baskı,,,0,0,,,,3,,,,,,
05,Kesim Regapta,,,0,0,,,,4,,,,,,
07,Lazer,,,0,0,,,,5,,,,,,
08,Baskı,,,0,0,,,,6,,,,,,
09,Nakış,,,0,0,,,,7,,,,,,
10,Taş/Trop,,,0,0,,,,8,,,,,,
11,Strobel,,,0,0,,,,9,,,,,,
12,Şerit Dikim,,,0,0,,,,10,,,,,,
15,Saya,,,0,0,,,,11,,,,,,
17,Saraç,,,0,0,,,,12,,,,,,
18,Aksesuar,,,0,0,,,,13,,,,,,
19,Hazır Saya,,,0,0,,,,14,,,,,,
20,Regapta,,,0,0,,,,15,,,,,,
25,Bant (Monta),,,0,0,,,,16,,,,,,
27,Mekval/Fora,,,0,0,,,,17,,,,,,
29,Temizleme,,,0,0,,,,18,,,,,,
30,Paketleme,,,0,0,,,,19,,,,,,
