SKOD,RKOD,BedKod,Tip,Fiyat,ParaCinsi,FTarih,exCheck,insUN,insDT,UpdUN,UpdDT,kgid,insApp,updApp
002- 100,0,0,A02,23.0000000000,US,2025-03-04 15:05:10.590000,*,yulya,2025-03-04 15:05:10.590000,,,7293,KGShop,
002-701,0,0,A02,23.0000000000,US,2024-10-22 11:09:42.383000,*,yulya,2024-10-22 11:09:42.383000,,,5309,KGShop,
002-705,0,0,A02,23.0000000000,US,2024-10-22 11:12:13.477000,*,yulya,2024-10-22 11:12:13.477000,,,5310,KGShop,
002-706,0,0,A02,23.0000000000,US,2024-10-22 00:00:00,*,yulya,2024-10-22 10:58:15.183000,yulya,2024-10-22 10:58:41.787000,5305,KGShop,KGShop
002-707,0,0,A02,23.0000000000,US,2024-10-22 10:59:54.590000,*,yulya,2024-10-22 10:59:54.590000,,,5306,KGShop,
002-709,0,0,A02,23.0000000000,US,2024-10-22 10:29:24.300000,*,yulya,2024-10-22 10:29:24.300000,,,5296,KGShop,
002-711,0,0,A02,23.0000000000,US,2024-10-22 11:03:25.533000,*,yulya,2024-10-22 11:03:25.533000,,,5307,KGShop,
002-712,0,0,A02,23.0000000000,US,2024-10-22 00:00:00,*,yulya,2024-10-22 10:27:30.380000,yulya,2024-10-22 10:27:51.110000,5295,KGShop,KGShop
002-754,0,0,A02,22.0000000000,US,2024-10-22 00:00:00,*,yulya,2024-10-22 11:06:05.967000,yulya,2024-10-22 11:06:28.950000,5308,KGShop,KGShop
002-757,0,0,A02,22.0000000000,US,2024-10-22 10:55:56.357000,*,yulya,2024-10-22 10:55:56.357000,,,5304,KGShop,
002-758,0,0,A02,22.0000000000,US,2024-10-22 10:45:02.537000,*,yulya,2024-10-22 10:45:02.537000,,,5300,KGShop,
002-759,0,0,A02,22.0000000000,US,2024-10-22 00:00:00,*,yulya,2024-10-22 10:53:52.677000,yulya,2024-10-22 10:54:21.220000,5303,KGShop,KGShop
002-760,0,0,A02,22.0000000000,US,2024-10-22 10:46:53.577000,*,yulya,2024-10-22 10:46:53.577000,,,5301,KGShop,
002-761,0,0,A02,22.0000000000,US,2024-10-22 00:00:00,*,yulya,2024-10-22 10:14:13.777000,yulya,2024-10-22 10:15:03.980000,5292,KGShop,KGShop
002-766,0,0,A02,22.0000000000,US,2024-10-22 10:42:17.810000,*,yulya,2024-10-22 10:42:17.810000,,,5299,KGShop,
002-767,0,0,A02,22.0000000000,US,2024-10-22 00:00:00,*,yulya,2024-10-22 10:39:52.537000,yulya,2024-10-22 10:40:21.560000,5298,KGShop,KGShop
002-768,0,0,A02,22.0000000000,US,2024-10-22 10:22:40.870000,*,yulya,2024-10-22 10:22:40.870000,,,5293,KGShop,
002-773,0,0,A02,22.0000000000,US,2024-10-22 10:25:10.290000,*,yulya,2024-10-22 10:25:10.290000,,,5294,KGShop,
002-774,0,0,A02,23.0000000000,US,2024-10-22 10:37:57.567000,*,yulya,2024-10-22 10:37:57.567000,,,5297,KGShop,
002-777,0,0,A02,23.0000000000,US,2024-10-22 00:00:00,*,yulya,2024-10-22 10:50:54.867000,yulya,2024-10-22 10:51:50.353000,5302,KGShop,KGShop
003- 15120,0,0,A02,29.0000000000,US,2024-07-01 00:00:00,*,,,,,3339,,
003- 15121,0,0,A02,31.0000000000,US,2024-07-04 00:00:00,*,,,,,3480,,
003- 3116,0,0,A02,29.0000000000,US,2024-07-04 00:00:00,*,,,,,3481,,
003- 3120,0,0,A03,43.0000000000,US,2024-07-01 00:00:00,,,,,,3340,,
003- 3120,0,0,A05,37.0000000000,US,2024-07-01 00:00:00,*,,,,,3341,,
003- 6721,0,0,A02,32.0000000000,US,2024-07-25 00:00:00,*,,,,,3979,,
003 8710,0,0,A02,29.0000000000,US,2024-02-05 00:00:00,*,,,,,2027,,
003 8711,0,0,A02,30.0000000000,US,2024-02-05 00:00:00,*,,,,,2028,,
003 8712,0,0,A02,31.0000000000,US,2024-02-05 00:00:00,*,,,,,2029,,
003 8713,0,0,A02,32.0000000000,US,2024-02-05 00:00:00,*,,,,,2030,,
003 8714,0,0,A02,29.0000000000,US,2024-02-05 00:00:00,*,,,,,2031,,
004-2212,0,0,A02,17.0000000000,US,2024-10-18 00:00:00,*,,,yulya,2024-10-18 17:13:32.680000,4213,,
004-2213,0,0,A02,17.0000000000,US,2024-10-18 00:00:00,*,,,yulya,2024-10-18 17:15:41.747000,4214,,
004-2322,0,0,A02,19.0000000000,US,2024-10-18 00:00:00,*,,,yulya,2024-10-18 17:14:56.053000,4215,,
004-2366,0,0,A02,30.0000000000,US,2024-10-18 00:00:00,*,,,yulya,2024-10-18 17:16:10.403000,4216,,
004-2424,0,0,A02,29.0000000000,US,2024-10-18 00:00:00,*,,,yulya,2024-10-18 17:18:22.380000,4217,,
004-2426,0,0,A02,29.0000000000,US,2024-10-18 00:00:00,*,,,yulya,2024-10-18 17:17:53.973000,4218,,
004-2434,0,0,A02,17.0000000000,US,2024-10-18 00:00:00,*,,,yulya,2024-10-18 17:13:56.200000,4219,,
004-2435,0,0,A02,21.0000000000,US,2024-10-18 00:00:00,*,,,yulya,2024-10-18 17:17:06.597000,4220,,
004-2444,0,0,A02,19.0000000000,US,2024-10-23 00:00:00,*,yulya,2024-10-23 12:22:20.337000,yulya,2024-10-23 12:24:21.497000,5365,KGShop,KGShop
004-2445,0,0,A02,19.0000000000,US,2024-10-18 00:00:00,*,,,yulya,2024-10-18 17:17:36.480000,4221,,
004-2448,0,0,A02,31.0000000000,US,2024-10-18 00:00:00,*,,,yulya,2024-10-18 17:16:31.283000,4222,,
004-2449,0,0,A02,31.0000000000,US,2024-10-18 00:00:00,*,,,yulya,2024-10-18 17:15:18.627000,4223,,
004-2450,0,0,A02,26.0000000000,US,2024-10-23 00:00:00,*,yulya,2024-10-23 12:28:32.340000,yulya,2024-10-23 12:28:45.627000,5367,KGShop,KGShop
004-2452,0,0,A02,26.0000000000,US,2024-10-29 00:00:00,*,yulya,2024-10-29 11:17:43.710000,yulya,2024-10-29 11:18:09.260000,5521,KGShop,KGShop
004-2453,0,0,A02,21.0000000000,US,2024-10-18 00:00:00,*,,,yulya,2024-10-18 17:14:29.120000,4224,,
004-2454,0,0,A02,19.0000000000,US,2024-10-23 00:00:00,*,yulya,2024-10-23 12:30:12.800000,yulya,2024-10-23 12:30:45.160000,5368,KGShop,KGShop
004-2455,0,0,A02,31.0000000000,US,2024-10-23 00:00:00,*,yulya,2024-10-23 11:26:32.783000,yulya,2024-10-23 11:27:41.170000,5360,KGShop,KGShop
004-2456,0,0,A02,25.0000000000,US,2024-10-23 00:00:00,*,yulya,2024-10-23 12:18:35.013000,yulya,2024-10-23 12:58:23.777000,5364,KGShop,KGShop
004-2457,0,0,A02,29.0000000000,US,2024-10-23 00:00:00,*,yulya,2024-10-23 12:13:47.857000,yulya,2024-10-23 12:14:54.723000,5363,KGShop,KGShop
004-2458,0,0,A02,29.0000000000,US,2024-10-23 00:00:00,*,yulya,2024-10-23 12:25:21.787000,yulya,2024-10-23 12:26:27.170000,5366,KGShop,KGShop
004-2459,0,0,A02,29.0000000000,US,2024-10-23 00:00:00,*,yulya,2024-10-23 11:31:06.277000,yulya,2024-10-23 11:31:41.280000,5361,KGShop,KGShop
004-2460,0,0,A02,22.0000000000,US,2024-10-29 00:00:00,*,yulya,2024-10-29 11:29:59.687000,yulya,2024-10-29 11:55:26.847000,5524,KGShop,KGShop
004-2461,0,0,A02,26.0000000000,US,2024-10-29 11:19:21.220000,*,yulya,2024-10-29 11:19:21.220000,,,5522,KGShop,
004-2463,0,0,A02,19.0000000000,US,2024-10-29 00:00:00,*,yulya,2024-10-29 11:52:35.040000,yulya,2024-10-29 11:53:17.953000,5526,KGShop,KGShop
004-2464,0,0,A02,29.0000000000,US,2024-10-29 00:00:00,*,yulya,2024-10-29 11:26:29.333000,yulya,2024-10-29 11:55:04.943000,5523,KGShop,KGShop
004-2465,0,0,A02,29.0000000000,US,2024-10-29 00:00:00,*,yulya,2024-10-29 11:44:49.790000,yulya,2024-10-29 11:55:46.507000,5525,KGShop,KGShop
004-2466,0,0,A02,17.0000000000,US,2025-04-23 00:00:00,*,yulya,2025-04-23 11:14:38.557000,yulya,2025-04-23 11:15:28.583000,7319,KGShop,KGShop
004-2469,0,0,A02,17.0000000000,US,2025-04-23 11:24:21.200000,*,yulya,2025-04-23 11:24:21.200000,,,7321,KGShop,
004-2474,0,0,A02,17.0000000000,US,2025-04-23 11:28:47.897000,*,yulya,2025-04-23 11:28:47.897000,,,7322,KGShop,
004-2475,0,0,A02,17.0000000000,US,2025-04-23 11:19:16.943000,*,yulya,2025-04-23 11:19:16.943000,,,7320,KGShop,
004-2477,0,0,A02,26.0000000000,US,2025-04-30 00:00:00,*,yulya,2025-04-30 17:18:55.637000,yulya,2025-04-30 17:19:48.247000,7328,KGShop,KGShop
006- 8002,0,0,A02,25.0000000000,US,2024-11-29 10:23:07.310000,*,yulya,2024-11-29 10:23:07.310000,,,6205,KGShop,
006- 8003,0,0,A02,25.0000000000,US,2024-12-12 00:00:00,*,yulya,2024-12-12 14:30:38.797000,yulya,2024-12-12 14:31:22.813000,6435,KGShop,KGShop
006- 8048,0,0,A02,25.0000000000,US,2024-11-29 00:00:00,*,yulya,2024-11-29 10:20:12.957000,,,6204,KGShop,
