Pid,BcType,Barcode,Skod,RKod,Asorti,BedKod,BCMiktar,kgid,mkgid,insUN,insDT,insApp,updUN,updDT,updApp
1,0,1487194088,LNRCNKM360,231,Z003,0,1.0000000000,1,1,,,,,,
3,0,1487194114,LNRCNKRNS355,196,z401,0,1.0000000000,2,3,,,,,,
5,0,1487194115,LNRCNKRNS355,196,z403,0,1.0000000000,3,5,,,,,,
7,0,1487194115,LNRCNKRNS355,196,z403,0,1.0000000000,4,7,,,,,,
9,0,1487194115,LNRCNKRNS355,196,z403,0,1.0000000000,5,9,,,,,,
11,0,1487194116,LNRCNKRNS355,196,z36,0,1.0000000000,6,11,,,,,,
13,0,1487194117,LNRCNKRNS355,196,Z005,0,1.0000000000,7,13,,,,,,
15,0,1487194118,LNRCNKRNS355,196,Z006,0,1.0000000000,8,15,,,,,,
17,0,1487194119,LNRCNKRNS355,196,Z007,0,1.0000000000,9,17,,,,,,
19,0,1487194120,LNRCNKRNS355,196,Z008,0,1.0000000000,10,19,,,,,,
21,0,1487194121,LNRCNKRNS355,196,z405,0,1.0000000000,11,21,,,,,,
23,0,1487194115,LNRCNKRNS355,196,z403,0,1.0000000000,12,23,,,,,,
25,0,1487194116,LNRCNKRNS355,196,z36,0,1.0000000000,13,25,,,,,,
27,0,1487194117,LNRCNKRNS355,196,Z005,0,1.0000000000,14,27,,,,,,
29,0,1487194118,LNRCNKRNS355,196,Z006,0,1.0000000000,15,29,,,,,,
31,0,1487194118,LNRCNKRNS355,196,Z006,0,1.0000000000,16,31,,,,,,
33,0,1487194118,LNRCNKRNS355,196,Z006,0,1.0000000000,17,33,,,,,,
35,0,1487194119,LNRCNKRNS355,196,Z007,0,1.0000000000,18,35,,,,,,
37,0,1487194119,LNRCNKRNS355,196,Z007,0,1.0000000000,19,37,,,,,,
39,0,1487194119,LNRCNKRNS355,196,Z007,0,1.0000000000,20,39,,,,,,
41,0,1487194120,LNRCNKRNS355,196,Z008,0,1.0000000000,21,41,,,,,,
43,0,1487194121,LNRCNKRNS355,196,z405,0,1.0000000000,22,43,,,,,,
45,0,1487194122,LNRCNKRNS3801,356,z36,0,1.0000000000,23,45,,,,,,
47,0,1487194122,LNRCNKRNS3801,356,z36,0,1.0000000000,24,47,,,,,,
49,0,1487194122,LNRCNKRNS3801,356,z36,0,1.0000000000,25,49,,,,,,
51,0,1487194122,LNRCNKRNS3801,356,z36,0,1.0000000000,26,51,,,,,,
53,0,1487194123,LNRCNKRNS3801,356,Z005,0,1.0000000000,27,53,,,,,,
55,0,1487194124,LNRCNKRNS3801,356,Z006,0,1.0000000000,28,55,,,,,,
57,0,1487194124,LNRCNKRNS3801,356,Z006,0,1.0000000000,29,57,,,,,,
59,0,1487194124,LNRCNKRNS3801,356,Z006,0,1.0000000000,30,59,,,,,,
61,0,1487194124,LNRCNKRNS3801,356,Z006,0,1.0000000000,31,61,,,,,,
63,0,1487194124,LNRCNKRNS3801,356,Z006,0,1.0000000000,32,63,,,,,,
65,0,1487194126,LNRCNKRNS3801,356,Z008,0,1.0000000000,33,65,,,,,,
67,0,1487194126,LNRCNKRNS3801,356,Z008,0,1.0000000000,34,67,,,,,,
69,0,1487194126,LNRCNKRNS3801,356,Z008,0,1.0000000000,35,69,,,,,,
71,0,1487194126,LNRCNKRNS3801,356,Z008,0,1.0000000000,36,71,,,,,,
73,0,1487194126,LNRCNKRNS3801,356,Z008,0,1.0000000000,37,73,,,,,,
75,0,1487194127,LNRCNKRNS3801,378,z36,0,1.0000000000,38,75,,,,,,
77,0,1487194128,LNRCNKRNS3801,378,Z005,0,1.0000000000,39,77,,,,,,
79,0,1487194129,LNRCNKRNS3801,378,Z006,0,1.0000000000,40,79,,,,,,
81,0,1487194129,LNRCNKRNS3801,378,Z006,0,1.0000000000,41,81,,,,,,
83,0,1487194130,LNRCNKRNS3801,378,Z007,0,1.0000000000,42,83,,,,,,
85,0,1487194130,LNRCNKRNS3801,378,Z007,0,1.0000000000,43,85,,,,,,
87,0,1487194130,LNRCNKRNS3801,378,Z007,0,1.0000000000,44,87,,,,,,
89,0,1487194131,LNRCNKRNS3801,378,Z008,0,1.0000000000,45,89,,,,,,
91,0,1487194131,LNRCNKRNS3801,378,Z008,0,1.0000000000,46,91,,,,,,
93,0,1487194131,LNRCNKRNS3801,378,Z008,0,1.0000000000,47,93,,,,,,
95,0,1487194131,LNRCNKRNS3801,378,Z008,0,1.0000000000,48,95,,,,,,
97,0,1487194131,LNRCNKRNS3801,378,Z008,0,1.0000000000,49,97,,,,,,
99,0,1487194733,LNRCNKQN2011,1,4,0,1.0000000000,50,99,,,,,,
101,0,1487194733,LNRCNKQN2011,1,4,0,1.0000000000,51,101,,,,,,
103,0,1487194259,LNRCNKVT175,550,Z003,0,1.0000000000,52,103,,,,,,
105,0,1487194259,LNRCNKVT175,550,Z003,0,1.0000000000,53,105,,,,,,
