Company,Location,SKod
01,OA001, Clomp Shof
01,OA001,001 061
01,OA002,001 061
01,OA003,001 061
01,OA001,001 10008 
01,OA002,001 10008 
01,OA003,001 10008 
01,OA001,001 10016
01,OA002,001 10016
01,OA003,001 10016
01,OA001,001 10043
01,OA002,001 10043
01,OA003,001 10043
01,OA001,001 10051-1
01,OA002,001 10051-1
01,OA003,001 10051-1
01,OA001,001 10052
01,OA002,001 10052
01,OA003,001 10052
01,OA001,001 10053
01,OA002,001 10053
01,OA003,001 10053
01,OA001,001 10071
01,OA002,001 10071
01,OA003,001 10071
01,OA001,001 10074
01,OA002,001 10074
01,OA003,001 10074
01,OA001,001 10107
01,OA002,001 10107
01,OA003,001 10107
01,OA001,001 10126
01,OA002,001 10126
01,OA003,001 10126
01,OA001,001 10128
01,OA002,001 10128
01,OA003,001 10128
01,OA001,001 10129
01,OA002,001 10129
01,OA003,001 10129
01,OA001,001 10132
01,OA002,001 10132
01,OA003,001 10132
01,OA001,001 10135
01,OA002,001 10135
01,OA003,001 10135
01,OA001,001 10191
01,OA002,001 10191
01,OA003,001 10191
01,OA001,001 10230
01,OA002,001 10230
01,OA003,001 10230
01,OA001,001 10474
01,OA002,001 10474
01,OA003,001 10474
01,OA001,001 10484
01,OA002,001 10484
01,OA003,001 10484
01,OA001,001 10489
01,OA002,001 10489
01,OA003,001 10489
01,OA001,001 10504
01,OA002,001 10504
01,OA003,001 10504
01,OA001,001 10522
01,OA002,001 10522
01,OA003,001 10522
01,OA001,001 10523
01,OA002,001 10523
01,OA003,001 10523
01,OA001,001 10560
01,OA002,001 10560
01,OA003,001 10560
01,OA001,001 10561
01,OA002,001 10561
01,OA003,001 10561
01,OA001,001 10567
01,OA002,001 10567
01,OA003,001 10567
01,OA001,001 10623
01,OA002,001 10623
01,OA003,001 10623
01,OA001,001 10627
01,OA002,001 10627
01,OA003,001 10627
01,OA001,001 10635
01,OA002,001 10635
01,OA003,001 10635
01,OA001,001 10639
01,OA002,001 10639
01,OA003,001 10639
01,OA001,001 10650
01,OA002,001 10650
01,OA003,001 10650
01,OA001,001 10656
01,OA002,001 10656
01,OA003,001 10656
01,OA001,001 10667
01,OA002,001 10667
01,OA003,001 10667
01,OA001,001 10670
01,OA002,001 10670
01,OA003,001 10670
01,OA001,001 10678
01,OA002,001 10678
01,OA003,001 10678
01,OA001,001 10690
01,OA002,001 10690
01,OA003,001 10690
01,OA001,001 10690 BU NU
01,OA002,001 10690 BU NU
01,OA003,001 10690 BU NU
01,OA001,001 10698
01,OA002,001 10698
01,OA003,001 10698
01,OA001,001 10706
01,OA002,001 10706
01,OA003,001 10706
01,OA001,001 10730
01,OA002,001 10730
01,OA003,001 10730
01,OA001,001 10732
01,OA002,001 10732
01,OA003,001 10732
01,OA001,001 10760
01,OA002,001 10760
01,OA003,001 10760
01,OA001,001 10798 
01,OA002,001 10798 
01,OA003,001 10798 
01,OA001,001 10817
01,OA002,001 10817
01,OA003,001 10817
01,OA001,001 10819
01,OA002,001 10819
01,OA003,001 10819
01,OA001,001 10820
01,OA002,001 10820
01,OA003,001 10820
01,OA001,001 10821
