Company,Location,CKod,kgid,insUN,insDT,insApp,updUN,updDT,updApp
01,L001,120.010,1,,,,,,
01,L001,120.011,2,,,,,,
01,L001,120.012,3,,,,,,
01,L001,120.013,4,,,,,,
01,L001,120.014,5,,,,,,
01,L001,120.015,6,,,,,,
01,L001,120.016 ,7,,,,,,
01,L001,120.017,8,,,,,,
01,L001,120.018,9,,,,,,
01,L001,120.019 ,10,,,,,,
01,L001,120.020,11,,,,,,
01,L001,120.021 ,12,,,,,,
01,L001,120.022,13,,,,,,
01,L001,120.023,14,,,,,,
01,L001,120.024,15,,,,,,
01,L001,120.025,16,,,,,,
01,L001,120.026,17,,,,,,
01,L001,120.027,18,,,,,,
01,L001,120.028,19,,,,,,
01,L001,120.029,20,,,,,,
01,L001,120.030,21,,,,,,
01,L001,120.031,22,,,,,,
01,L001,120.032,23,,,,,,
01,L001,120.033,24,,,,,,
01,L001,120.034,25,,,,,,
01,L001,120.035 ,26,,,,,,
01,L001,120.036,27,,,,,,
01,L001,120.037,28,,,,,,
01,L001,120.038,29,,,,,,
01,L001,120.039,30,,,,,,
01,L001,120.040,31,,,,,,
01,L001,120.041,32,,,,,,
01,L001,120.042,33,,,,,,
01,L001,120.043,34,,,,,,
01,L001,120.044,35,,,,,,
01,L001,120.045,36,,,,,,
01,L001,120.046,37,,,,,,
01,L001,120.047,38,,,,,,
01,L001,120.048,39,,,,,,
01,L001,120.049,40,,,,,,
01,L001,120.050,41,,,,,,
01,L001,120.051,42,,,,,,
01,L001,120.052,43,,,,,,
01,L001,120.053,44,,,,,,
01,L001,120.054,45,,,,,,
01,L001,120.055,46,,,,,,
01,L001,120.056,47,,,,,,
01,L001,120.057,48,,,,,,
01,L001,120.058,49,,,,,,
01,L001,120.059,50,,,,,,
01,L001,120.060,51,,,,,,
01,L001,120.061,52,,,,,,
01,L001,120.062,53,,,,,,
01,L001,120.063,54,,,,,,
01,L001,120.064,55,,,,,,
01,L001,120.065,56,,,,,,
01,L001,120.066,57,,,,,,
01,L001,120.067,58,,,,,,
01,L001,120.068,59,,,,,,
01,L001,120.069,60,,,,,,
01,L001,120.070,61,,,,,,
01,L001,120.071,62,,,,,,
01,L001,120.072,63,,,,,,
01,L001,120.073,64,,,,,,
01,L001,120.074,65,,,,,,
01,L001,120.075,66,,,,,,
01,L001,120.076,67,,,,,,
01,L001,120.077,68,,,,,,
01,L001,120.078,69,,,,,,
01,L001,120.079,70,,,,,,
01,L001,120.080,71,,,,,,
01,L001,120.081,72,,,,,,
01,L001,120.082,73,,,,,,
01,L001,120.083,74,,,,,,
01,L001,120.084,75,,,,,,
01,L001,120.085,76,,,,,,
01,L001,120.086,77,,,,,,
01,L001,120.087,78,,,,,,
01,L001,120.088,79,,,,,,
01,L001,120.089,80,,,,,,
01,L001,120.090,81,,,,,,
01,L001,120.091,82,,,,,,
01,L001,120.092,83,,,,,,
01,L001,120.093,84,,,,,,
01,L001,120.094,85,,,,,,
01,L001,120.095,86,,,,,,
01,L001,120.096,87,,,,,,
01,L001,120.097,88,,,,,,
01,L001,120.098,89,,,,,,
01,L001,120.099,90,,,,,,
