Bid,Pid,Ckod,kgid,insUN,insDT,insApp,updUN,updDT,updApp
1,1,TEST1,1,,,,,,
2,3,RCN00020,2,,,,,,
3,5,RCN00020,3,,,,,,
4,7,RCN00020,4,,,,,,
5,9,RCN00020,5,,,,,,
6,11,RCN00020,6,,,,,,
7,13,RCN00020,7,,,,,,
8,15,RCN00020,8,,,,,,
9,17,RCN00020,9,,,,,,
10,19,RCN00020,10,,,,,,
11,21,RCN00020,11,,,,,,
12,23,RCN00020,12,,,,,,
13,25,RCN00020,13,,,,,,
14,27,RCN00020,14,,,,,,
15,29,RCN00020,15,,,,,,
16,31,RCN00020,16,,,,,,
17,33,RCN00020,17,,,,,,
18,35,RCN00020,18,,,,,,
19,37,RCN00020,19,,,,,,
20,39,RCN00020,20,,,,,,
21,41,RCN00020,21,,,,,,
22,43,RCN00020,22,,,,,,
23,45,RCN00020,23,,,,,,
24,47,RCN00020,24,,,,,,
25,49,RCN00020,25,,,,,,
26,51,RCN00020,26,,,,,,
27,53,RCN00020,27,,,,,,
28,55,RCN00020,28,,,,,,
29,57,RCN00020,29,,,,,,
30,59,RCN00020,30,,,,,,
31,61,RCN00020,31,,,,,,
32,63,RCN00020,32,,,,,,
33,65,RCN00020,33,,,,,,
34,67,RCN00020,34,,,,,,
35,69,RCN00020,35,,,,,,
36,71,RCN00020,36,,,,,,
37,73,RCN00020,37,,,,,,
38,75,RCN00020,38,,,,,,
39,77,RCN00020,39,,,,,,
40,79,RCN00020,40,,,,,,
41,81,RCN00020,41,,,,,,
42,83,RCN00020,42,,,,,,
43,85,RCN00020,43,,,,,,
44,87,RCN00020,44,,,,,,
45,89,RCN00020,45,,,,,,
46,91,RCN00020,46,,,,,,
47,93,RCN00020,47,,,,,,
48,95,RCN00020,48,,,,,,
49,97,RCN00020,49,,,,,,
50,99,RCN00025,50,,,,,,
51,101,RCN00025,51,,,,,,
52,103,RCN00021,52,,,,,,
53,105,RCN00021,53,,,,,,
