Koli_KOD,Beden_No,Koli_ADET,kgid,insUN,insDT,insApp,updUN,updDT,updApp
3,1,0.000000,9001,yulya,2025-02-05 17:01:16.730000,KGShop,,,
3,2,0.000000,9002,yulya,2025-02-05 17:01:16.750000,KGShop,,,
3,3,0.000000,9003,yulya,2025-02-05 17:01:16.763000,KGShop,,,
3,4,2.000000,9004,yulya,2025-02-05 17:01:16.780000,KGShop,,,
3,5,2.000000,9005,yulya,2025-02-05 17:01:16.797000,KGShop,,,
3,6,4.000000,9006,yulya,2025-02-05 17:01:16.810000,KGShop,,,
3,7,4.000000,9007,yulya,2025-02-05 17:01:16.830000,KGShop,,,
3,8,2.000000,9008,yulya,2025-02-05 17:01:16.847000,KGShop,,,
3,9,2.000000,9009,yulya,2025-02-05 17:01:16.867000,KGShop,,,
3,10,0.000000,9010,yulya,2025-02-05 17:01:16.887000,KGShop,,,
3,11,0.000000,9011,yulya,2025-02-05 17:01:16.907000,KGShop,,,
3,12,0.000000,9012,yulya,2025-02-05 17:01:16.927000,KGShop,,,
A01,1,0.000000,1,,,,,,
A01,2,0.000000,2,,,,,,
A01,3,0.000000,3,,,,,,
A01,4,1.000000,4,,,,,,
A01,5,2.000000,5,,,,,,
A01,6,2.000000,6,,,,,,
A01,7,2.000000,7,,,,,,
A01,8,1.000000,8,,,,,,
A01,9,0.000000,9,,,,,,
A01,10,0.000000,10,,,,,,
A01,11,0.000000,11,,,,,,
A01,12,0.000000,12,,,,,,
A02,1,0.000000,13,,,,,,
A02,2,0.000000,14,,,,,,
A02,3,0.000000,15,,,,,,
A02,4,1.000000,16,,,,,,
A02,5,2.000000,17,,,,,,
A02,6,2.000000,18,,,,,,
A02,7,2.000000,19,,,,,,
A02,8,1.000000,20,,,,,,
A02,9,2.000000,21,,,,,,
A02,10,0.000000,22,,,,,,
A02,11,0.000000,23,,,,,,
A02,12,0.000000,24,,,,,,
A020,1,0.000000,25,,,,,,
A020,2,2.000000,26,,,,,,
A020,3,2.000000,27,,,,,,
A020,4,1.000000,28,,,,,,
A020,5,2.000000,29,,,,,,
A020,6,2.000000,30,,,,,,
A020,7,2.000000,31,,,,,,
A020,8,1.000000,32,,,,,,
A020,9,2.000000,33,,,,,,
A020,10,2.000000,34,,,,,,
A020,11,0.000000,35,,,,,,
A020,12,0.000000,36,,,,,,
A021,1,0.000000,37,,,,,,
A021,2,0.000000,38,,,,,,
A021,3,0.000000,39,,,,,,
A021,4,1.000000,40,,,,,,
A021,5,2.000000,41,,,,,,
A021,6,2.000000,42,,,,,,
A021,7,2.000000,43,,,,,,
A021,8,1.000000,44,,,,,,
A021,9,2.000000,45,,,,,,
A021,10,2.000000,46,,,,,,
A021,11,0.000000,47,,,,,,
A021,12,0.000000,48,,,,,,
A022,1,0.000000,49,,,,,,
A022,2,0.000000,50,,,,,,
A022,3,0.000000,51,,,,,,
A022,4,1.000000,52,,,,,,
A022,5,2.000000,53,,,,,,
A022,6,2.000000,54,,,,,,
A022,7,2.000000,55,,,,,,
A022,8,1.000000,56,,,,,,
A022,9,2.000000,57,,,,,,
A022,10,2.000000,58,,,,,,
A022,11,0.000000,59,,,,,,
A022,12,0.000000,60,,,,,,
A023,1,0.000000,61,,,,,,
A023,2,0.000000,62,,,,,,
A023,3,0.000000,63,,,,,,
A023,4,1.000000,64,,,,,,
A023,5,2.000000,65,,,,,,
A023,6,2.000000,66,,,,,,
A023,7,2.000000,67,,,,,,
A023,8,1.000000,68,,,,,,
A023,9,1.000000,69,,,,,,
A023,10,1.000000,70,,,,,,
A023,11,1.000000,71,,,,,,
A023,12,0.000000,72,,,,,,
A024,1,0.000000,73,,,,,,
A024,2,0.000000,74,,,,,,
A024,3,0.000000,75,,,,,,
A024,4,1.000000,76,,,,,,
A024,5,2.000000,77,,,,,,
A024,6,2.000000,78,,,,,,
A024,7,2.000000,79,,,,,,
A024,8,2.000000,80,,,,,,
A024,9,1.000000,81,,,,,,
A024,10,1.000000,82,,,,,,
A024,11,1.000000,83,,,,,,
A024,12,0.000000,84,,,,,,
A025,1,0.000000,85,,,,,,
A025,2,0.000000,86,,,,,,
A025,3,0.000000,87,,,,,,
A025,4,0.000000,88,,,,,,
A025,5,0.000000,89,,,,,,
A025,6,1.000000,90,,,,,,
A025,7,2.000000,91,,,,,,
A025,8,2.000000,92,,,,,,
A025,9,1.000000,93,,,,,,
A025,10,1.000000,94,,,,,,
A025,11,1.000000,95,,,,,,
A025,12,0.000000,96,,,,,,
A026,1,0.000000,97,,,,,,
A026,2,0.000000,98,,,,,,
A026,3,0.000000,99,,,,,,
A026,4,0.000000,100,,,,,,
A026,5,1.000000,101,,,,,,
A026,6,2.000000,102,,,,,,
A026,7,3.000000,103,,,,,,
A026,8,2.000000,104,,,,,,
A026,9,0.000000,105,,,,,,
A026,10,0.000000,106,,,,,,
A026,11,0.000000,107,,,,,,
A026,12,0.000000,108,,,,,,
A027,1,0.000000,109,,,,,,
A027,2,0.000000,110,,,,,,
A027,3,0.000000,111,,,,,,
A027,4,0.000000,112,,,,,,
A027,5,1.000000,113,,,,,,
A027,6,2.000000,114,,,,,,
A027,7,3.000000,115,,,,,,
A027,8,2.000000,116,,,,,,
A027,9,1.000000,117,,,,,,
A027,10,1.000000,118,,,,,,
A027,11,0.000000,119,,,,,,
A027,12,0.000000,120,,,,,,
A028,1,0.000000,121,,,,,,
A028,2,0.000000,122,,,,,,
A028,3,0.000000,123,,,,,,
A028,4,0.000000,124,,,,,,
A028,5,0.000000,125,,,,,,
A028,6,0.000000,126,,,,,,
A028,7,1.000000,127,,,,,,
A028,8,1.000000,128,,,,,,
A028,9,3.000000,129,,,,,,
A028,10,3.000000,130,,,,,,
A028,11,0.000000,131,,,,,,
A028,12,0.000000,132,,,,,,
A029,1,0.000000,133,,,,,,
A029,2,0.000000,134,,,,,,
A029,3,0.000000,135,,,,,,
A029,4,1.000000,136,,,,,,
A029,5,1.000000,137,,,,,,
A029,6,1.000000,138,,,,,,
A029,7,2.000000,139,,,,,,
A029,8,1.000000,140,,,,,,
A029,9,2.000000,141,,,,,,
A029,10,0.000000,142,,,,,,
A029,11,0.000000,143,,,,,,
A029,12,0.000000,144,,,,,,
A030,1,0.000000,145,,,,,,
A030,2,0.000000,146,,,,,,
A030,3,0.000000,147,,,,,,
A030,4,1.000000,148,,,,,,
A030,5,1.000000,149,,,,,,
A030,6,1.000000,150,,,,,,
A030,7,1.000000,151,,,,,,
A030,8,2.000000,152,,,,,,
A030,9,2.000000,153,,,,,,
A030,10,2.000000,154,,,,,,
A030,11,0.000000,155,,,,,,
A030,12,0.000000,156,,,,,,
A031,1,0.000000,157,,,,,,
A031,2,0.000000,158,,,,,,
A031,3,0.000000,159,,,,,,
A031,4,1.000000,160,,,,,,
A031,5,1.000000,161,,,,,,
A031,6,2.000000,162,,,,,,
A031,7,2.000000,163,,,,,,
A031,8,2.000000,164,,,,,,
A031,9,2.000000,165,,,,,,
A031,10,0.000000,166,,,,,,
A031,11,0.000000,167,,,,,,
A031,12,0.000000,168,,,,,,
A032,1,0.000000,169,,,,,,
