Kod,Tanim,OzKod1,OzKod2,OzKod3,DBName
420212999000,SANDIKLAR. BAVULLAR. VALİZLER - DİĞER,,,,TANCA
420221000000,EL ÇANTALARI-DIŞ YÜZLERİ TABİİ/TERKİP YOLUYLA ELDE EDİLEN DERİ.KÖSELE/RUGANDAN,,,,TANCA
420229000000,DİĞER EL ÇANTALARI,,,,TANCA
420231000000,CEPTE/EL ÇANTASINDA TAŞINAN EŞYA- DIŞ YÜZLERİ DERİ VE KÖSELEDEN/RUGANDAN OLANLAR,,,,TANCA
420239009000,DİĞER MADDELERDEN CEP VEYA EL ÇANTASI EŞYASI,,,,TANCA
420310000023,"KABAN,MONT,CEKET-TABİİ DERİ VE KÖSELEDEN OLANLAR",,,,TANCA
420310000024,PANTOLON-TABİİ DERİ VE KÖSELEDEN OLANLAR,,,,TANCA
420310000025,ETEK-TABİİ DERİ VE KÖSELEDEN OLANLAR,,,,TANCA
420310000028,DİĞERLERİ-TABİİ DERİ VE KÖSELEDEN OLANLAR,,,,TANCA
420330000011,BEL KEMERLERİ.KILIÇ KAYIŞI VE PALASKALARI - TABİİ DERİ VE KÖSELEDEN OLANLAR,,,,TANCA
611595000000,DİĞER ÇORAPLAR-PAMUKTAN(T 12),,,,TANCA
640291900000,Dış Tabanı ve Yüzü Kauçuk veya Plastik Maddeden Olan Bileği Örten Diğer Ayakkabılar,,,,TANCA
640299310000,Yüzü Plastikten Ayakkabılar - Yüzü Şeritlerden Yapılmış. Topuk Yüksekliği >3 Cm,,,,TANCA
640299500000,Yüzü Plastikten Diğer Ayakkabılar - Terlik ve Ev İçinde Giyilen,,,,TANCA
640351910000,Bileği Örten Ayakkabılar-İç Taban Uzunluğu<24Cm.Dış Tabanı Tabii Kösele,,,,TANCA
640351950000,Bileği Örten Ayakkabılar-İç Taban Uzunluğu=>24Cm.Dış Tabanı Tabii Kösele.Erkek,,,,TANCA
640351990000,Bileği Örten Ayakkabılar-İç Taban Uzunluğu=>24Cm.Dış Tabanı Tabii Kösele.Kadın,,,,TANCA
640359110000,Dış Tabanı ile Birlikte Topuk Yük.>3Cm. Yüzü Şeritlerden Yapılmış Ayakkabı,,,,TANCA
640359350000,Yüzü Şerit. Ayakkabılar-İç Taban Uzunluğu=>24 Cm.Dış Taban Tabii Kösele-Erkek,,,,TANCA
640359390000,Yüzü Şerit. Ayakkabılar-İç Taban Uzunluğu=>24 Cm.Dış Taban Tabii Kösele-Kadın,,,,TANCA
640359500011,Terlikler.Diğer Ev Ayakkabıları. Dış Taban Tabii Kösele-Erkekler İçin.Yüzü Deri,,,,TANCA
640359500012,Terlikler.Diğer Ev Ayakkabıları. Dış Taban Tabii Kösele-Kadınlar İçin.Yüzü Deri,,,,TANCA
640359500013,Terlikler.Diğer Ev Ayakkabıları. Dış Taban Tabii Kösele-Bebek.Çocuk İçin,,,,TANCA
640391960000,Bileği Örten Ayakkabı.İç Taban=>24Cm.Erkek,,,,TANCA
640391980000,Bileği Örten Ayakkabı.İç Taban=>24Cm.Kadın,,,,TANCA
640399110000,Dış Tabanı ile Birlikte Topuk Yük.>3Cm. Yüzü Şeritlerden Yapılmış Ayakkabı,,,,TANCA
640399910000,Diğer Ayakkabılar - İç Taban <24Cm.,,,,TANCA
640399960000,Diğer Ayakkabılar-İç Taban =>24Cm.Erkek,,,,TANCA
640399980000,Diğer Ayakkabılar-İç Taban =>24Cm.Kadın,,,,TANCA
640419900011,Diğer Ayakkabılar - Dış Taban Kauçuk/Plastik. Erkekler İçin,,,,TANCA
640419900012,Diğer Ayakkabılar - Dış Taban Kauçuk/Plastik. Kadınlar İçin,,,,TANCA
640419900013,Diğer Ayakkabılar - Dış Taban Kauçuk/Plastik. Bebek ve Çocuklar İçin,,,,TANCA
640420100000,Terlikler ve Diğer Ev Ayakkabıları - Dış Taban Tabii Kösele,,,,TANCA
640420900000,Diğer Ayakkabılar - Dış Taban Tabii Kösele. Yüzü Dokumaya Elverişli Madde,,,,TANCA
640590900011,Diğer Ayakkabılar - Dış Tabanı Diğer Maddelerden. Erkekler İçin,,,,TANCA
640590900012,Diğer Ayakkabılar - Dış Tabanı Diğer Maddelerden. Kadınlar İçin,,,,TANCA
640590900013,Diğer Ayakkabılar - Dış Tabanı Diğer Maddelereden. Bebekler ve Çocuklar İçin,,,,TANCA
650400000000,HER NEVİ MADDEDEN ŞERİT. BİRLEŞTİRİLMESİ ÖRÜLMESİYLE YAPILAN ŞAPKA VE BAŞLIKLAR,,,,TANCA
