ModulName,OptRealName,OptVisible,OptTableConnect,Protect
Cari,btOzKod1,*,,G
Cari,btOzKod10,*,,G
Cari,btOzKod2,*,,G
Cari,btOzKod3,*,,G
Cari,btOzKod4,*,,G
Cari,btOzKod5,*,,G
Cari,btOzKod6,*,,G
Cari,btOzKod7,*,,G
Cari,btOzKod8,*,,G
Cari,btOzKod9,*,,G
Musteri,btOzKod1,*,,G
Musteri,btOzKod10,*,,G
Musteri,btOzKod2,*,,G
Musteri,btOzkod3,*,,G
Musteri,btOzKod4,*,,G
Musteri,btOzKod5,*,,G
Musteri,btOzKod6,*,,G
Musteri,btOzKod7,*,,G
Musteri,btOzKod8,*,,G
Musteri,btOzKod9,*,,G
Stok,btOzKod1,*,Par_Sezon,G
Stok,btOzKod10,*,Par_Web,G
Stok,btOzKod11,*,,G
Stok,btOzKod12,*,,G
Stok,btOzKod13,*,,G
Stok,btOzKod14,*,,G
Stok,btOzKod15,*,,G
Stok,btOzKod16,*,,G
Stok,btOzKod17,*,,G
Stok,btOzKod18,*,,G
Stok,btOzKod19,*,,G
Stok,btOzKod2,*,Par_CINSI,G
Stok,btOzKod20,*,,G
Stok,btOzKod3,*,Par_SAYA,G
Stok,btOzKod4,*,Par_Sezon,G
Stok,btOzKod5,*,Par_TABAN,G
Stok,btOzKod6,*,,G
Stok,btOzKod7,*,Par_iki,G
Stok,btOzKod8,*,,G
Stok,btOzKod9,*,Par_WEBKAMPANYA,G
