Model,Gider,kgid,insUN,insDT,insApp,updUN,updDT,updApp
003,40.0,1,,,,,,
060,40.0,2,,,,,,
067,35.0,3,,,,,,
082,45.0,4,,,,,,
097,40.0,5,,,,,,
098,35.0,6,,,,,,
099,35.0,7,,,,,,
100,40.0,8,,,,,,
102,35.0,9,,,,,,
121,40.0,10,,,,,,
122,40.0,11,,,,,,
129,33.0,12,,,,,,
130,35.0,13,,,,,,
131,40.0,14,,,,,,
150,33.0,15,,,,,,
185,47.5,16,,,,,,
190,40.0,17,,,,,,
229,55.0,18,,,,,,
236,38.0,19,,,,,,
246,40.0,20,,,,,,
249,40.0,21,,,,,,
267,35.0,22,,,,,,
284,38.0,23,,,,,,
296,35.0,24,,,,,,
301,40.0,25,,,,,,
338,50.0,26,,,,,,
365,40.0,27,,,,,,
366,40.0,28,,,,,,
368,50.0,29,,,,,,
392,50.0,30,,,,,,
409,40.0,31,,,,,,
428,40.0,32,,,,,,
429,40.0,33,,,,,,
442,50.0,34,,,,,,
455,40.0,35,,,,,,
470,40.0,36,,,,,,
471,40.0,37,,,,,,
472,50.0,38,,,,,,
473,55.0,39,,,,,,
492,35.0,40,,,,,,
506,50.0,41,,,,,,
515,35.0,42,,,,,,
523,55.0,43,,,,,,
528,55.0,44,,,,,,
548,53.0,45,,,,,,
598,55.0,46,,,,,,
607,50.0,47,,,,,,
631,50.0,48,,,,,,
639,55.0,49,,,,,,
652,40.0,50,,,,,,
660,55.0,51,,,,,,
661,55.0,52,,,,,,
673,40.0,53,,,,,,
682,45.0,54,,,,,,
691,40.0,55,,,,,,
701,45.0,56,,,,,,
709,45.0,57,,,,,,
721,55.0,58,,,,,,
726,50.0,59,,,,,,
732,55.0,60,,,,,,
747,45.0,61,,,,,,
748,55.0,62,,,,,,
759,55.0,63,,,,,,
759,55.0,64,,,,,,
788,55.0,65,,,,,,
794,50.0,66,,,,,,
816,55.0,67,,,,,,
823,33.0,68,,,,,,
906,55.0,69,,,,,,
921,35.0,70,,,,,,
923,55.0,71,,,,,,
953,50.0,72,,,,,,
960,50.0,73,,,,,,
968,55.0,74,,,,,,
983,30.0,75,,,,,,
995,40.0,76,,,,,,
1016,45.0,77,,,,,,
1082,45.0,78,,,,,,
1109,40.0,79,,,,,,
1116,50.0,80,,,,,,
1133,35.0,81,,,,,,
1143,45.0,82,,,,,,
1145,35.0,83,,,,,,
1159,35.0,84,,,,,,
1165,40.0,85,,,,,,
1166,40.0,86,,,,,,
1168,35.0,87,,,,,,
1175,35.0,88,,,,,,
1176,35.0,89,,,,,,
1181,60.0,90,,,,,,
1196,30.0,91,,,,,,
1200,50.0,92,,,,,,
1202,45.0,93,,,,,,
1284,38.0,94,,,,,,
1297,35.0,95,,,,,,
1298,35.0,96,,,,,,
1300,45.0,97,,,,,,
1301,55.0,98,,,,,,
1308,40.0,99,,,,,,
1309,35.0,100,,,,,,
1314,50.0,101,,,,,,
1316,50.0,102,,,,,,
1355,50.0,103,,,,,,
1362,45.0,104,,,,,,
1363,45.0,105,,,,,,
1369,45.0,106,,,,,,
1377,45.0,107,,,,,,
1379,55.0,108,,,,,,
1385,45.0,109,,,,,,
1392,55.0,110,,,,,,
1400,45.0,111,,,,,,
1402,18.0,112,,,,,,
1403,45.0,113,,,,,,
1408,40.0,114,,,,,,
1409,45.0,115,,,,,,
1410,45.0,116,,,,,,
1413,43.0,117,,,,,,
1415,45.0,118,,,,,,
1416,35.0,119,,,,,,
1417,35.0,120,,,,,,
1426,40.0,121,,,,,,
1434,30.0,122,,,,,,
1439,55.0,123,,,,,,
1441,55.0,124,,,,,,
1442,55.0,125,,,,,,
1446,55.0,126,,,,,,
1448,55.0,127,,,,,,
1450,50.0,128,,,,,,
1452,50.0,129,,,,,,
1452,50.0,130,,,,,,
1459,55.0,131,,,,,,
1463,50.0,132,,,,,,
1489,45.0,133,,,,,,
1490,40.0,134,,,,,,
1494,30.0,135,,,,,,
1495,45.0,136,,,,,,
1496,40.0,137,,,,,,
1499,55.0,138,,,,,,
1500,35.0,139,,,,,,
1504,45.0,140,,,,,,
1508,55.0,141,,,,,,
1510,50.0,142,,,,,,
1513,35.0,143,,,,,,
1514,55.0,144,,,,,,
1520,55.0,145,,,,,,
1521,55.0,146,,,,,,
1522,45.0,147,,,,,,
1524,55.0,148,,,,,,
1525,60.0,149,,,,,,
1532,35.0,150,,,,,,
1536,45.0,151,,,,,,
1541,50.0,152,,,,,,
1544,45.0,153,,,,,,
1545,50.0,154,,,,,,
1546,45.0,155,,,,,,
1549,45.0,156,,,,,,
1550,35.0,157,,,,,,
1551,35.0,158,,,,,,
1553,35.0,159,,,,,,
1556,40.0,160,,,,,,
1565,55.0,161,,,,,,
1567,45.0,162,,,,,,
1569,50.0,163,,,,,,
1571,45.0,164,,,,,,
1572,60.0,165,,,,,,
1573,55.0,166,,,,,,
1574,45.0,167,,,,,,
1575,55.0,168,,,,,,
1576,50.0,169,,,,,,
1577,55.0,170,,,,,,
1579,55.0,171,,,,,,
1580,55.0,172,,,,,,
1581,45.0,173,,,,,,
1582,55.0,174,,,,,,
1584,55.0,175,,,,,,
1585,55.0,176,,,,,,
1587,35.0,177,,,,,,
1588,55.0,178,,,,,,
1589,55.0,179,,,,,,
1590,55.0,180,,,,,,
1593,60.0,181,,,,,,
1595,55.0,182,,,,,,
1596,45.0,183,,,,,,
1597,40.0,184,,,,,,
1600,,185,,,,,,
1601,55.0,186,,,,,,
1606,50.0,187,,,,,,
1619,43.0,188,,,,,,
1646,55.0,189,,,,,,
1823,33.0,190,,,,,,
1983,30.0,191,,,,,,
2284,38.0,192,,,,,,
2823,33.0,193,,,,,,
3823,33.0,194,,,,,,
4823,33.0,195,,,,,,
5064,,196,,,,,,
5823,33.0,197,,,,,,
6823,33.0,198,,,,,,
1199B,50.0,199,,,,,,
M1403,,200,,,,,,
1649,40.0,201,,,,,,
1648,70.0,202,,,,,,
1651,50.0,203,,,,,,
1641,55.0,204,,,,,,
1660,40.0,205,,,,,,
405,50.0,206,,,,,,
400,60.0,207,,,,,,
204,60.0,208,,,,,,
440,45.0,209,,,,,,
1610,55.0,210,,,,,,
456,45.0,211,,,,,,
1661,85.0,212,,,,,,
1603,60.0,213,,,,,,
322,50.0,214,,,,,,
1627,55.0,215,,,,,,
1672,55.0,216,,,,,,
1617,50.0,217,,,,,,
607,30.0,218,,,,,,
1623,60.0,219,,,,,,
1616,40.0,220,,,,,,
