UserName,CatalogName,AccessLocation,ReadLoc,WriteLoc,DBName
ahmet.yilmaz,Antrepo20,AA001,,,Antrepo20
ahmet.yilmaz,Antrepo20,AA002,,,Antrepo20
ahmet.yilmaz,Antrepo20,AA003,,,Antrepo20
ahmet.yilmaz,Antrepo20,AA004,,,Antrepo20
ahmet.yilmaz,Kampanya,AA001,,,Antrepo20
ahmet.yilmaz,Kampanya,AA002,,,Antrepo20
ahmet.yilmaz,Kampanya,AA003,,,Antrepo20
ahmet.yilmaz,Kampanya,AA004,,,Antrepo20
aleyna.memek,Antrepo20,AA001,,,Antrepo20
aleyna.memek,Antrepo20,AA003,,,Antrepo20
aleyna.memek,Antrepo20,AA005,,,Antrepo20
aleyna.memek,Antrepo20,AA006,,,Antrepo20
aleyna.memek,Antrepo20,AB001,,,Antrepo20
aleyna.memek,Antrepo20,AB002,,,Antrepo20
aleyna.memek,Antrepo20,AB003,,,Antrepo20
aleyna.memek,Antrepo20,Z0001,,,Antrepo20
aleyna.memek,Kampanya,AA001,,,Antrepo20
aleyna.memek,Kampanya,AA002,,,Antrepo20
aleyna.memek,Kampanya,AA003,,,Antrepo20
aleyna.memek,Kampanya,AA005,,,Antrepo20
aleyna.memek,Kampanya,AB001,,,Antrepo20
aleyna.memek,Kampanya,AB002,,,Antrepo20
aleyna.memek,Kampanya,AB003,,,Antrepo20
aleyna.memek,Kampanya,Z0001,,,Antrepo20
aynur.karakoc,Antrepo20,AA001,,,Antrepo20
aynur.karakoc,Antrepo20,AA002,,,Antrepo20
aynur.karakoc,Antrepo20,AA003,,,Antrepo20
aynur.karakoc,Antrepo20,AA004,,,Antrepo20
aynur.karakoc,Antrepo20,AA005,,,Antrepo20
aynur.karakoc,Antrepo20,AB001,,,Antrepo20
aynur.karakoc,Antrepo20,AB002,,,Antrepo20
aynur.karakoc,Antrepo20,AB003,,,Antrepo20
aynur.karakoc,Antrepo20,AH001,,,Antrepo20
aynur.karakoc,Antrepo20,AW001,,,Antrepo20
aynur.karakoc,Antrepo20,FA001,,,Antrepo20
aynur.karakoc,Antrepo20,FA002,,,Antrepo20
aynur.karakoc,Antrepo20,MK001,,,Antrepo20
aynur.karakoc,Kampanya,AA001,,,Antrepo20
aynur.karakoc,Kampanya,AA002,,,Antrepo20
aynur.karakoc,Kampanya,AA003,,,Antrepo20
aynur.karakoc,Kampanya,AA004,,,Antrepo20
aynur.karakoc,Kampanya,AA005,,,Antrepo20
aynur.karakoc,Kampanya,AB001,,,Antrepo20
aynur.karakoc,Kampanya,AB002,,,Antrepo20
aynur.karakoc,Kampanya,AB003,,,Antrepo20
aynur.karakoc,Kampanya,AH001,,,Antrepo20
aynur.karakoc,Kampanya,AW001,,,Antrepo20
aynur.karakoc,Kampanya,FA001,,,Antrepo20
aynur.karakoc,Kampanya,FA002,,,Antrepo20
aynur.karakoc,Kampanya,MK001,,,Antrepo20
baharumar,Antrepo20,AA001,,,Antrepo20
baharumar,Antrepo20,AA003,,,Antrepo20
baharumar,Antrepo20,AA005,,,Antrepo20
baharumar,Antrepo20,AB001,,,Antrepo20
baharumar,Antrepo20,AB002,,,Antrepo20
baharumar,Antrepo20,AB003,,,Antrepo20
baharumar,Antrepo20,Z0002,,,Antrepo20
baharumar,Kampanya,AA001,,,Antrepo20
baharumar,Kampanya,AA002,,,Antrepo20
baharumar,Kampanya,AA003,,,Antrepo20
baharumar,Kampanya,AA005,,,Antrepo20
baharumar,Kampanya,AB001,,,Antrepo20
baharumar,Kampanya,AB002,,,Antrepo20
baharumar,Kampanya,AB003,,,Antrepo20
baharumar,Kampanya,Z0002,,,Antrepo20
Bayramkırelli,Antrepo20,AA001,,,Antrepo20
Bayramkırelli,Antrepo20,AA003,,,Antrepo20
Bayramkırelli,Antrepo20,AA004,,,Antrepo20
Bayramkırelli,Antrepo20,AA005,,,Antrepo20
Bayramkırelli,Antrepo20,AB001,,,Antrepo20
Bayramkırelli,Antrepo20,AB002,,,Antrepo20
Bayramkırelli,Antrepo20,AB003,,,Antrepo20
Bayramkırelli,Antrepo20,AW001,,,Antrepo20
Bayramkırelli,Antrepo20,FA001,,,Antrepo20
Bayramkırelli,Antrepo20,FA002,,,Antrepo20
Bayramkırelli,Antrepo20,Z0001,,,Antrepo20
Bayramkırelli,Antrepo20,Z0002,,,Antrepo20
Bayramkırelli,Antrepo20,Z0003,,,Antrepo20
Bayramkırelli,Antrepo20,Z0004,,,Antrepo20
Bayramkırelli,Kampanya,AA001,,,Antrepo20
Bayramkırelli,Kampanya,AA002,,,Antrepo20
Bayramkırelli,Kampanya,AA003,,,Antrepo20
Bayramkırelli,Kampanya,AA004,,,Antrepo20
Bayramkırelli,Kampanya,AA005,,,Antrepo20
Bayramkırelli,Kampanya,AB001,,,Antrepo20
Bayramkırelli,Kampanya,AB002,,,Antrepo20
Bayramkırelli,Kampanya,AB003,,,Antrepo20
Bayramkırelli,Kampanya,AW001,,,Antrepo20
Bayramkırelli,Kampanya,FA001,,,Antrepo20
Bayramkırelli,Kampanya,FA002,,,Antrepo20
Bayramkırelli,Kampanya,Z0001,,,Antrepo20
Bayramkırelli,Kampanya,Z0002,,,Antrepo20
Bayramkırelli,Kampanya,Z0003,,,Antrepo20
Bayramkırelli,Kampanya,Z0004,,,Antrepo20
berke.kaban,Antrepo20,AA001,,,Antrepo20
berke.kaban,Antrepo20,AA003,,,Antrepo20
berke.kaban,Antrepo20,AA004,,,Antrepo20
berke.kaban,Antrepo20,AA005,,,Antrepo20
berke.kaban,Antrepo20,AB001,,,Antrepo20
berke.kaban,Antrepo20,AB002,,,Antrepo20
berke.kaban,Antrepo20,AB003,,,Antrepo20
berke.kaban,Antrepo20,AW001,,,Antrepo20
berke.kaban,Antrepo20,FA001,,,Antrepo20
berke.kaban,Antrepo20,FA002,,,Antrepo20
berke.kaban,Kampanya,AA001,,,Antrepo20
berke.kaban,Kampanya,AA002,,,Antrepo20
berke.kaban,Kampanya,AA003,,,Antrepo20
berke.kaban,Kampanya,AA004,,,Antrepo20
berke.kaban,Kampanya,AA005,,,Antrepo20
berke.kaban,Kampanya,AB001,,,Antrepo20
berke.kaban,Kampanya,AB002,,,Antrepo20
berke.kaban,Kampanya,AB003,,,Antrepo20
berke.kaban,Kampanya,AW001,,,Antrepo20
berke.kaban,Kampanya,FA001,,,Antrepo20
berke.kaban,Kampanya,FA002,,,Antrepo20
bilaltunc,Antrepo20,AA001,,,Antrepo20
bilaltunc,Antrepo20,AA002,,,Antrepo20
bilaltunc,Antrepo20,AA005,,,Antrepo20
bilaltunc,Antrepo20,AB001,,,Antrepo20
bilaltunc,Antrepo20,AB002,,,Antrepo20
bilaltunc,Antrepo20,AB003,,,Antrepo20
bilaltunc,Antrepo20,AH001,,,Antrepo20
bilaltunc,Antrepo20,AW001,,,Antrepo20
bilaltunc,Kampanya,AA001,,,Antrepo20
bilaltunc,Kampanya,AA002,,,Antrepo20
bilaltunc,Kampanya,AA005,,,Antrepo20
bilaltunc,Kampanya,AB001,,,Antrepo20
bilaltunc,Kampanya,AB002,,,Antrepo20
bilaltunc,Kampanya,AB003,,,Antrepo20
bilaltunc,Kampanya,AH001,,,Antrepo20
bilaltunc,Kampanya,AW001,,,Antrepo20
Bodrum,Antrepo20,AA001,,,Antrepo20
Bodrum,Antrepo20,AB001,,,Antrepo20
Bodrum,Antrepo20,AB003,,,Antrepo20
Bodrum,Kampanya,AA001,,,Antrepo20
Bodrum,Kampanya,AB001,,,Antrepo20
Bodrum,Kampanya,AB003,,,Antrepo20
Burcukır,Antrepo20,AA001,,,Antrepo20
Burcukır,Antrepo20,AA005,,,Antrepo20
Burcukır,Antrepo20,AB001,,,Antrepo20
Burcukır,Antrepo20,AB002,,,Antrepo20
Burcukır,Antrepo20,AB003,,,Antrepo20
Burcukır,Antrepo20,AW001,,,Antrepo20
Burcukır,Kampanya,AA001,,,Antrepo20
Burcukır,Kampanya,AA002,,,Antrepo20
Burcukır,Kampanya,AA005,,,Antrepo20
Burcukır,Kampanya,AB001,,,Antrepo20
Burcukır,Kampanya,AB002,,,Antrepo20
Burcukır,Kampanya,AB003,,,Antrepo20
Burcukır,Kampanya,AW001,,,Antrepo20
busraelarslan,Antrepo20,AA001,,,Antrepo20
busraelarslan,Antrepo20,AA002,,,Antrepo20
busraelarslan,Antrepo20,AA003,,,Antrepo20
busraelarslan,Antrepo20,AA004,,,Antrepo20
busraelarslan,Antrepo20,AA005,,,Antrepo20
busraelarslan,Antrepo20,AB001,,,Antrepo20
busraelarslan,Antrepo20,AB002,,,Antrepo20
busraelarslan,Antrepo20,AB003,,,Antrepo20
busraelarslan,Antrepo20,AW001,,,Antrepo20
busraelarslan,Antrepo20,FA001,,,Antrepo20
busraelarslan,Antrepo20,FA002,,,Antrepo20
busraelarslan,Antrepo20,MK001,,,Antrepo20
busraelarslan,Cabani20,CA001,,,Antrepo20
busraelarslan,Kampanya,AA001,,,Antrepo20
busraelarslan,Kampanya,AA002,,,Antrepo20
busraelarslan,Kampanya,AA003,,,Antrepo20
busraelarslan,Kampanya,AA004,,,Antrepo20
busraelarslan,Kampanya,AA005,,,Antrepo20
busraelarslan,Kampanya,AB001,,,Antrepo20
busraelarslan,Kampanya,AB002,,,Antrepo20
busraelarslan,Kampanya,AB003,,,Antrepo20
busraelarslan,Kampanya,AW001,,,Antrepo20
busraelarslan,Kampanya,FA001,,,Antrepo20
busraelarslan,Kampanya,FA002,,,Antrepo20
busraelarslan,Kampanya,MK001,,,Antrepo20
busraelarslan,Uretim20,CA001,,,Antrepo20
busraelarslan,Uretim20,CA002,,,Antrepo20
busraelarslan,Uretim20,CA003,,,Antrepo20
busraelarslan,Uretim20,CA004,,,Antrepo20
busraelarslan,Uretim20,CH001,,,Antrepo20
busraelarslan,Uretim20,CH002,,,Antrepo20
busraelarslan,Uretim20,CS001,,,Antrepo20
busraelarslan,Uretim20,CS002,,,Antrepo20
ceyhun.yavas,Antrepo20,AA001,,,Antrepo20
