BedKOD,Tanim,DBName
AD,Adet,Antrepo20
CR,Çorap,Antrepo20
EU,Merdane Buçuklu,Antrepo20
FL,Filet,Antrepo20
FL2,"Filet 2 (30,5-34,5)",Antrepo20
GR,Garson,Antrepo20
GR2,Garson 2 (36-40),Antrepo20
GR3,"Garson 3 (36,5-39)",Antrepo20
KM,Kemer,Antrepo20
KM-B,Battal Kemer,Antrepo20
KN,Keen Buçuk,Antrepo20
MR,Merdane,Antrepo20
MR2,Merdane 2 (40-45),Antrepo20
MR3,Merdane 3 (40-44),Antrepo20
PR,Promosyon,Antrepo20
PT,Patik,Antrepo20
SM,Sertsan Merdane,Antrepo20
STD,Standart,Antrepo20
SZ,Sertan Zenne,Antrepo20
UX,Unisex,Antrepo20
VL,Valiz,Antrepo20
ZN,Zenne,Antrepo20
AD,Adet,Cabani20
CR,Çorap,Cabani20
EU,Merdane Buçuklu,Cabani20
FL,Filet,Cabani20
FL2,"Filet 2 (30,5-34,5)",Cabani20
GR,Garson,Cabani20
GR2,Garson 2 (36-40),Cabani20
GR3,"Garson 3 (36,5-39)",Cabani20
KM,Kemer,Cabani20
KM-B,Battal Kemer,Cabani20
KN,Keen Buçuk,Cabani20
MR,Merdane,Cabani20
MR2,Merdane 2 (40-45),Cabani20
MR3,Merdane 3 (40-44),Cabani20
PR,Promosyon,Cabani20
PT,Patik,Cabani20
SM,Sertsan Merdane,Cabani20
STD,Standart,Cabani20
SZ,Sertan Zenne,Cabani20
UX,Unisex,Cabani20
VL,Valiz,Cabani20
ZN,Zenne,Cabani20
AD,Adet,KORGUNYAZILIM1910
CR,Çorap,KORGUNYAZILIM1910
EU,Merdane Buçuklu,KORGUNYAZILIM1910
FL,Filet,KORGUNYAZILIM1910
FL2,"Filet 2 (30,5-34,5)",KORGUNYAZILIM1910
GR,Garson,KORGUNYAZILIM1910
GR2,Garson 2 (36-40),KORGUNYAZILIM1910
GR3,"Garson 3 (36,5-39)",KORGUNYAZILIM1910
KM,Kemer,KORGUNYAZILIM1910
KM-B,Battal Kemer,KORGUNYAZILIM1910
KN,Keen Buçuk,KORGUNYAZILIM1910
MR,Merdane,KORGUNYAZILIM1910
MR2,Merdane 2 (40-45),KORGUNYAZILIM1910
MR3,Merdane 3 (40-44),KORGUNYAZILIM1910
PR,Promosyon,KORGUNYAZILIM1910
PT,Patik,KORGUNYAZILIM1910
SM,Sertsan Merdane,KORGUNYAZILIM1910
STD,Standart,KORGUNYAZILIM1910
SZ,Sertan Zenne,KORGUNYAZILIM1910
UX,Unisex,KORGUNYAZILIM1910
VL,Valiz,KORGUNYAZILIM1910
ZN,Zenne,KORGUNYAZILIM1910
AD,Adet,KORGUNYAZILIM2210
CR,Çorap,KORGUNYAZILIM2210
EU,Merdane Buçuklu,KORGUNYAZILIM2210
FL,Filet,KORGUNYAZILIM2210
FL2,"Filet 2 (30,5-34,5)",KORGUNYAZILIM2210
GR,Garson,KORGUNYAZILIM2210
GR2,Garson 2 (36-40),KORGUNYAZILIM2210
GR3,"Garson 3 (36,5-39)",KORGUNYAZILIM2210
KM,Kemer,KORGUNYAZILIM2210
KM-B,Battal Kemer,KORGUNYAZILIM2210
KN,Keen Buçuk,KORGUNYAZILIM2210
MR,Merdane,KORGUNYAZILIM2210
MR2,Merdane 2 (40-45),KORGUNYAZILIM2210
MR3,Merdane 3 (40-44),KORGUNYAZILIM2210
PR,Promosyon,KORGUNYAZILIM2210
PT,Patik,KORGUNYAZILIM2210
SM,Sertsan Merdane,KORGUNYAZILIM2210
STD,Standart,KORGUNYAZILIM2210
SZ,Sertan Zenne,KORGUNYAZILIM2210
UX,Unisex,KORGUNYAZILIM2210
VL,Valiz,KORGUNYAZILIM2210
ZN,Zenne,KORGUNYAZILIM2210
AD,Adet,KORGUNYAZILIM2310
CR,Çorap,KORGUNYAZILIM2310
EU,Merdane Buçuklu,KORGUNYAZILIM2310
FL,Filet,KORGUNYAZILIM2310
FL2,"Filet 2 (30,5-34,5)",KORGUNYAZILIM2310
GR,Garson,KORGUNYAZILIM2310
GR2,Garson 2 (36-40),KORGUNYAZILIM2310
GR3,"Garson 3 (36,5-39)",KORGUNYAZILIM2310
KM,Kemer,KORGUNYAZILIM2310
KM-B,Battal Kemer,KORGUNYAZILIM2310
KN,Keen Buçuk,KORGUNYAZILIM2310
MR,Merdane,KORGUNYAZILIM2310
MR2,Merdane 2 (40-45),KORGUNYAZILIM2310
MR3,Merdane 3 (40-44),KORGUNYAZILIM2310
PR,Promosyon,KORGUNYAZILIM2310
PT,Patik,KORGUNYAZILIM2310
SM,Sertsan Merdane,KORGUNYAZILIM2310
STD,Standart,KORGUNYAZILIM2310
SZ,Sertan Zenne,KORGUNYAZILIM2310
UX,Unisex,KORGUNYAZILIM2310
VL,Valiz,KORGUNYAZILIM2310
ZN,Zenne,KORGUNYAZILIM2310
AD,Adet,Uretim20
CR,Çorap,Uretim20
EU,Merdane Buçuklu,Uretim20
FL,Filet,Uretim20
FL2,"Filet 2 (30,5-34,5)",Uretim20
GR,Garson,Uretim20
GR2,Garson 2 (36-40),Uretim20
GR3,"Garson 3 (36,5-39)",Uretim20
KM,Kemer,Uretim20
KM-B,Battal Kemer,Uretim20
KN,Keen Buçuk,Uretim20
MR,Merdane,Uretim20
MR2,Merdane 2 (40-45),Uretim20
MR3,Merdane 3 (40-44),Uretim20
PR,Promosyon,Uretim20
PT,Patik,Uretim20
SM,Sertsan Merdane,Uretim20
STD,Standart,Uretim20
SZ,Sertan Zenne,Uretim20
UX,Unisex,Uretim20
VL,Valiz,Uretim20
ZN,Zenne,Uretim20
