Ulke,Sehir,kgid,insUN,insDT,insApp,updUN,updDT,updApp
,,5121,harun,2025-01-29 20:22:51.957000,KGShop,,,
A Arabistan,,262,,,,dbo,2024-04-24 12:29:48.927000,
A Arabistan,Abu Dabi,263,,,,dbo,2024-04-24 12:29:48.927000,
A Arabistan,Al-Ain,264,,,,dbo,2024-04-24 12:29:48.927000,
A Arabistan,Al-Khabb,265,,,,dbo,2024-04-24 12:29:48.927000,
A Arabistan,Arada,266,,,,dbo,2024-04-24 12:29:48.927000,
A Arabistan,Dasah,267,,,,dbo,2024-04-24 12:29:48.927000,
A Arabistan,Dibba,268,,,,dbo,2024-04-24 12:29:48.927000,
A Arabistan,Dubai,269,,,,dbo,2024-04-24 12:29:48.927000,
A Arabistan,Fujairah,270,,,,dbo,2024-04-24 12:29:48.927000,
A Arabistan,Ghewelfat,271,,,,dbo,2024-04-24 12:29:48.927000,
A Arabistan,Hamim,272,,,,dbo,2024-04-24 12:29:48.927000,
A Arabistan,Jabal Dhanna,273,,,,dbo,2024-04-24 12:29:48.927000,
A Arabistan,Liwa Oasis,274,,,,dbo,2024-04-24 12:29:48.927000,
A Arabistan,Mizaira a,275,,,,dbo,2024-04-24 12:29:48.927000,
A Arabistan,Ras al-Khaimah,276,,,,dbo,2024-04-24 12:29:48.927000,
A Arabistan,Sharjah,277,,,,dbo,2024-04-24 12:29:48.927000,
A Arabistan,Tarif,278,,,,dbo,2024-04-24 12:29:48.927000,
A Arabistan,Umm al-Qalwain,279,,,,dbo,2024-04-24 12:29:48.927000,
Afganistan,,1,,,,,,
Afganistan,Charikar,2,,,,,,
Afganistan,Ghazni,3,,,,,,
Afganistan,Herat,4,,,,,,
Afganistan,Jalalkot,5,,,,,,
Afganistan,Kabul,6,,,,,,
Afganistan,Kandahar,7,,,,,,
Afganistan,Kunduz,8,,,,,,
Afganistan,Mazari Sharif,9,,,,,,
Afganistan,Puli Khumri,10,,,,,,
Afganistan,Sari Pul,11,,,,,,
Afganistan,Sheberghan,12,,,,,,
Afganistan,Taluqan,13,,,,,,
Almanya,,14,,,,,,
Almanya,Aachen,15,,,,,,
Almanya,Amberg,16,,,,,,
Almanya,Ansbach,17,,,,,,
Almanya,Aschaffenburg,18,,,,,,
Almanya,Augsburg,19,,,,,,
Almanya,Bamberg,20,,,,,,
Almanya,Bayreuth,21,,,,,,
Almanya,Berlin,22,,,,,,
Almanya,Bielefeld,23,,,,,,
Almanya,Bochum,24,,,,,,
Almanya,Bonn,25,,,,,,
Almanya,Bottrop,26,,,,,,
Almanya,Brandenburg,27,,,,,,
Almanya,Braunschweig,28,,,,,,
Almanya,Bremen,29,,,,,,
Almanya,Bremerhaven,30,,,,,,
Almanya,Chemnitz,31,,,,,,
Almanya,Coburg,32,,,,,,
Almanya,Cottbus,33,,,,,,
Almanya,Darmstadt,34,,,,,,
Almanya,Delmenhorst,35,,,,,,
Almanya,Dessau,36,,,,,,
Almanya,Dortmund,37,,,,,,
Almanya,Dresden,38,,,,,,
Almanya,Duisburg,39,,,,,,
Almanya,Düsseldorf,40,,,,,,
Almanya,Eisenach,41,,,,,,
Almanya,Emden,42,,,,,,
Almanya,Erfurt,43,,,,,,
Almanya,Erlangen,44,,,,,,
Almanya,Essen,45,,,,,,
Almanya,Flensburg,46,,,,,,
Almanya,Frankenthal,47,,,,,,
Almanya,Frankfurt,48,,,,,,
Almanya,Freiburg,49,,,,,,
Almanya,Fürth,50,,,,,,
Almanya,Gelsenkirchen,51,,,,,,
Almanya,Gera,52,,,,,,
Almanya,Görlitz,53,,,,,,
Almanya,Greifswald,54,,,,,,
Almanya,Hagen,55,,,,,,
Almanya,Halle,56,,,,,,
Almanya,Hamburg,57,,,,,,
Almanya,Hameln,58,,,,,,
Almanya,Hamm,59,,,,,,
Almanya,Hannover,60,,,,,,
Almanya,Heidelberg,61,,,,,,
Almanya,Heilbronn,62,,,,,,
Almanya,Herne,63,,,,,,
Almanya,Hof,64,,,,,,
Almanya,Homburg,65,,,,,,
Almanya,Hoyerswerda,66,,,,,,
Almanya,Husum,67,,,,,,
Almanya,Ingolstadt,68,,,,,,
Almanya,Jena,69,,,,,,
Almanya,Kaiserslautern,70,,,,,,
Almanya,Karlsruhe,71,,,,,,
Almanya,Kassel,72,,,,,,
Almanya,Kaufbeuren,73,,,,,,
Almanya,Kempten,74,,,,,,
Almanya,Kiel,75,,,,,,
Almanya,Koblenz,76,,,,,,
Almanya,Konstanz,77,,,,,,
Almanya,Köln,78,,,,,,
Almanya,Krefeld,79,,,,,,
Almanya,Landau,80,,,,,,
Almanya,Landsberg am Lech,81,,,,,,
Almanya,Landshut,82,,,,,,
Almanya,Leipzig,83,,,,,,
Almanya,Leverkusen,84,,,,,,
Almanya,Ludwigshafen,85,,,,,,
Almanya,Lübeck,86,,,,,,
Almanya,Magdeburg,87,,,,,,
Almanya,Mainz,88,,,,,,
Almanya,Mannheim,89,,,,,,
Almanya,Memmingen,90,,,,,,
Almanya,Merzig,91,,,,,,
Almanya,Mönchengladbach,92,,,,,,
Almanya,Münih,93,,,,,,
Almanya,Münster,94,,,,,,
Almanya,Neubrandenburg,95,,,,,,
Almanya,Neudsadt,96,,,,,,
Almanya,Neumünster,97,,,,,,
Almanya,Neunkirchen,98,,,,,,
Almanya,Nürnberg,99,,,,,,
Almanya,Oberhausen,100,,,,,,
Almanya,Offenbach,101,,,,,,
Almanya,Oldenburg,102,,,,,,
Almanya,Osnabrück,103,,,,,,
Almanya,Paderborn,104,,,,,,
Almanya,Passau,105,,,,,,
Almanya,Pforzheim,106,,,,,,
Almanya,Pinneberg,107,,,,,,
Almanya,Pirmasens,108,,,,,,
Almanya,Plauen,109,,,,,,
Almanya,Potsdam,110,,,,,,
Almanya,Regensburg,111,,,,,,
Almanya,Remscheid,112,,,,,,
Almanya,Reutlingen,113,,,,,,
Almanya,Rosenheim,114,,,,,,
Almanya,Rostock,115,,,,,,
Almanya,Saarbrücken,116,,,,,,
Almanya,Saarlouis,117,,,,,,
Almanya,Salzgitter,118,,,,,,
Almanya,Sankt İngbert,119,,,,,,
Almanya,Sankt Wendel,120,,,,,,
Almanya,Schwabach,121,,,,,,
Almanya,Schweinfurt,122,,,,,,
Almanya,Schwerin,123,,,,,,
Almanya,Solingen,124,,,,,,
Almanya,Speyer,125,,,,,,
Almanya,Stralsund,126,,,,,,
Almanya,Straubing,127,,,,,,
Almanya,Stuttgart,128,,,,,,
Almanya,Suhl,129,,,,,,
Almanya,Trier,130,,,,,,
Almanya,Tübingen,131,,,,,,
Almanya,Ulm,132,,,,,,
Almanya,Weiden,133,,,,,,
Almanya,Weimar,134,,,,,,
Almanya,Wiesbaden,135,,,,,,
Almanya,Wilhelmshaven,136,,,,,,
Almanya,Wismar,137,,,,,,
Almanya,Wolfsburg,138,,,,,,
Almanya,Worms,139,,,,,,
Almanya,Wuppertal,140,,,,,,
Almanya,Würzburg,141,,,,,,
Almanya,Zweibrücken,142,,,,,,
Almanya,Zwickau,143,,,,,,
American Samoa,Aunu u,144,,,,,,
American Samoa,Nu utele,145,,,,,,
American Samoa,Ofo,146,,,,,,
American Samoa,Olosega,147,,,,,,
American Samoa,Rose Atoll,148,,,,,,
American Samoa,Ta u,149,,,,,,
American Samoa,Tutuila,150,,,,,,
Amerika Birle?ik Devletleri,,151,,,,,,
Amerika Birle?ik Devletleri,Florida,152,,,,,,
Amerika Birle?ik Devletleri,Pennsylvania,153,,,,,,
Amerika Birleşik Devletleri,,154,,,,,,
Amerika Birleşik Devletleri,Alabama,155,,,,,,
Amerika Birleşik Devletleri,Arizona,156,,,,,,
Amerika Birleşik Devletleri,Arkansas,157,,,,,,
Amerika Birleşik Devletleri,California,158,,,,,,
Amerika Birleşik Devletleri,Colorado,159,,,,,,
Amerika Birleşik Devletleri,Connecticut,160,,,,,,
Amerika Birleşik Devletleri,Delaware,161,,,,,,
Amerika Birleşik Devletleri,Florida,162,,,,,,
Amerika Birleşik Devletleri,Georgia,163,,,,,,
Amerika Birleşik Devletleri,Hawaii,164,,,,,,
Amerika Birleşik Devletleri,Idaho,165,,,,,,
Amerika Birleşik Devletleri,Illinois,166,,,,,,
Amerika Birleşik Devletleri,Indiana,167,,,,,,
Amerika Birleşik Devletleri,Iowa,168,,,,,,
Amerika Birleşik Devletleri,KahramanMaraş,169,,,,,,
Amerika Birleşik Devletleri,Kansas,170,,,,,,
Amerika Birleşik Devletleri,Kentucky,171,,,,,,
Amerika Birleşik Devletleri,Louisiana,172,,,,,,
Amerika Birleşik Devletleri,Maine,173,,,,,,
Amerika Birleşik Devletleri,Maryland,174,,,,,,
Amerika Birleşik Devletleri,Massachusetts,175,,,,,,
Amerika Birleşik Devletleri,Michigan,176,,,,,,
Amerika Birleşik Devletleri,Minnesota,177,,,,,,
Amerika Birleşik Devletleri,Mississippi,178,,,,,,
Amerika Birleşik Devletleri,Missouri,179,,,,,,
Amerika Birleşik Devletleri,Montana,180,,,,,,
Amerika Birleşik Devletleri,Nebraska,181,,,,,,
Amerika Birleşik Devletleri,Nevada,182,,,,,,
Amerika Birleşik Devletleri,New Hampshire,183,,,,,,
Amerika Birleşik Devletleri,New Jersey,184,,,,,,
Amerika Birleşik Devletleri,New Mexico,185,,,,,,
Amerika Birleşik Devletleri,New York,186,,,,,,
Amerika Birleşik Devletleri,North Carolina,187,,,,,,
Amerika Birleşik Devletleri,North Dakota,188,,,,,,
Amerika Birleşik Devletleri,Ohio,189,,,,,,
Amerika Birleşik Devletleri,Oklahoma,190,,,,,,
Amerika Birleşik Devletleri,Oregon,191,,,,,,
Amerika Birleşik Devletleri,Pennsylvania,192,,,,,,
Amerika Birleşik Devletleri,Rhode Island,193,,,,,,
Amerika Birleşik Devletleri,South Carolina,194,,,,,,
Amerika Birleşik Devletleri,South Dakota,195,,,,,,
Amerika Birleşik Devletleri,Tennessee,196,,,,,,
Amerika Birleşik Devletleri,Texas,197,,,,,,
Amerika Birleşik Devletleri,Utah,198,,,,,,
Amerika Birleşik Devletleri,Vermont,199,,,,,,
Amerika Birleşik Devletleri,Virginia,200,,,,,,
Amerika Birleşik Devletleri,Washington,201,,,,,,
Amerika Birleşik Devletleri,West Virginia,202,,,,,,
Amerika Birleşik Devletleri,Wisconsin,203,,,,,,
Amerika Birleşik Devletleri,Wyoming,204,,,,,,
Andorra,,205,,,,,,
Andorra,Andorra la Vella,206,,,,,,
Andorra,Arinsal,207,,,,,,
Andorra,Canillo,208,,,,,,
Andorra,El Serrat,209,,,,,,
Andorra,Encamp,210,,,,,,
Andorra,La Massana,211,,,,,,
Andorra,Les Escaldes,212,,,,,,
Andorra,Ordino,213,,,,,,
Andorra,Sant Julià de Lòria,214,,,,,,
Andorra,Soldeu,215,,,,,,
Angola,,216,,,,,,
Angola,Benguela,217,,,,,,
Angola,Huambo,218,,,,,,
Angola,Kuito,219,,,,,,
Angola,Lobito,220,,,,,,
Angola,Luanda,221,,,,,,
Angola,Lubango,222,,,,,,
Angola,M banza-Kongo,223,,,,,,
Angola,Malanje,224,,,,,,
Angola,Namibe,225,,,,,,
Angola,Uige,226,,,,,,
Anguilla,Anguillita,227,,,,,,
Anguilla,Dog Island,228,,,,,,
