ModelKod,RKod,Tanim,Resim,kgid,mkgid,insUN,insDT,insApp,updUN,updDT,updApp
100001,96,,,4848,825,UMUT,2023-11-15 17:25:27.380000,,UMUT,2023-11-15 17:25:27.383000,
100001,126,,,4849,825,UMUT,2023-11-15 17:25:27.383000,,UMUT,2023-11-15 17:25:27.383000,
100001,9251,,,5856,825,selimtest,2024-02-09 12:20:25.563000,KGShop,selimtest,2024-02-09 12:20:25.570000,KGShop
100907,513,,,1,52,,,,,,
100907,2673,,,2,52,,,,,,
100933,1780,,,3,552,,,,,,
100933,1805,,,4,552,,,,,,
100933,2236,,,5,552,,,,,,
100946,198,,,6,222,,,,,,
100946,1718,,,7,222,,,,,,
100946,1751,,,8,222,,,,,,
100946,1780,,,9,222,,,,,,
100946,2236,,,10,222,,,,,,
100946,2375,,,11,222,,,,,,
100946,10004,,,12,222,,,,,,
100962,198,,,13,119,,,,,,
100962,1718,,,14,119,,,,,,
100962,1780,,,15,119,,,,,,
100962,1805,,,16,119,,,,,,
100962,1852,,,17,119,,,,,,
100962,2048,,,18,119,,,,,,
100962,2236,,,19,119,,,,,,
100965-2KART,1705,,,20,123,,,,,,
100965-2KART,1886,,,21,123,,,,,,
100965-2KART,2236,,,22,123,,,,,,
100966,2236,,,23,124,,,,,,
100967,2236,,,24,774,,,,,,
100976,252,,,25,256,,,,,,
100976,1718,,,26,256,,,,,,
100976,1772,,,27,256,,,,,,
100981,1718,,,28,125,,,,,,
100981,1751,,,29,125,,,,,,
100981,1767,,,30,125,,,,,,
100-kg-01,8,,,5890,839,OZKAN,2025-02-10 15:19:02.820000,KGShop,OZKAN,2025-02-10 15:19:02.820000,KGShop
100-kg-02,8,,,5888,837,OZKAN,2025-02-10 15:18:03.870000,KGShop,OZKAN,2025-02-10 15:18:03.883000,KGShop
100-kg-03,8,,,5889,838,OZKAN,2025-02-10 15:18:33.227000,KGShop,OZKAN,2025-02-10 15:18:33.227000,KGShop
101187,1805,,,31,754,,,,,,
101187,1886,,,32,754,,,,,,
101188,222,,,33,617,,,,,,
101188,1779,,,34,617,,,,,,
101188,2118,,,35,617,,,,,,
101188,2378,,,36,617,,,,,,
101188,2777,,,37,617,,,,,,
101188,9125,,,38,617,,,,,,
101216,97,,,39,1,,,,,,
101216,198,,,40,1,,,,,,
101216,1751,,,41,1,,,,,,
101394,198,,,42,269,,,,,,
101394,252,,,43,269,,,,,,
101394,1718,,,44,269,,,,,,
101394,1751,,,45,269,,,,,,
101394,2262,,,46,269,,,,,,
101398,1780,,,47,140,,,,,,
101398,1805,,,48,140,,,,,,
101398,1806,,,49,140,,,,,,
101398,1886,,,50,140,,,,,,
101398,3387,,,51,140,,,,,,
101398,10004,,,52,140,,,,,,
101406,1805,,,53,454,,,,,,
101412,1784,,,54,149,,,,,,
101412,1792,,,55,149,,,,,,
101412,1805,,,56,149,,,,,,
101412,1806,,,57,149,,,,,,
101412,1886,,,58,149,,,,,,
101412,2240,,,59,149,,,,,,
101412,2446,,,60,149,,,,,,
101412,3387,,,61,149,,,,,,
101413,198,,,62,286,,,,,,
101413,252,,,63,286,,,,,,
101413,1718,,,64,286,,,,,,
101413,1751,,,65,286,,,,,,
101413,2262,,,66,286,,,,,,
101421,1780,,,67,172,,,,,,
101421,1805,,,68,172,,,,,,
101421,2858,,,69,172,,,,,,
101431,198,,,70,270,,,,,,
101431,1718,,,71,270,,,,,,
101431,1751,,,72,270,,,,,,
101431,1772,,,73,270,,,,,,
101431,2262,,,74,270,,,,,,
101431,3387,,,75,270,,,,,,
101447,97,,,76,520,,,,,,
101447,198,,,77,520,,,,,,
101447,344,,,78,520,,,,,,
101447,1712,,,79,520,,,,,,
101447,1718,,,80,520,,,,,,
101447,1772,,,81,520,,,,,,
101447,2236,,,82,520,,,,,,
101450,1705,,,83,87,,,,,,
101450,1761,,,84,87,,,,,,
101450,1772,,,85,87,,,,,,
101450,2236,,,86,87,,,,,,
101452,1805,,,87,67,,,,,,
101452,1806,,,88,67,,,,,,
101452,1886,,,89,67,,,,,,
101461,87,,,90,3,,,,,,
101461,107,,,91,3,,,,,,
101461,198,,,92,3,,,,,,
101461,260,,,93,3,,,,,,
101461,268,,,94,3,,,,,,
101461,344,,,95,3,,,,,,
101461,1695,,,96,3,,,,,,
101461,1703,,,97,3,,,,,,
101461,1704,,,98,3,,,,,,
101461,1705,,,99,3,,,,,,
101461,1718,,,100,3,,,,,,
101461,1745,,,101,3,,,,,,
101461,1751,,,102,3,,,,,,
101461,1764,,,103,3,,,,,,
101461,1766,,,104,3,,,,,,
101461,1768,,,105,3,,,,,,
101461,1789,,,106,3,,,,,,
101461,1806,,,107,3,,,,,,
101461,1816,,,108,3,,,,,,
101461,1817,,,109,3,,,,,,
101461,1818,,,110,3,,,,,,
101461,2049,,,111,3,,,,,,
101461,2101,,,112,3,,,,,,
101461,2118,,,113,3,,,,,,
101461,2120,,,114,3,,,,,,
101461,2178,,,115,3,,,,,,
101461,2236,,,116,3,,,,,,
101461,2339,,,117,3,,,,,,
101461,2379,,,118,3,,,,,,
101461,2380,,,119,3,,,,,,
101461,2432,,,120,3,,,,,,
101461,2445,,,121,3,,,,,,
101461,2629,,,122,3,,,,,,
101461,3280,,,123,3,,,,,,
101461,3387,,,124,3,,,,,,
101461,8047,,,125,3,,,,,,
101483,1705,,,126,126,,,,,,
101483,2236,,,127,126,,,,,,
101492,609,,,128,94,,,,,,
101492,613,,,129,94,,,,,,
101492,2396,,,130,94,,,,,,
101492,2693,,,131,94,,,,,,
101515,1761,,,132,88,,,,,,
101515,1772,,,133,88,,,,,,
101515,2236,,,134,88,,,,,,
101518,1705,,,135,536,,,,,,
101518,2236,,,136,536,,,,,,
101518,3280,,,137,536,,,,,,
101519,1705,,,138,508,,,,,,
101519,2236,,,139,508,,,,,,
101805,3385,,,140,447,,,,,,
101805,3387,,,141,447,,,,,,
101807,107,,,142,532,,,,,,
101807,198,,,143,532,,,,,,
101807,203,,,144,532,,,,,,
101807,636,,,145,532,,,,,,
101807,1695,,,146,532,,,,,,
101807,1703,,,147,532,,,,,,
101807,1704,,,148,532,,,,,,
101807,1705,,,149,532,,,,,,
101807,1715,,,150,532,,,,,,
101807,1718,,,151,532,,,,,,
101807,1751,,,152,532,,,,,,
101807,1805,,,153,532,,,,,,
101807,1806,,,154,532,,,,,,
101807,1886,,,155,532,,,,,,
101807,2178,,,156,532,,,,,,
101807,2236,,,157,532,,,,,,
101807,2613,,,158,532,,,,,,
101807,3280,,,159,532,,,,,,
101809,1703,,,160,531,,,,,,
101809,1704,,,161,531,,,,,,
101809,1718,,,162,531,,,,,,
101809,1751,,,163,531,,,,,,
101809,1805,,,164,531,,,,,,
101809,1806,,,165,531,,,,,,
101809,1886,,,166,531,,,,,,
101815,1852,,,167,400,,,,,,
101815,2236,,,168,400,,,,,,
101815,3280,,,169,400,,,,,,
101815,3387,,,170,400,,,,,,
101828,1718,,,171,72,,,,,,
101828,1806,,,172,72,,,,,,
101828,1886,,,173,72,,,,,,
101828,2240,,,174,72,,,,,,
101828,3387,,,175,72,,,,,,
101847,97,,,176,68,,,,,,
101847,203,,,177,68,,,,,,
101847,1715,,,178,68,,,,,,
101847,1780,,,179,68,,,,,,
101847,1852,,,180,68,,,,,,
101847,1860,,,181,68,,,,,,
101847,2861,,,182,68,,,,,,
101856,1705,,,183,499,,,,,,
101856,2236,,,184,499,,,,,,
101856,3280,,,185,499,,,,,,
101871,1705,,,186,200,,,,,,
101871,1852,,,187,200,,,,,,
101871,2236,,,188,200,,,,,,
101871,3280,,,189,200,,,,,,
101883,260,,,190,82,,,,,,
101883,1703,,,191,82,,,,,,
101883,1768,,,192,82,,,,,,
101883,1789,,,193,82,,,,,,
101883,1800,,,194,82,,,,,,
101883,1816,,,195,82,,,,,,
101883,2118,,,196,82,,,,,,
101883,2178,,,197,82,,,,,,
101883,2339,,,198,82,,,,,,
101883,2502,,,199,82,,,,,,
101883,8062,,,200,82,,,,,,
101886,1703,,,201,298,,,,,,
101886,1704,,,202,298,,,,,,
101886,1705,,,203,298,,,,,,
101886,1718,,,204,298,,,,,,
101886,1751,,,205,298,,,,,,
101886,1780,,,206,298,,,,,,
101886,1860,,,207,298,,,,,,
101886,1885,,,208,298,,,,,,
101886,2178,,,209,298,,,,,,
101886,2236,,,210,298,,,,,,
101886,2262,,,211,298,,,,,,
101886,2456,,,212,298,,,,,,
101886,3280,,,213,298,,,,,,
101886,3387,,,214,298,,,,,,
101886,4463,,,215,298,,,,,,
101886,4900,,,216,298,,,,,,
101908,198,,,217,305,,,,,,
101908,252,,,218,305,,,,,,
101908,1718,,,219,305,,,,,,
101908,1751,,,220,305,,,,,,
101908,1805,,,221,305,,,,,,
101908,1806,,,222,305,,,,,,
101908,1852,,,223,305,,,,,,
101908,1860,,,224,305,,,,,,
101908,1886,,,225,305,,,,,,
101908,2236,,,226,305,,,,,,
101908,2262,,,227,305,,,,,,
101908,3280,,,228,305,,,,,,
101908,5792,,,229,305,,,,,,
101919,198,,,230,553,,,,,,
101919,998,,,231,553,,,,,,
101919,1704,,,232,553,,,,,,
101919,1705,,,233,553,,,,,,
101919,1718,,,234,553,,,,,,
101919,1730,,,235,553,,,,,,
101919,1751,,,236,553,,,,,,
101919,1756,,,237,553,,,,,,
101919,1806,,,238,553,,,,,,
101919,1860,,,239,553,,,,,,
101919,1875,,,240,553,,,,,,
101919,2236,,,241,553,,,,,,
101919,2380,,,242,553,,,,,,
101919,2432,,,243,553,,,,,,
101919,2540,,,244,553,,,,,,
101919,3280,,,245,553,,,,,,
101919,4815,,,246,553,,,,,,
101919,6893,,,247,553,,,,,,
101919,6894,,,248,553,,,,,,
101919,6986,,,249,553,,,,,,
101919,7002,,,250,553,,,,,,
101954,97,,,251,237,,,,,,
101954,203,,,252,237,,,,,,
101954,1780,,,253,237,,,,,,
101954,1798,,,254,237,,,,,,
101954,1805,,,255,237,,,,,,
101954,1806,,,256,237,,,,,,
101954,1852,,,257,237,,,,,,
101954,1897,,,258,237,,,,,,
101954,2236,,,259,237,,,,,,
101954,2293,,,260,237,,,,,,
101954,2861,,,261,237,,,,,,
101954,3280,,,262,237,,,,,,
102139,1797,,,263,410,,,,,,
102139,1805,,,264,410,,,,,,
102249,198,,,265,27,,,,,,
102249,1718,,,266,27,,,,,,
102249,1751,,,267,27,,,,,,
102249,1784,,,268,27,,,,,,
102249,1792,,,269,27,,,,,,
102249,2240,,,270,27,,,,,,
102249,2446,,,271,27,,,,,,
102251,1288,,,272,304,,,,,,
102251,1780,,,273,304,,,,,,
102251,2236,,,274,304,,,,,,
102252,1805,,,275,134,,,,,,
102252,1806,,,276,134,,,,,,
102252,1886,,,277,134,,,,,,
102257,2236,,,278,66,,,,,,
102257,3387,,,279,66,,,,,,
102257-BRUNO RENZONI,2236,,,280,273,,,,,,
102257-BRUNO RENZONI,3387,,,281,273,,,,,,
102259,1761,,,282,89,,,,,,
102259,1805,,,283,89,,,,,,
102259,2236,,,284,89,,,,,,
102259,2374,,,285,89,,,,,,
102259,2381,,,286,89,,,,,,
102259,3280,,,287,89,,,,,,
102259,4847,,,288,89,,,,,,
102259,4864,,,289,89,,,,,,
102259,8969,,,290,89,,,,,,
102259-1016 FASULYE ,1468,,,291,223,,,,,,
102259-1016 FASULYE ,1761,,,292,223,,,,,,
102259-1016 FASULYE ,1805,,,293,223,,,,,,
102259-1016 FASULYE ,2236,,,294,223,,,,,,
102259-1016 FASULYE ,2374,,,295,223,,,,,,
102259-1016 FASULYE ,2381,,,296,223,,,,,,
102259-1016 FASULYE ,3280,,,297,223,,,,,,
102259-1016 FASULYE ,3387,,,298,223,,,,,,
102259-1016 FASULYE ,4847,,,299,223,,,,,,
102259-1016 FASULYE ,4864,,,300,223,,,,,,
102259-1016 FASULYE ,8969,,,301,223,,,,,,
102259-BAHIT AKHMETZHANOVA,1761,,,302,90,,,,,,
102259-BAHIT AKHMETZHANOVA,1805,,,303,90,,,,,,
102259-BAHIT AKHMETZHANOVA,2236,,,304,90,,,,,,
102259-BAHIT AKHMETZHANOVA,2374,,,305,90,,,,,,
102259-BAHIT AKHMETZHANOVA,2381,,,306,90,,,,,,
102259-BAHIT AKHMETZHANOVA,3280,,,307,90,,,,,,
102259-BAHIT AKHMETZHANOVA,4847,,,308,90,,,,,,
102259-BAHIT AKHMETZHANOVA,4864,,,309,90,,,,,,
102259-BAHIT AKHMETZHANOVA,8969,,,310,90,,,,,,
102259-KROKO,1468,,,311,496,,,,,,
102259-KROKO,1761,,,312,496,,,,,,
102259-KROKO,1805,,,313,496,,,,,,
102259-KROKO,2236,,,314,496,,,,,,
102259-KROKO,2374,,,315,496,,,,,,
102259-KROKO,2381,,,316,496,,,,,,
102259-KROKO,3280,,,317,496,,,,,,
102259-KROKO,3387,,,318,496,,,,,,
102259-KROKO,3506,,,319,496,,,,,,
102259-KROKO,4847,,,320,496,,,,,,
102259-KROKO,4864,,,321,496,,,,,,
102259-KROKO,8969,,,322,496,,,,,,
102259-ROCKFORD,1761,,,323,136,,,,,,
102259-ROCKFORD,1805,,,324,136,,,,,,
102259-ROCKFORD,2236,,,325,136,,,,,,
102259-ROCKFORD,2374,,,326,136,,,,,,
102259-ROCKFORD,2381,,,327,136,,,,,,
102259-ROCKFORD,3280,,,328,136,,,,,,
102259-ROCKFORD,3387,,,329,136,,,,,,
102259-ROCKFORD,4847,,,330,136,,,,,,
102259-ROCKFORD,4864,,,331,136,,,,,,
102259-ROCKFORD,8969,,,332,136,,,,,,
102260,692,,,333,466,,,,,,
102260,1844,,,334,466,,,,,,
102262,1705,,,335,250,,,,,,
102262,2236,,,336,250,,,,,,
102262,3387,,,337,250,,,,,,
102262,7248,,,338,250,,,,,,
102263,1705,,,339,115,,,,,,
102263,1724,,,340,115,,,,,,
