Kod,Tanim
TOKALI,TOKALI
TOKASIZ,TOKASIZ
TAŞLI,TAŞLI
TASLI,TASLI
FIONK,FIONK
TAS-2,TAS-2
TAS-2-J,TAS-2-J
TOKA-2,TOKA-2
TAS-2-A,TAS-2-A
TAS-2-D,TAS-2-D
TAS-2-İ,TAS-2-İ
TOKA-1,TOKA-1
565,565
557,557
11216,11216
NAKIS,NAKIS
PUSKULLU,PUSKULLU
631,631
BEJ SARAC,BEJ SARAC
KUŞ GOZU ZIMBA,KUŞ GOZU ZIMBA
ALTIN TOKA,ALTIN TOKA
NIKEL TOKA,NIKEL TOKA
11-1,11-1
TAŞ 02 RENK,TAŞ 02 RENK
MAVI TAŞLI ,MAVI TAŞLI 
6234,6234
AYNALI,AYNALI
BARET TOKALI,BARET TOKALI
34-40,34-40
36-40,36-40
35-42,35-42
35-40,35-40
S.A,S.A
2093,2093
2095,2095
2062,2062
34-42,34-42
33-42,33-42
36-41,36-41
34-39,34-39
35-43,35-43
36-42,36-42
ASTARSIZ,ASTARSIZ
214,214
306,306
5850,5850
1656,1656
4017,4017
01,01
215,215
9620,9620
FILE SIYAH,FILE SIYAH
K-8,K-8
YAR-NAT,YAR-NAT
ast-meşin,ast-meşin
TOKA ALTIN,TOKA ALTIN
ALTIN,ALTIN
ASTAR-1,ASTAR-1
TOKA S. NIKEL,TOKA S. NIKEL
TOKA ALT.,TOKA ALT.
ASTAR 1,ASTAR 1
TOKA TAŞLI,TOKA TAŞLI
Q,Q
meşin astar,meşin astar
meşin ast,meşin ast
kln ast,kln ast
sck ast,sck ast
İNC AST,İNC AST
INC AST,INC AST
34 40,34 40
31-40,31-40
MEŞ AST,MEŞ AST
SIYAH,SIYAH
DAR KONC,DAR KONC
6913,6913
LAZER-08,LAZER-08
LAZER-10,LAZER-10
LAZER-03,LAZER-03
LAZER-07,LAZER-07
LAZER-09,LAZER-09
LAZER-02,LAZER-02
LAZER-05,LAZER-05
LAZER-06,LAZER-06
LAZER-04,LAZER-04
LAZER-01,LAZER-01
L-25,L-25
L-24,L-24
L-22,L-22
L-19,L-19
L 15,L 15
L-10,L-10
L-15,L-15
L-09,L-09
L-04,L-04
L-20,L-20
L-12,L-12
L-06,L-06
L-03,L-03
LAME BASKI,LAME BASKI
LAZER 13,LAZER 13
L-07,L-07
LAZER 07,LAZER 07
LAZ-28,LAZ-28
23,23
L-29,L-29
75,75
27-55,27-55
LAZERLI,LAZERLI
NAKISLI,NAKISLI
DELIKLI,DELIKLI
NAKIŞLI,NAKIŞLI
leather lining,leather lining
leahter lining,leahter lining
zımbalı,zımbalı
çiçek dokumalı taşlı,çiçek dokumalı taşlı
FP TAS,FP TAS
DANA,DANA
30009,30009
754,754
35-39,35-39
L 14,L 14
LAZ-27,LAZ-27
SA,SA
35-41,35-41
517,517
BEYAZ TAŞ,BEYAZ TAŞ
JANJAN TAŞ,JANJAN TAŞ
TR 47-3,TR 47-3
DAR KONÇ,DAR KONÇ
L-23,L-23
L-08,L-08
l,l
L-01,L-01
LAZERLİ,LAZERLİ
ASTAR TABA,ASTAR TABA
DELİKLİ,DELİKLİ
Y.KURK-UST ASTARSIZ,Y.KURK-UST ASTARSIZ
AST 1,AST 1
S A,S A
INC  AST,INC  AST
 SA, SA
 S A, S A
KUMAS,KUMAS
SCK,SCK
L 10,L 10
04,04
L 22,L 22
L 11,L 11
